序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,房地产,1731.3,3.37,77.55,51.96,25.59,88,荣盛发展,10.44,1.27
2,通信设备,9178.81,3.06,714.2,576.22,137.98,91,长进光子,20.0,300.02
3,元件,24127.1,2.47,479.8,434.24,45.57,63,金禄电子,11.13,26.45
4,教育,4256.99,2.46,10.89,9.36,1.53,15,传智教育,9.97,12.91
5,光伏设备,7551.49,2.2,120.77,96.39,24.38,72,金辰股份,9.98,27.54
6,其他电源设备,6263.59,2.18,61.71,50.71,11.0,35,盛弘股份,6.61,46.77
7,非金属材料,30286.5,2.15,22.03,18.26,3.76,16,联瑞新材,15.02,165.0
8,半导体,16885.4,2.03,1262.5,1134.46,128.03,185,杰理科技,182.4,53.26
9,白酒,2122.92,2.03,60.32,53.63,6.7,19,今世缘,9.99,30.72
10,环保设备,1418.13,1.99,12.49,12.55,-0.06,30,蓝盾光电,19.98,32.84
11,贵金属,5731.59,1.98,109.25,110.59,-1.35,14,晓程科技,5.56,52.25
12,其他电子,20729.6,1.92,75.05,70.94,4.11,34,英唐智控,7.89,16.82
13,光学光电子,5352.41,1.9,153.58,139.76,13.82,107,光智科技,11.71,248.0
14,食品加工制造,4755.76,1.83,33.82,31.23,2.59,66,盖世食品,22.25,9.78
15,综合,2256.53,1.8,17.37,13.99,3.38,18,亚泰集团,10.16,2.06
16,电子化学品,90065.2,1.79,168.3,162.02,6.28,43,菲沃泰,12.59,32.2
17,通用设备,9204.03,1.76,200.89,181.31,19.58,253,瑞纳智能,17.25,24.88
18,专用设备,7449.65,1.57,125.32,121.54,3.78,200,浩淼科技,29.94,14.93
19,风电设备,4406.22,1.56,29.53,22.57,6.96,31,飞沃科技,4.96,111.4
20,包装印刷,4390.25,1.52,18.12,16.54,1.58,46,宏裕包材,4.95,15.7
21,消费电子,12321.7,1.5,173.32,168.89,4.44,96,可川科技,10.01,58.47
22,影视院线,1380.66,1.5,39.21,42.56,-3.35,20,北京文化,10.06,5.69
23,电网设备,6588.03,1.49,110.1,98.5,11.6,140,新能泰山,10.08,4.04
24,文化传媒,2665.35,1.47,118.93,104.09,14.84,84,风语筑,9.96,12.47
25,小家电,4089.53,1.45,5.34,6.13,-0.79,26,德豪润达,10.09,2.51
26,零售,1863.41,1.44,38.93,37.69,1.24,71,香江控股,10.02,4.72
27,互联网电商,8958.62,1.39,27.55,29.19,-1.64,20,星徽股份,6.39,6.99
28,农产品加工,3607.66,1.39,14.6,14.18,0.42,43,粤海饲料,10.04,8.0
29,其他社会服务,19398.9,1.36,15.63,13.71,1.93,84,米奥会展,10.99,16.87
30,通信服务,2752.35,1.36,58.01,60.75,-2.74,44,城地香江,9.98,11.35
31,饮料制造,4997.31,1.33,24.37,27.23,-2.86,47,一鸣食品,9.99,30.39
32,环境治理,4116.98,1.32,40.39,35.47,4.91,111,节能铁汉,19.79,2.3
33,建筑装饰,4088.04,1.31,96.3,95.77,0.53,143,宝鹰股份,10.11,3.92
34,自动化设备,29166.6,1.3,150.7,140.05,10.65,96,禾川科技,13.07,36.86
35,小金属,9312.77,1.29,157.58,159.28,-1.7,29,云南锗业,5.68,105.98
36,塑料制品,10649.8,1.26,64.84,66.1,-1.26,77,天洋新材,9.96,8.83
37,电池,18385.9,1.24,198.44,186.97,11.46,106,骄成超声,10.67,165.0
38,家居用品,3923.82,1.22,19.03,17.7,1.32,99,茶花股份,9.99,17.94
39,IT服务,12363.2,1.17,148.81,163.7,-14.89,129,ST迪威迅,14.15,5.0
40,橡胶制品,13233.7,1.14,7.36,6.98,0.38,22,三维装备,5.22,9.67
41,厨卫电器,5830.63,1.11,2.31,2.25,0.06,9,浙江美大,7.18,7.61
42,建筑材料,5629.5,1.1,92.96,96.74,-3.78,73,三棵树,5.64,24.74
43,化学制品,7250.93,1.1,122.23,127.91,-5.68,180,兄弟科技,10.02,5.05
