序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,猪肉,2569.52,5.89,69.56,48.67,20.89,32,大禹生物,17.7,7.58
2,养鸡,1254.11,4.58,31.93,21.87,10.06,22,罗牛山,10.05,6.13
3,玉米,2632.93,2.56,56.65,48.78,7.87,34,亚盛集团,10.1,4.36
4,预制菜,1067.93,2.49,91.81,71.83,19.98,101,华天酒店,10.09,4.69
5,乳业,2092.47,2.47,36.42,27.92,8.5,35,骑士乳业,8.12,8.26
6,中船系,1821.63,2.42,82.96,50.02,32.95,20,中国船舶,9.18,37.47
7,跨境支付(CIPS),1587.58,2.29,188.71,157.56,31.15,73,四方精创,14.58,27.5
8,兵装重组概念,1179.94,2.22,13.05,13.05,-0.0,14,湖南天雁,10.01,7.91
9,NFT概念,1692.66,2.2,153.98,126.35,27.63,70,四方精创,14.58,27.5
10,白酒概念,6221.58,2.19,92.12,60.69,31.43,48,古越龙山,10.06,9.19
11,AI视频,2183.36,2.09,230.26,198.89,31.37,61,易点天下,11.12,38.28
12,转基因,1937.62,2.01,35.83,31.6,4.23,21,敦煌种业,10.04,8.66
13,农村电商,1783.54,1.93,54.77,44.71,10.07,37,新希望,10.0,7.7
14,土地流转,2037.71,1.93,48.43,38.22,10.21,43,亚盛集团,10.1,4.36
15,快手概念,1907.33,1.89,175.19,152.68,22.51,52,易点天下,11.12,38.28
16,数字货币,2004.47,1.86,162.73,155.65,7.08,91,四方精创,14.58,27.5
17,手机游戏,2756.34,1.83,160.16,126.47,33.69,57,实丰文化,10.01,16.04
18,粮食概念,930.655,1.82,79.09,72.8,6.29,49,亚盛集团,10.1,4.36
19,生态农业,1658.65,1.78,59.29,48.79,10.49,64,亚盛集团,10.1,4.36
20,网络游戏,1595.5,1.71,202.99,174.08,28.91,66,实丰文化,10.01,16.04
21,网红经济,1448.88,1.7,156.6,128.24,28.36,118,海欣食品,10.0,5.61
