序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,兵装重组概念,1188.24,4.52,12.56,11.77,0.79,14,建设工业,10.01,21.44
2,新股与次新股,12658.7,1.05,140.13,163.95,-23.81,154,格林生物,104.41,53.82
3,国产航母,1957.13,0.82,66.86,66.45,0.41,36,金信诺,6.75,12.65
4,军民融合,1524.58,0.8,226.07,220.78,5.29,245,晟楠科技,29.96,22.21
5,空气能热泵,1516.3,0.67,57.3,59.37,-2.07,56,京能热力,10.05,11.17
6,PVDF概念,1422.93,0.58,39.37,41.99,-2.63,17,深圳新星,10.02,22.61
7,成飞概念,1756.3,0.49,38.38,33.82,4.56,43,博云新材,10.01,20.0
8,培育钻石,2370.06,0.47,38.58,36.95,1.63,19,惠丰钻石,6.82,75.69
9,可燃冰,1556.51,0.45,17.33,19.01,-1.68,14,石化机械,9.98,6.06
10,军工信息化,1585.83,0.33,58.79,61.23,-2.44,114,北方长龙,13.9,106.3
11,军工,2316.03,0.28,664.57,684.01,-19.44,607,晟楠科技,29.96,22.21
12,碳纤维,1986.78,0.27,62.07,68.38,-6.31,81,博云新材,10.01,20.0
13,页岩气,2757.37,0.27,77.66,83.16,-5.5,51,石化机械,9.98,6.06
14,飞行汽车(eVTOL),1799.68,0.24,112.0,117.11,-5.12,272,北方长龙,13.9,106.3
15,航空发动机,3161.02,0.18,103.35,108.61,-5.26,98,晟楠科技,29.96,22.21
16,汽车热管理,2032.4,0.18,115.98,118.45,-2.47,143,飞龙股份,10.0,58.07
17,铜缆高速连接,2996.16,0.17,132.98,130.43,2.56,47,远东股份,9.98,19.5
18,高铁,3610.3,0.16,119.19,131.49,-12.3,181,益坤电气,17.24,28.77
19,液冷服务器,2250.31,0.13,672.97,726.35,-53.38,232,科隆新材,14.57,21.54
20,ST板块,500.545,0.09,39.31,45.6,-6.29,203,*ST宝馨,10.19,2.27
21,减速器,1833.11,0.07,98.3,102.26,-3.96,139,晟楠科技,29.96,22.21
22,专精特新,1618.14,0.06,853.9,885.57,-31.68,1233,维琪科技,29.98,70.66
23,家用电器,4001.48,0.04,179.64,187.26,-7.61,184,国芳集团,10.01,11.1
24,ETC,1727.24,0.0,29.19,33.47,-4.28,42,恒宝股份,10.02,13.51
25,太赫兹,1986.89,-0.01,92.19,98.74,-6.55,23,中兵红箭,6.69,15.62
