序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,PET铜箔,2031.86,1.72,186.29,187.64,-1.35,49,双星新材,10.04,12.06
2,国家大基金持股,2801.72,1.34,345.35,322.97,22.38,52,臻宝科技,12.34,274.0
3,光刻胶,4747.75,1.15,119.62,104.14,15.48,79,宝丽迪,15.53,40.55
4,中芯国际概念,3219.01,1.11,322.4,297.9,24.5,91,华海清科,8.64,255.5
5,MLCC概念,1165.05,1.03,183.28,177.6,5.68,38,双星新材,10.04,12.06
6,存储芯片,2569.17,1.02,899.14,848.45,50.69,203,气派科技,15.93,37.11
7,PVDF概念,1377.59,0.97,27.77,24.8,2.97,17,浙江众成,10.04,5.81
8,先进封装,2584.64,0.81,772.31,760.84,11.47,207,气派科技,15.93,37.11
9,科创次新股,628.454,0.78,118.0,127.81,-9.82,29,臻宝科技,12.34,274.0
10,PCB概念,2689.11,0.58,884.96,899.59,-14.63,238,西陇科学,10.01,8.68
11,注册制次新股,152.109,0.54,162.24,170.81,-8.57,89,臻宝科技,12.34,274.0
12,OLED,2966.54,0.41,401.45,391.72,9.73,156,臻宝科技,12.34,274.0
13,汽车芯片,1282.68,0.34,367.28,339.9,27.37,143,气派科技,15.93,37.11
14,MCU芯片,1620.7,0.2,184.25,174.32,9.92,95,气派科技,15.93,37.11
15,光刻机,2476.19,0.17,125.6,116.73,8.88,52,珂玛科技,4.95,90.25
16,超级电容,3039.43,0.15,135.17,134.66,0.51,45,纳科诺尔,5.61,17.52
17,氟化工概念,5237.03,0.14,110.09,105.87,4.23,69,西陇科学,10.01,8.68
18,玻璃基板,647.635,0.1,158.91,154.67,4.24,57,戈碧迦,9.74,99.38
19,华为海思概念股,3981.38,0.02,126.48,117.28,9.2,52,移远通信,6.64,66.85
20,第三代半导体,2470.35,-0.01,412.22,406.74,5.48,181,气派科技,15.93,37.11
21,固态电池,1364.34,-0.03,486.77,535.57,-48.79,298,宏工科技,15.03,67.5
22,MLOps概念,978.241,-0.04,11.79,14.61,-2.82,18,启明信息,10.01,16.81
23,新股与次新股,11796.1,-0.08,162.24,170.81,-8.57,159,振宏股份,13.07,30.53
24,芯片概念,4772.92,-0.1,2171.37,2192.6,-21.23,926,气派科技,15.93,37.11
25,电子纸,1213.15,-0.11,40.76,37.42,3.34,27,汉王科技,9.99,17.5
26,华为手机,1624.61,-0.13,114.74,134.21,-19.47,45,方邦股份,8.46,159.0
27,举牌,2976.34,-0.16,6.93,7.5,-0.58,22,欧克科技,9.99,46.11
28,共封装光学(CPO),5942.68,-0.18,1126.3,1175.0,-48.69,216,澳弘电子,9.99,40.3
29,消费电子概念,3087.9,-0.2,852.91,897.91,-45.0,508,气派科技,15.93,37.11
30,6G概念,2439.57,-0.24,295.2,318.21,-23.01,99,华正新材,10.0,251.57
31,MiniLED,2710.36,-0.24,329.36,350.33,-20.97,108,华正新材,10.0,251.57
32,钠离子电池,1189.31,-0.27,203.81,237.04,-33.23,143,宏工科技,15.03,67.5
33,金属钴,2529.81,-0.29,75.28,88.2,-12.92,33,中钨高新,5.17,62.23
34,柔性屏(折叠屏),3122.95,-0.32,205.27,215.9,-10.63,110,双星新材,10.04,12.06
35,中船系,1804.41,-0.42,33.13,35.2,-2.07,20,中船特气,4.51,227.99
36,2026一季报预增,1149.39,-0.42,309.74,317.45,-7.71,101,中钨高新,5.17,62.23
37,毫米波雷达,2073.79,-0.44,336.95,360.31,-23.35,126,华正新材,10.0,251.57
38,MicroLED概念,1696.15,-0.45,156.91,158.73,-1.82,82,华海清科,8.64,255.5
39,智能穿戴,4134.51,-0.46,391.66,430.32,-38.66,242,华瓷股份,9.97,16.43
40,碳纤维,1920.2,-0.48,67.03,71.93,-4.91,82,双一科技,6.58,23.99
41,核污染防治,1530.76,-0.48,33.36,39.37,-6.02,59,德尔未来,10.02,10.21
42,石墨烯,1703.8,-0.49,85.38,100.54,-15.16,78,德尔未来,10.02,10.21
43,宁德时代概念,2170.25,-0.5,441.62,488.64,-47.02,301,宏工科技,15.03,67.5
44,稀土永磁,3418.2,-0.5,76.11,79.83,-3.72,65,方邦股份,8.46,159.0
45,AI眼镜,2524.93,-0.53,341.14,370.71,-29.57,193,光电股份,7.53,22.13
46,英伟达概念,1797.24,-0.56,261.22,267.48,-6.26,81,移远通信,6.64,66.85
47,光纤概念,3751.21,-0.58,526.56,555.42,-28.86,113,浙江众成,10.04,5.81
48,锂电池概念,1830.5,-0.59,833.03,916.84,-83.81,610,宏工科技,15.03,67.5
49,钙钛矿电池,1049.83,-0.61,138.0,137.81,0.2,92,曼恩斯特,7.98,29.91
50,牙科医疗,1089.51,-0.61,43.42,44.66,-1.24,30,宏盛股份,10.01,40.21
51,有机硅概念,1909.17,-0.62,36.84,38.42,-1.59,55,三孚股份,6.42,53.17
52,星闪概念,1317.38,-0.65,51.64,57.62,-5.98,74,移远通信,6.64,66.85
53,汽车电子,5514.12,-0.66,917.07,927.45,-10.38,396,启明信息,10.01,16.81
54,小米概念,1972.73,-0.66,608.52,625.73,-17.21,374,双星新材,10.04,12.06
55,5G,6360.94,-0.69,1321.34,1395.65,-74.31,453,气派科技,15.93,37.11
56,F5G概念,4281.56,-0.7,218.05,233.06,-15.01,36,意华股份,5.04,74.99
57,2026中报预增,1062.37,-0.7,1419.04,1495.42,-76.39,513,和顺石油,10.01,41.44
58,液冷服务器,2170.53,-0.71,548.44,602.43,-53.99,239,宏盛股份,10.01,40.21
59,华为盘古,950.855,-0.72,19.39,21.6,-2.21,29,阳光诺和,3.37,73.0
60,富士康概念,3591.23,-0.72,218.92,228.65,-9.74,109,斯迪克,9.35,57.42
61,苹果概念,5687.12,-0.74,309.47,350.84,-41.37,140,斯迪克,9.35,57.42
62,同花顺出海50,1788.94,-0.75,308.36,379.27,-70.91,50,匠心家居,12.54,40.56
63,数据安全,1079.97,-0.75,221.74,234.26,-12.52,175,博汇科技,19.98,27.38
64,AI手机,1923.08,-0.76,130.65,149.89,-19.24,40,芯原股份,3.21,185.0
65,PEEK材料,1818.52,-0.77,83.24,80.66,2.59,54,双一科技,6.58,23.99
66,风电,1244.58,-0.77,579.58,638.46,-58.88,444,振宏股份,13.07,30.53
67,同花顺中特估100,1158.85,-0.77,246.47,300.94,-54.47,100,中国出版,4.19,5.97
68,动力电池回收,811.692,-0.77,154.64,188.55,-33.91,95,宏工科技,15.03,67.5
69,传感器,1525.79,-0.77,316.75,319.35,-2.6,271,气派科技,15.93,37.11
70,证金持股,1125.7,-0.78,77.68,107.53,-29.85,33,人民网,3.98,17.23
71,新型烟草(电子烟),2019.72,-0.8,78.25,82.14,-3.89,53,沃特股份,5.96,26.85
72,海工装备,3417.08,-0.81,343.98,389.06,-45.08,275,海力风电,12.84,44.2
73,无线耳机,2417.45,-0.81,180.55,197.07,-16.51,99,斯迪克,9.35,57.42
74,专精特新,1546.07,-0.81,913.03,911.7,1.33,1244,气派科技,15.93,37.11
75,BC电池,1146.67,-0.82,75.45,74.72,0.72,52,广信材料,5.57,21.41
76,同花顺新质50,2129.48,-0.82,349.21,369.7,-20.48,50,航天电器,5.33,68.78
77,POE胶膜,853.665,-0.82,20.44,21.73,-1.29,29,新广益,4.48,51.27
78,沪股通,2305.88,-0.83,2181.34,2388.39,-207.05,1643,宏盛股份,10.01,40.21
79,工业母机,1822.68,-0.84,123.14,122.65,0.49,117,章源钨业,5.73,24.74
80,石墨电极,990.231,-0.84,15.81,15.94,-0.13,26,翔丰华,2.81,26.02
81,金属镍,1197.59,-0.85,46.44,55.16,-8.72,39,福龙马,5.65,14.02
82,可控核聚变,2221.89,-0.85,218.66,229.71,-11.05,116,宏微科技,6.77,25.55
83,国产操作系统,1653.58,-0.86,137.7,146.8,-9.1,134,中新赛克,10.02,28.45
84,同花顺果指数,2149.54,-0.87,109.67,143.18,-33.51,20,中石科技,5.06,88.89
85,小金属概念,3400.72,-0.87,273.52,316.46,-42.95,172,大为股份,10.0,29.49
86,同花顺漂亮100,785.288,-0.88,373.55,478.39,-104.84,100,先导智能,5.56,31.54
87,商业航天,2087.09,-0.88,801.25,863.29,-62.04,507,澳弘电子,9.99,40.3
88,高股息精选,1477.57,-0.88,215.69,268.18,-52.49,285,海星股份,5.82,92.9
89,知识产权保护,1669.45,-0.89,31.93,34.85,-2.92,51,中国出版,4.19,5.97
90,华为昇腾,1409.66,-0.89,65.52,75.44,-9.92,105,众诚科技,9.75,22.86
91,比亚迪概念,1830.45,-0.89,763.29,802.55,-39.26,692,宏工科技,15.03,67.5
92,EDR概念,1479.74,-0.9,49.26,54.3,-5.05,20,启明信息,10.01,16.81
93,染料,1453.63,-0.9,18.17,19.29,-1.12,40,宝丽迪,15.53,40.55
94,高端装备,3143.78,-0.91,418.04,455.06,-37.03,399,臻宝科技,12.34,274.0
95,3D打印,4211.44,-0.92,204.38,216.72,-12.34,142,宝丽迪,15.53,40.55
96,汽车拆解概念,1510.58,-0.92,27.52,35.68,-8.16,46,山子高科,5.96,3.02
97,中字头股票,1730.51,-0.93,235.74,261.22,-25.49,134,中钨高新,5.17,62.23
98,卫星导航,4330.15,-0.93,372.04,398.86,-26.82,280,启明信息,10.01,16.81
99,硅能源,1069.33,-0.94,73.32,80.65,-7.33,68,中晶科技,10.0,30.58
100,柔性直流输电,1461.38,-0.95,129.1,144.96,-15.87,67,华瓷股份,9.97,16.43
101,数据中心(AIDC),2214.39,-0.95,1392.3,1490.59,-98.29,657,中新赛克,10.02,28.45
102,芬太尼,2057.44,-0.95,1.15,1.46,-0.32,8,羚锐制药,0.57,19.27
103,人形机器人,2274.6,-0.96,552.07,607.23,-55.16,465,启明信息,10.01,16.81
104,环氧丙烷,1532.84,-0.96,15.41,19.25,-3.85,26,怡达股份,6.51,22.1
105,智能座舱,1519.91,-0.97,233.26,242.55,-9.29,171,隆扬电子,8.54,61.79
106,网络安全,5179.31,-0.97,248.43,268.66,-20.23,195,博汇科技,19.98,27.38
107,共享单车,1004.8,-0.98,2.79,3.36,-0.57,14,博实结,9.26,45.3
108,光伏概念,4150.19,-0.99,851.15,867.6,-16.46,602,凌玮科技,11.52,109.6
109,无线充电,1990.53,-0.99,67.51,75.06,-7.55,60,中石科技,5.06,88.89
110,东数西算(算力),2122.0,-1.0,765.72,820.11,-54.38,415,中新赛克,10.02,28.45
111,财税数字化,1615.8,-1.0,41.68,54.66,-12.98,65,中新赛克,10.02,28.45
112,ERP概念,1265.05,-1.0,16.37,18.62,-2.25,35,启明信息,10.01,16.81
113,融资融券,1719.08,-1.0,4463.93,4849.9,-385.97,3867,博汇科技,19.98,27.38
114,特钢概念,2861.16,-1.01,16.2,17.97,-1.77,43,甬金股份,1.46,25.03
115,深股通,1254.62,-1.03,2330.67,2568.28,-237.61,1880,宝丽迪,15.53,40.55
116,抽水蓄能,1507.6,-1.03,94.58,110.49,-15.9,81,中闽能源,9.96,6.29
117,核电,3875.21,-1.03,319.52,365.86,-46.35,351,西陇科学,10.01,8.68
118,特高压,4836.2,-1.03,249.37,266.06,-16.69,132,华瓷股份,9.97,16.43
119,C2M概念,1857.81,-1.03,12.7,14.71,-2.01,39,德尔未来,10.02,10.21
120,储能,2370.23,-1.05,980.46,1086.34,-105.88,901,宏盛股份,10.01,40.21
121,华为概念,3344.89,-1.05,1410.92,1559.35,-148.44,1006,博汇科技,19.98,27.38
122,减肥药,1350.04,-1.05,39.25,44.86,-5.62,67,万邦医药,6.63,67.82
123,高压快充,1862.08,-1.05,169.27,191.13,-21.87,125,和顺石油,10.01,41.44
124,多模态AI,1217.65,-1.07,121.84,156.16,-34.32,156,博汇科技,19.98,27.38
125,机器视觉,1823.46,-1.07,210.85,230.38,-19.53,251,汉王科技,9.99,17.5
126,绿色电力,1135.33,-1.08,401.25,470.81,-69.56,427,海力风电,12.84,44.2
127,新能源汽车,4421.93,-1.08,1299.52,1427.94,-128.42,1061,双星新材,10.04,12.06
128,特斯拉概念,5129.15,-1.09,370.45,421.96,-51.51,248,诺德股份,9.97,12.13
129,航空发动机,3066.17,-1.09,84.17,94.02,-9.86,99,东方钽业,4.86,57.2
130,国产航母,1951.67,-1.11,54.38,63.27,-8.89,36,光电股份,7.53,22.13
131,脑机接口,1483.94,-1.11,56.53,65.3,-8.76,73,一博科技,5.33,66.21
132,无人驾驶,2739.73,-1.11,600.83,658.67,-57.84,408,启明信息,10.01,16.81
133,超级品牌,1413.66,-1.12,66.69,83.23,-16.54,49,古越龙山,3.98,8.88
134,云计算,3596.88,-1.13,230.69,265.14,-34.45,224,中新赛克,10.02,28.45
135,煤炭概念,2303.48,-1.14,89.21,101.35,-12.14,89,云煤能源,7.08,5.29
136,智能家居,3561.0,-1.14,221.7,241.2,-19.5,292,匠心家居,12.54,40.56
137,信创,1880.83,-1.15,241.76,277.4,-35.64,303,博汇科技,19.98,27.38
138,期货概念,1698.16,-1.15,42.54,61.2,-18.66,70,南华期货,0.92,12.13
139,铜缆高速连接,3050.14,-1.16,164.49,181.51,-17.03,48,航天电器,5.33,68.78
140,消毒剂,1971.26,-1.16,47.84,53.03,-5.19,61,西陇科学,10.01,8.68
141,氢能源,2534.16,-1.17,380.47,412.65,-32.18,405,宏盛股份,10.01,40.21
142,军工,2248.72,-1.17,668.78,734.41,-65.62,608,振宏股份,13.07,30.53
143,鸿蒙概念,1678.24,-1.18,151.25,181.94,-30.68,261,汉王科技,9.99,17.5
144,金属回收,1121.95,-1.19,95.47,105.64,-10.17,88,吉鑫科技,9.98,5.18
145,机器人概念,3733.62,-1.19,1110.01,1242.24,-132.23,1228,北自科技,10.01,48.16
146,AI语料,1098.98,-1.19,53.49,69.4,-15.91,53,汉王科技,9.99,17.5
147,煤化工概念,2397.62,-1.19,99.93,116.56,-16.62,114,宏盛股份,10.01,40.21
148,丙烯酸,1933.95,-1.2,15.58,19.15,-3.57,20,兴业股份,2.91,11.68
149,无人机,2905.22,-1.21,486.66,558.61,-71.95,466,中新赛克,10.02,28.45
150,磷化工,2916.61,-1.21,68.46,78.58,-10.12,69,西陇科学,10.01,8.68
151,HJT电池,2834.04,-1.21,82.48,82.14,0.34,69,利元亨,6.1,33.38
