序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,油气开采及服务,1755.44,2.32,42.28,33.49,8.78,19,ST洲际,9.87,2.56
2,影视院线,1360.3,2.22,30.57,33.27,-2.7,20,华智数媒,20.0,7.8
3,医药商业,4815.46,1.68,29.0,32.29,-3.29,32,开开实业,10.02,15.7
4,环保设备,1390.47,1.36,15.74,12.88,2.86,30,蓝盾光电,19.99,27.37
5,生物制品,6297.67,1.19,74.08,70.98,3.1,55,甘李药业,10.0,74.47
6,电机,3385.33,0.9,20.86,18.93,1.93,26,三协电机,5.43,37.3
7,医疗服务,20736.8,0.89,202.0,203.93,-1.93,56,万邦医药,20.0,70.39
8,黑色家电,4050.31,0.53,5.59,5.82,-0.23,9,兆驰股份,2.38,8.18
9,房地产,1674.85,0.38,38.99,40.89,-1.9,88,京投发展,9.99,10.68
10,中药,3210.44,0.34,45.82,46.09,-0.27,68,振东制药,14.26,6.01
11,光伏设备,7388.71,0.32,120.46,100.87,19.59,72,琏升科技,7.59,8.93
12,综合,2216.59,0.31,11.42,13.18,-1.76,18,亚泰集团,10.0,1.87
13,其他电源设备,6130.09,0.3,55.24,56.09,-0.85,35,盛弘股份,12.92,43.87
14,自动化设备,28791.1,0.3,142.2,138.19,4.01,96,田中精机,10.92,35.36
15,服装家纺,2891.78,0.29,22.34,25.13,-2.79,75,金一文化,10.11,3.05
16,化学制药,6423.88,0.17,229.6,229.31,0.29,158,哈药股份,9.97,8.27
17,造纸,2088.84,0.17,8.2,8.44,-0.24,24,安妮股份,10.02,9.55
18,零售,1836.87,0.17,34.16,35.26,-1.11,71,香江控股,10.0,4.29
19,汽车零部件,5797.11,0.15,138.31,132.75,5.56,271,福赛科技,20.0,96.16
20,通信服务,2715.52,0.07,54.09,54.43,-0.35,44,城地香江,10.02,10.32
21,元件,23544.9,0.07,522.72,524.59,-1.87,63,达利凯普,13.21,28.19
22,消费电子,12139.8,0.07,170.94,183.12,-12.18,96,昀冢科技,6.44,122.1
23,软件开发,1932.93,0.02,153.12,141.05,12.07,138,天融信,9.97,7.17
24,煤炭开采加工,2956.84,-0.0,46.38,47.45,-1.06,34,新大洲A,3.65,7.38
25,其他电子,20339.1,-0.06,64.0,67.98,-3.98,34,洁美科技,10.0,81.32
26,建筑装饰,4035.34,-0.07,73.22,80.8,-7.58,143,甘咨询,10.03,12.73
27,电力,1985.95,-0.08,129.94,147.19,-17.25,110,立新能源,10.01,15.93
28,塑料制品,10517.7,-0.12,69.44,75.26,-5.81,77,双星新材,10.04,10.52
29,通信设备,8906.59,-0.14,570.09,553.28,16.81,91,武汉凡谷,10.0,11.0
30,通用设备,9045.13,-0.15,188.8,192.66,-3.86,253,国仪公司,419.46,110.23
31,饮料制造,4931.87,-0.16,24.0,31.75,-7.76,47,皇氏集团,10.09,3.82
32,汽车服务及其他,1095.27,-0.16,12.85,11.66,1.2,26,九号公司,7.44,45.5
33,公路铁路运输,1292.54,-0.19,11.47,15.05,-3.58,32,大众交通,10.09,5.02
34,银行,1320.46,-0.24,76.62,77.55,-0.93,84,厦门银行,1.51,7.38
35,物流,5104.85,-0.25,11.46,13.12,-1.66,50,新宁物流,4.8,4.15
36,专用设备,7334.29,-0.26,117.3,129.17,-11.87,200,同力天启,10.0,28.17
37,医疗器械,11043.5,-0.28,67.48,72.36,-4.88,140,澳华内镜,5.71,29.81
38,白色家电,7925.65,-0.3,44.26,40.72,3.53,44,宏昌科技,10.84,42.45
39,光学光电子,5252.48,-0.32,159.54,159.24,0.3,107,东田微,6.33,191.3
40,纺织制造,2298.71,-0.33,9.07,10.99,-1.93,33,华利集团,5.83,36.1
41,旅游及酒店,2759.93,-0.33,8.11,9.57,-1.45,35,*ST西旅,4.25,6.14
42,IT服务,12220.4,-0.38,143.99,154.62,-10.63,129,鸿博股份,10.03,11.74
43,环境治理,4063.25,-0.38,32.48,39.72,-7.24,111,联泰环保,10.02,5.05
44,计算机设备,3981.75,-0.45,84.57,99.94,-15.37,83,恒银科技,10.01,9.34
