序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,种植业与林业,4472.23,9.36,52.86,42.76,10.1,30,秋乐种业,29.98,15.61
2,农产品加工,3736.83,3.51,33.92,30.88,3.04,43,大北农,10.1,3.38
3,养殖业,2933.31,2.95,37.47,29.39,8.08,36,天山生物,20.04,12.88
4,农化制品,4919.67,2.3,62.2,58.53,3.68,61,农大科技,12.65,32.24
5,油气开采及服务,1726.71,2.06,29.39,26.41,2.98,19,海油工程,7.31,6.02
6,燃气,1873.92,1.53,14.86,12.75,2.1,27,洪通燃气,6.07,10.84
7,食品加工制造,4851.74,1.5,43.23,48.0,-4.77,66,康比特,11.6,10.87
8,工程机械,3119.99,1.21,17.66,18.78,-1.13,36,万达轴承,10.61,62.12
9,自动化设备,30155.0,1.04,232.59,233.75,-1.16,98,频准激光,516.44,1152.0
10,电机,3448.8,1.0,27.21,22.22,5.0,26,卧龙电驱,7.4,37.87
11,光学光电子,5556.52,0.96,267.77,254.62,13.16,107,骏成科技,20.0,21.18
12,教育,4153.7,0.92,7.91,9.52,-1.61,15,学大教育,10.0,35.54
13,港口航运,1220.64,0.84,27.25,23.31,3.94,36,国航远洋,4.49,9.08
14,零售,1854.34,0.74,43.68,41.02,2.66,71,浙江东日,10.0,35.2
15,饮料制造,5021.44,0.7,27.79,32.16,-4.37,47,一鸣食品,10.0,38.61
16,橡胶制品,13546.9,0.63,11.34,12.1,-0.77,22,中裕科技,5.23,15.08
17,光伏设备,7587.08,0.6,115.19,103.94,11.25,72,迈为股份,13.6,212.5
18,石油加工贸易,3505.33,0.57,19.45,15.92,3.53,27,恒力石化,2.86,17.96
19,电子化学品,97093.8,0.46,230.18,267.84,-37.66,43,中石科技,20.0,97.0
20,化学原料,3215.05,0.45,46.61,47.16,-0.55,59,红星发展,10.01,38.23
21,煤炭开采加工,2932.15,0.43,41.73,40.52,1.22,34,宝泰隆,3.37,2.76
22,通用设备,9390.93,0.41,220.95,232.83,-11.88,253,鼎阳科技,20.0,69.83
23,贵金属,5657.38,0.4,79.47,81.1,-1.63,14,招金黄金,4.34,18.52
24,塑料制品,10977.2,0.38,79.14,89.27,-10.13,77,瑞丰高材,15.36,19.38
25,汽车零部件,5912.6,0.33,135.44,141.53,-6.08,272,襄阳轴承,10.05,10.51
26,轨交设备,1002.2,0.3,8.07,7.22,0.84,30,研奥股份,6.63,25.9
27,非金属材料,31694.3,0.28,26.54,30.65,-4.11,16,平安电工,4.45,96.2
28,金属新材料,14438.5,0.26,26.4,29.28,-2.89,34,大地熊,15.84,32.26
29,白酒,2045.14,0.24,42.98,45.41,-2.43,19,顺鑫农业,2.57,10.78
30,银行,1320.22,0.24,106.5,80.2,26.3,84,中国银行,2.2,6.03
31,半导体,17729.9,0.23,1461.79,1614.39,-152.6,185,有研硅,13.43,49.48
32,汽车服务及其他,1099.83,0.2,9.29,10.12,-0.83,26,华洋赛车,8.5,28.98
33,专用设备,7528.42,0.19,150.27,160.51,-10.24,200,浩淼科技,19.82,15.72
34,其他社会服务,19540.7,0.14,15.58,17.32,-1.75,84,天溯计量,11.66,43.76
35,服装家纺,2909.32,0.13,16.4,18.6,-2.19,75,哈森股份,10.01,18.46
36,物流,5134.28,0.11,12.97,13.63,-0.66,50,原尚股份,6.51,33.55
37,白色家电,8065.6,0.1,44.58,45.37,-0.79,44,华翔股份,10.01,16.59
38,小家电,4089.03,0.1,10.47,8.75,1.72,26,石头科技,6.68,120.8
39,钢铁,1519.44,0.04,21.96,24.36,-2.4,43,甬金股份,6.91,27.53
40,化学纤维,3729.74,0.01,18.5,20.22,-1.72,29,天富龙,10.01,29.56
41,化学制品,7327.95,-0.02,134.43,159.8,-25.37,181,ST宁科,10.11,2.94
42,建筑装饰,4092.56,-0.09,87.01,110.72,-23.71,143,富煌钢构,10.1,4.47
43,家居用品,3944.75,-0.1,22.21,23.53,-1.32,99,爱丽家居,10.01,30.0
44,建筑材料,5608.17,-0.1,82.77,106.83,-24.06,73,法狮龙,4.63,84.57
45,消费电子,12603.7,-0.11,196.84,238.91,-42.07,96,共达电声,8.38,38.02
46,其他电子,21542.5,-0.14,70.98,88.2,-17.22,34,旭光电子,9.99,37.54
47,旅游及酒店,2725.84,-0.15,6.53,7.38,-0.84,35,张家界,1.81,6.73
48,黑色家电,4084.86,-0.2,5.32,7.74,-2.42,9,海信视像,3.56,26.16
49,元件,25147.5,-0.23,404.5,507.83,-103.33,63,金禄电子,11.06,39.06
50,贸易,2543.9,-0.27,2.55,3.12,-0.57,14,远大控股,1.77,8.04
51,美容护理,4760.33,-0.27,6.63,8.76,-2.12,34,芭薇股份,2.57,10.78
52,纺织制造,2313.68,-0.29,9.81,11.95,-2.13,33,金春股份,12.75,29.0
53,造纸,2081.41,-0.32,9.26,9.87,-0.61,24,景兴纸业,7.75,4.73
54,计算机设备,4052.99,-0.39,112.98,128.85,-15.87,83,飞天诚信,10.17,12.35
55,环境治理,4116.04,-0.41,41.58,46.55,-4.97,111,九州一轨,12.32,89.99
56,公路铁路运输,1287.05,-0.41,9.8,10.36,-0.56,32,大秦铁路,0.85,4.74
57,房地产,1677.07,-0.42,38.01,49.37,-11.35,88,盈新发展,10.0,3.41
58,医疗器械,11171.5,-0.45,61.86,66.66,-4.8,140,浩欧博,7.91,101.2
59,工业金属,4401.65,-0.46,90.56,120.34,-29.78,55,华峰铝业,10.01,16.7
60,医药商业,4859.48,-0.52,17.81,21.61,-3.8,32,开开实业,9.98,20.93
61,厨卫电器,5737.61,-0.53,1.62,1.99,-0.38,9,火星人,1.88,11.9
62,包装印刷,4348.93,-0.58,11.19,14.39,-3.2,46,*ST集友,3.75,8.02
63,电网设备,6584.57,-0.6,109.88,144.14,-34.26,140,日丰股份,10.01,10.66
64,软件开发,1920.64,-0.6,125.4,158.38,-32.98,138,诚迈科技,20.01,34.6
65,化学制药,6531.55,-0.6,157.48,177.46,-19.98,158,神奇制药,10.07,7.76
66,小金属,9442.1,-0.65,149.2,175.73,-26.53,29,中钨高新,3.48,72.94
67,机场航运,1754.0,-0.72,5.5,7.28,-1.78,13,厦门空港,0.48,14.79
68,汽车整车,2515.31,-0.73,23.57,28.9,-5.33,23,宇通客车,2.21,29.59
69,军工电子,12071.5,-0.78,67.83,72.71,-4.88,63,航天电器,10.01,71.68
70,保险,1940.25,-0.85,17.96,25.76,-7.81,5,中国人保,0.0,6.91
71,电力,1926.7,-0.87,89.91,136.77,-46.87,110,物产环能,10.0,13.2
