序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,农化制品,5298.79,4.71,108.34,78.88,29.46,61,川金诺,11.69,22.93
2,油气开采及服务,1812.11,4.23,34.06,22.54,11.53,19,中曼石油,9.98,24.9
3,农产品加工,4190.96,3.5,49.94,60.53,-10.59,43,欧福蛋业,29.91,10.25
4,种植业与林业,5270.69,3.29,74.77,73.25,1.52,30,亚盛集团,10.0,5.28
5,医疗服务,19887.3,3.08,106.37,89.63,16.75,56,奥浦迈,20.0,68.29
6,煤炭开采加工,3102.1,2.96,51.66,41.64,10.02,34,云煤能源,10.1,4.47
7,石油加工贸易,3824.62,2.92,35.21,23.27,11.94,27,华锦股份,10.02,6.15
8,化学原料,3419.71,2.54,58.4,47.52,10.88,59,华昌化工,10.03,6.69
9,综合,2358.19,2.53,14.58,13.35,1.24,18,亚泰集团,10.11,2.07
10,文化传媒,2822.07,2.44,136.1,146.81,-10.71,85,中信出版,19.99,31.75
11,燃气,1943.07,2.42,11.62,9.42,2.2,27,贵州燃气,10.02,7.25
12,钢铁,1549.27,2.4,36.05,22.32,13.73,44,本钢板材,5.65,2.43
13,房地产,1757.02,2.25,66.93,60.1,6.83,88,世联行,10.17,2.6
14,工业金属,4546.4,2.12,186.57,139.48,47.09,55,精艺股份,10.03,10.53
15,贸易,2671.64,2.03,5.22,3.6,1.62,14,远大控股,5.68,10.42
16,教育,4427.22,1.95,11.71,10.08,1.64,15,ST东时,4.9,3.21
17,生物制品,6186.43,1.93,43.3,35.54,7.77,55,近岸蛋白,15.33,71.01
18,影视院线,1433.25,1.93,30.02,29.14,0.88,20,上海电影,9.99,22.69
19,橡胶制品,14091.2,1.8,7.74,6.84,0.9,22,黑猫股份,10.04,9.1
20,饮料制造,5174.42,1.7,24.78,29.02,-4.25,47,骑士乳业,11.97,9.73
21,中药,3226.94,1.65,39.44,34.58,4.86,68,精华制药,10.06,8.42
22,军工装备,2195.4,1.58,131.07,116.77,14.31,82,航发科技,8.51,41.19
23,化学制药,6362.58,1.5,115.9,123.22,-7.32,158,纳微科技,12.1,41.4
24,多元金融,1127.93,1.45,25.37,22.05,3.32,26,新力金融,5.62,7.52
25,造纸,2126.86,1.43,14.85,14.77,0.07,24,ST晨鸣,5.67,2.05
26,厨卫电器,6046.46,1.42,3.87,2.97,0.9,9,亿田智能,6.21,29.61
27,零售,2016.0,1.33,66.13,69.25,-3.11,71,大连友谊,10.08,7.21
28,汽车整车,2531.51,1.31,26.87,25.53,1.34,23,众泰汽车,10.18,1.84
29,电力,1942.33,1.3,93.69,78.53,15.16,110,金房能源,7.63,30.45
30,化学制品,7334.06,1.29,117.72,106.1,11.61,183,三元生物,14.26,27.0
31,化学纤维,3797.62,1.26,20.38,17.38,3.0,29,恒逸石化,6.78,18.89
32,环境治理,4203.36,1.15,41.2,38.52,2.68,111,祥龙电业,10.02,16.91
33,风电设备,4093.36,1.1,18.22,16.78,1.44,32,电气风电,14.6,8.95
34,食品加工制造,4948.32,1.05,32.43,40.04,-7.6,66,海欣食品,10.05,6.79
35,旅游及酒店,3072.63,1.02,24.48,25.87,-1.39,35,桂林旅游,10.03,8.01
36,建筑装饰,4260.0,1.0,90.93,78.37,12.56,143,圣晖集成,10.0,85.61
37,医药商业,4756.81,1.0,12.39,11.9,0.49,32,百洋医药,6.7,25.02
38,银行,1389.47,0.99,98.33,82.24,16.08,84,西安银行,2.85,3.61
39,物流,5309.55,0.98,12.11,10.2,1.91,50,广汇物流,4.38,5.0
40,美容护理,4925.89,0.9,8.05,8.63,-0.58,34,维琪科技,5.22,71.8
41,小家电,4138.67,0.89,4.87,8.71,-3.84,26,爱仕达,9.99,13.65
42,服装家纺,2965.38,0.87,25.2,25.79,-0.59,75,众望布艺,6.21,25.47
43,纺织制造,2341.72,0.86,8.03,6.16,1.87,33,华孚时尚,4.09,4.07
44,建筑材料,5701.63,0.86,67.3,67.36,-0.06,73,青龙管业,6.27,12.88
45,养殖业,3137.45,0.85,35.38,38.52,-3.14,36,中水渔业,3.32,11.52
46,环保设备,1441.0,0.83,10.06,10.76,-0.7,30,法尔胜,9.96,9.16
47,其他社会服务,19507.0,0.75,11.72,11.0,0.73,84,胜科纳米,6.28,31.83
48,军工电子,11648.8,0.74,35.38,38.34,-2.96,61,合众思壮,10.0,7.81
