序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,种植业与林业,4766.28,3.08,51.71,49.54,2.16,30,敦煌种业,10.05,8.21
2,农化制品,5121.72,2.9,75.95,64.14,11.8,61,潞化科技,10.11,2.94
3,化学原料,3396.73,2.74,74.54,62.95,11.6,59,迪尔化工,15.22,10.75
4,石油加工贸易,3702.27,2.48,30.2,22.04,8.16,27,华锦股份,10.08,5.57
5,农产品加工,3841.63,2.25,38.31,35.14,3.17,43,冠农股份,10.0,11.77
6,贸易,2659.44,2.19,6.04,5.63,0.41,14,远大控股,10.06,9.41
7,零售,1895.02,1.93,39.57,36.1,3.48,71,香江控股,10.06,5.36
8,服装家纺,2924.41,1.84,36.42,32.19,4.23,75,嘉麟杰,10.07,2.95
9,旅游及酒店,2873.71,1.69,15.33,12.3,3.03,35,陕西旅游,4.96,68.77
10,化学制品,7311.6,1.59,159.41,162.48,-3.07,182,华大海天,126.81,28.51
11,房地产,1723.19,1.52,54.5,51.73,2.76,88,我爱我家,10.0,2.64
12,饮料制造,4980.62,1.48,25.05,22.28,2.77,47,骑士乳业,8.16,7.95
13,化学纤维,3840.77,1.46,30.27,26.45,3.82,29,尤夫股份,9.96,5.19
14,钢铁,1563.66,1.46,27.81,22.43,5.38,43,柳钢股份,10.05,4.05
15,燃气,1876.67,1.37,9.45,8.09,1.37,27,升达林业,5.81,4.37
16,贵金属,6307.01,1.24,144.42,133.16,11.26,14,湖南黄金,7.03,28.92
17,白酒,2019.29,1.22,30.02,22.94,7.08,19,迎驾贡酒,2.87,40.51
18,养殖业,2957.97,1.21,25.87,22.49,3.38,36,中水渔业,10.0,10.12
19,教育,4230.93,1.21,9.54,9.74,-0.2,15,华图山鼎,7.43,24.13
20,港口航运,1261.13,1.16,36.19,34.29,1.89,36,海通发展,6.02,12.68
21,工业金属,4587.68,1.14,170.99,156.21,14.77,55,闽发铝业,9.9,4.33
22,油气开采及服务,1760.31,1.1,16.94,14.82,2.12,19,通源石油,3.66,10.19
23,食品加工制造,4775.19,1.07,33.07,33.24,-0.17,66,黑芝麻,10.1,5.67
24,煤炭开采加工,3173.73,0.96,44.76,44.27,0.49,34,郑州煤电,4.45,4.46
25,物流,5213.78,0.95,15.25,13.79,1.45,50,ST海钦,4.58,10.28
26,公路铁路运输,1324.03,0.93,11.61,10.29,1.32,32,五洲交通,3.77,4.41
27,家居用品,3993.28,0.88,25.69,28.53,-2.84,99,海鸥住工,10.06,5.8
28,建筑材料,5643.43,0.86,85.25,88.63,-3.38,73,山东玻纤,9.98,15.54
29,造纸,2112.69,0.84,15.56,19.36,-3.8,24,安妮股份,2.88,8.93
30,能源金属,32588.2,0.83,54.88,49.71,5.17,13,天齐锂业,3.88,50.1
31,综合,2316.3,0.83,9.23,11.5,-2.27,18,上海三毛,9.99,12.22
32,建筑装饰,4139.72,0.82,72.66,73.39,-0.73,143,华阳国际,10.0,14.08
33,轨交设备,1013.28,0.82,7.93,7.56,0.37,30,众合科技,9.96,9.38
34,光伏设备,7355.81,0.81,99.11,93.78,5.33,72,金辰股份,10.0,31.9
35,塑料制品,10935.5,0.81,71.46,78.89,-7.43,77,富恒新材,23.94,6.99
36,软件开发,1882.57,0.78,169.06,165.4,3.66,138,麒麟信安,20.0,38.04
37,厨卫电器,5842.03,0.73,2.65,2.42,0.22,9,日出东方,2.22,7.38
38,机场航运,1770.26,0.67,9.29,6.89,2.4,13,白云机场,1.97,7.77
39,纺织制造,2323.96,0.66,7.96,7.73,0.23,33,夜光明,3.82,14.69
40,汽车整车,2542.53,0.65,27.59,21.49,6.1,23,广汽集团,3.67,5.36
41,文化传媒,2538.52,0.64,67.94,67.88,0.06,84,时代出版,9.97,7.5
42,包装印刷,4373.5,0.36,15.72,16.6,-0.87,46,上海艾录,4.8,7.43
43,IT服务,11785.8,0.35,134.85,152.72,-17.87,129,立方控股,12.28,19.3
44,白色家电,7957.52,0.33,35.55,47.31,-11.76,44,星帅尔,7.57,16.05
45,专用设备,7451.62,0.32,131.78,154.45,-22.67,201,花溪科技,29.97,21.12
46,军工装备,2090.92,0.32,81.17,78.28,2.89,82,洪都航空,5.3,30.78
47,电网设备,6407.54,0.31,132.19,146.59,-14.41,140,新宏泰,10.0,31.69
48,影视院线,1258.43,0.29,9.88,10.71,-0.83,20,欢瑞世纪,3.17,3.91
49,环境治理,4149.9,0.26,36.41,38.51,-2.11,111,中再资环,4.94,3.4
50,美容护理,4715.23,0.14,6.98,6.81,0.17,34,倍加洁,3.38,24.74
51,橡胶制品,13433.8,0.11,6.03,6.94,-0.91,22,三维装备,4.11,9.38
52,中药,3235.96,0.1,38.77,47.31,-8.54,68,沃华医药,10.05,7.23
53,汽车服务及其他,1112.74,0.09,6.42,8.91,-2.49,26,上海凤凰,3.88,10.18
54,游戏,8956.67,0.04,33.48,34.92,-1.44,24,迅游科技,3.85,34.84
55,证券,1498.1,0.03,87.45,99.68,-12.23,50,锦龙股份,9.97,11.8
