序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,供销社,1125.93,3.06,13.86,13.38,0.48,15,敦煌种业,10.05,8.21
2,化肥,1042.72,3.02,131.47,111.77,19.7,75,迪尔化工,15.22,10.75
3,大豆,1748.59,3.0,15.62,14.2,1.41,14,先达股份,10.09,6.33
4,转基因,1915.37,2.93,33.68,30.91,2.76,21,敦煌种业,10.05,8.21
5,粮食概念,922.141,2.92,75.36,70.62,4.74,49,黑芝麻,10.1,5.67
6,玉米,2573.55,2.85,51.19,47.37,3.82,34,敦煌种业,10.05,8.21
7,环氧丙烷,1626.23,2.53,49.47,37.18,12.29,26,红宝丽,9.99,8.37
8,农业种植,2531.41,2.24,91.74,88.86,2.88,92,黑芝麻,10.1,5.67
9,深圳国企改革,1835.14,2.13,34.53,31.83,2.7,58,麦捷科技,10.11,20.91
10,生态农业,1661.25,2.06,63.35,56.0,7.35,64,先达股份,10.09,6.33
11,煤化工概念,2496.5,1.89,181.03,169.7,11.33,113,潞化科技,10.11,2.94
12,草甘膦,1511.78,1.88,18.07,15.53,2.54,19,颖泰生物,3.91,3.19
13,农村电商,1764.03,1.82,30.38,25.72,4.66,37,冠农股份,10.0,11.77
14,染料,1520.94,1.7,23.82,21.72,2.1,40,福莱蒽特,9.99,28.51
15,水泥概念,1202.31,1.7,28.12,33.01,-4.89,46,冀衡医药,10.05,6.24
16,人造肉,1549.22,1.69,13.86,13.42,0.43,20,祖名股份,9.99,24.11
17,乳业,2093.83,1.69,36.51,32.29,4.21,35,金健米业,9.18,11.77
18,丙烯酸,2075.26,1.61,43.65,32.39,11.26,20,日科化学,8.74,13.06
19,预制菜,1050.93,1.55,63.38,58.23,5.15,101,国光连锁,10.04,13.37
20,土地流转,2033.76,1.54,42.63,42.14,0.49,43,新赛股份,10.02,5.05
21,PEEK材料,1949.31,1.48,87.41,92.55,-5.14,54,富恒新材,23.94,6.99
22,免税店,930.412,1.46,23.9,20.48,3.43,26,ST华扬,3.79,8.48
23,黄金概念,3961.28,1.46,306.18,290.63,15.55,83,福达合金,9.99,62.18
24,C2M概念,1911.56,1.43,30.36,30.33,0.03,39,鼎捷数智,19.99,37.45
25,猪肉,2452.96,1.42,27.23,22.2,5.03,32,ST龙大,6.23,2.73
26,啤酒概念,1505.77,1.41,18.76,15.39,3.37,29,好想你,3.98,10.71
27,租售同权,816.943,1.4,26.86,23.71,3.15,29,我爱我家,10.0,2.64
28,网红经济,1404.46,1.39,85.62,83.79,1.83,118,黑芝麻,10.1,5.67
29,金属锌,2325.54,1.38,178.23,158.05,20.18,43,湖南黄金,7.03,28.92
30,金属铅,2073.0,1.37,183.75,164.33,19.42,38,湖南黄金,7.03,28.92
31,代糖概念,940.199,1.35,18.3,18.7,-0.39,24,百龙创园,5.97,21.49
32,POE胶膜,893.52,1.32,50.1,35.91,14.2,29,福莱蒽特,9.99,28.51
33,俄乌冲突概念,1500.91,1.32,122.58,133.31,-10.73,74,昊华科技,10.01,53.31
34,磷化工,3158.64,1.32,115.3,134.16,-18.86,68,潞化科技,10.11,2.94
35,化债概念(AMC概念),1145.95,1.28,28.61,31.49,-2.89,41,海德股份,10.05,7.01
36,PVDF概念,1423.54,1.26,43.84,64.76,-20.92,17,昊华科技,10.01,53.31
37,统一大市场,1340.78,1.25,60.38,53.15,7.24,120,远大控股,10.06,9.41
38,煤炭概念,2402.97,1.22,132.58,128.4,4.18,90,赤天化,10.1,4.58
39,乡村振兴,1133.53,1.2,474.73,495.25,-20.51,435,泸天化,10.1,4.36
40,可燃冰,1561.09,1.2,16.25,10.27,5.98,14,中集集团,3.44,9.62
41,特色小镇,505.075,1.16,25.85,26.06,-0.21,40,福建金森,10.0,10.67
42,物业管理,1181.33,1.16,110.97,120.67,-9.7,182,香江控股,10.06,5.36
43,硅能源,1128.12,1.13,117.16,117.16,0.0,63,国晟科技,9.98,10.36
44,托育服务,1011.58,1.12,10.21,11.82,-1.61,16,时代出版,9.97,7.5
45,天然气,1650.53,1.11,134.05,124.25,9.8,165,潞化科技,10.11,2.94
46,自由贸易港,966.768,1.11,27.28,25.67,1.62,46,东方创业,5.21,6.67
47,数字水印,1057.3,1.05,38.4,47.86,-9.46,30,鸿博股份,10.03,12.29
48,云办公,1773.31,1.04,74.75,69.79,4.96,49,麒麟信安,20.0,38.04
49,无人零售,1321.89,1.03,16.15,16.54,-0.39,26,乐心医疗,8.62,18.27
50,航运概念,1701.75,1.01,69.77,65.3,4.47,86,海通发展,6.02,12.68
51,露营经济,1603.59,1.0,19.9,19.94,-0.04,55,嘉麟杰,10.07,2.95
52,消毒剂,2063.21,0.99,73.1,71.84,1.26,61,潞化科技,10.11,2.94
53,页岩气,2731.2,0.99,52.93,65.76,-12.83,51,昊华科技,10.01,53.31
54,房屋检测,1609.22,0.96,16.43,15.33,1.11,46,特发服务,6.22,29.35
55,IP经济(谷子经济),1207.93,0.94,95.25,94.45,0.8,196,国芳集团,10.03,8.34
56,新疆振兴,998.331,0.93,110.61,120.05,-9.44,156,新赛股份,10.02,5.05
57,冰雪产业,1303.13,0.93,32.34,30.01,2.33,59,探路者,7.04,11.41
58,可降解塑料,1511.18,0.91,69.73,57.66,12.06,174,卓越新能,5.33,34.0
59,特钢概念,2980.57,0.91,24.02,21.24,2.79,42,望变电气,4.37,15.04
60,钛白粉概念,1877.91,0.9,11.67,9.43,2.24,15,鲁北化工,3.02,7.84
61,新型城镇化,1255.38,0.9,101.29,102.05,-0.76,221,顺景科技,10.04,5.37
62,广东自贸区,1238.18,0.88,13.76,12.17,1.58,28,欢乐家,4.93,17.46
63,碳交易,997.27,0.87,109.22,129.8,-20.58,121,昊华科技,10.01,53.31
64,网约车,1399.6,0.87,13.27,18.2,-4.93,29,立方控股,12.28,19.3
65,建筑节能,1414.35,0.87,44.39,48.15,-3.77,103,新赛股份,10.02,5.05
66,碳纤维,1962.48,0.85,72.31,69.53,2.77,82,富恒新材,23.94,6.99
67,盐湖提锂,1863.99,0.85,129.08,123.37,5.7,45,冠农股份,10.0,11.77
68,有机硅概念,1994.1,0.85,45.91,47.45,-1.53,55,和远气体,10.0,47.08
69,ERP概念,1298.01,0.84,40.62,40.33,0.28,35,鼎捷数智,19.99,37.45
70,ChatGPT概念,1714.21,0.83,228.58,232.54,-3.96,139,鼎捷数智,19.99,37.45
71,白酒概念,6093.04,0.83,39.79,32.58,7.2,48,泉阳泉,5.22,7.86
72,AI视频,2012.06,0.83,113.58,116.89,-3.31,57,竞业达,10.03,15.03
73,PPP概念,917.539,0.83,110.88,115.01,-4.13,201,黑芝麻,10.1,5.67
74,农机,1250.59,0.83,85.91,93.39,-7.48,98,花溪科技,29.97,21.12
75,海南自贸区,1514.87,0.83,54.24,56.15,-1.91,29,海德股份,10.05,7.01
76,金属铜,1887.35,0.83,294.37,284.28,10.09,93,白银有色,5.97,7.63
77,装配式建筑,971.601,0.82,51.15,46.19,4.96,107,华阳国际,10.0,14.08
78,旅游概念,2666.83,0.81,100.16,100.27,-0.11,151,ST美晨,9.95,2.21
79,中俄贸易概念,1595.32,0.81,84.23,90.18,-5.95,179,厦工股份,10.12,4.46
