序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,厨卫电器,5999.94,4.57,7.59,5.43,2.16,9,亿田智能,19.98,26.66
2,煤炭开采加工,2976.68,1.52,56.45,54.06,2.39,34,宝泰隆,10.14,3.04
3,银行,1339.5,1.46,161.38,117.42,43.97,84,中信银行,4.48,8.16
4,港口航运,1225.17,0.37,45.32,38.21,7.11,36,南京港,9.95,9.06
5,保险,1944.13,0.2,28.12,28.1,0.02,5,中国平安,1.48,52.08
6,公路铁路运输,1275.82,-0.87,10.22,11.16,-0.94,32,四川成渝,1.27,5.57
7,机场航运,1736.88,-0.98,5.76,9.93,-4.18,13,白云机场,0.27,7.44
8,贵金属,5597.51,-1.06,115.05,105.23,9.82,14,山东黄金,6.5,32.6
9,油气开采及服务,1701.82,-1.44,26.69,29.62,-2.93,19,科力股份,2.42,47.07
10,石油加工贸易,3454.31,-1.46,33.76,26.31,7.45,27,华锦股份,9.98,5.07
11,中药,3173.08,-1.5,33.52,42.42,-8.91,68,汉森制药,10.06,8.42
12,证券,1416.73,-1.61,66.89,108.31,-41.42,50,国泰海通,0.62,17.86
13,化学原料,3156.65,-1.82,47.76,56.94,-9.18,59,金能科技,10.04,5.15
14,房地产,1646.47,-1.82,49.46,63.76,-14.3,88,我爱我家,10.19,2.38
15,农化制品,4826.15,-1.9,53.9,65.71,-11.82,61,红四方,10.02,29.0
16,汽车整车,2467.18,-1.91,23.63,29.61,-5.97,23,中集车辆,1.65,8.03
17,钢铁,1489.15,-1.99,17.4,26.99,-9.59,43,鄂尔多斯,1.48,13.01
18,多元金融,1043.94,-2.08,9.68,21.51,-11.83,26,鲁信创投,10.03,20.19
19,化学制药,6395.56,-2.08,149.59,184.55,-34.95,158,西点药业,19.99,33.38
20,轨交设备,980.198,-2.19,9.18,9.43,-0.25,30,铁科轨道,13.28,19.7
21,燃气,1832.36,-2.22,11.66,14.63,-2.97,27,胜利股份,2.17,4.23
