序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,高股息精选,1479.08,-0.54,429.37,369.46,59.91,285,志邦家居,10.05,6.57
2,同花顺中特估100,1145.65,-0.72,393.49,415.92,-22.43,100,中信银行,4.48,8.16
3,煤炭概念,2270.84,-0.77,119.35,137.59,-18.24,90,宝泰隆,10.14,3.04
4,石墨电极,1025.88,-0.86,22.3,30.55,-8.25,26,宝泰隆,10.14,3.04
5,煤化工概念,2381.28,-1.09,196.23,201.18,-4.95,112,宝泰隆,10.14,3.04
6,青蒿素,2153.76,-1.1,18.41,19.25,-0.83,10,百花医药,1.63,13.72
7,草甘膦,1432.8,-1.18,14.5,16.96,-2.46,19,江天化学,6.98,24.23
8,芬太尼,2147.96,-1.27,3.6,3.42,0.18,8,羚锐制药,1.22,19.97
9,证金持股,1107.13,-1.34,528.76,587.38,-58.62,173,山东黄金,6.5,32.6
10,航运概念,1644.01,-1.36,74.69,78.32,-3.63,86,南京港,9.95,9.06
11,中韩自贸区,2376.33,-1.5,23.82,25.23,-1.41,17,连云港,3.86,4.57
12,NMN概念,1323.66,-1.61,15.87,19.3,-3.43,25,百合股份,10.0,45.76
13,维生素,1379.21,-1.62,71.05,91.98,-20.93,77,西点药业,19.99,33.38
14,超级品牌,1446.78,-1.69,120.46,124.31,-3.85,48,格力电器,3.15,41.32
15,仿制药一致性评价,1667.52,-1.76,116.67,149.66,-32.99,143,西点药业,19.99,33.38
16,转基因,1787.24,-1.79,31.7,40.58,-8.88,20,京粮控股,10.02,7.47
17,水泥概念,1132.25,-1.79,20.25,26.1,-5.85,46,红宝丽,5.86,7.41
18,同花顺漂亮100,822.628,-1.83,718.19,897.4,-179.21,100,恒力石化,5.01,18.86
19,供销社,1052.58,-1.9,13.8,16.26,-2.45,15,亚钾国际,1.54,48.22
20,化肥,981.157,-1.9,87.4,107.24,-19.84,75,红四方,10.02,29.0
21,环氧丙烷,1561.35,-1.98,34.32,34.97,-0.65,26,红宝丽,5.86,7.41
22,大豆,1646.26,-2.0,18.82,23.41,-4.59,14,农发种业,5.16,7.13
23,自由贸易港,929.284,-2.02,24.48,31.99,-7.51,46,宁波港,1.8,3.39
24,流感,1462.71,-2.09,126.9,163.57,-36.67,183,西点药业,19.99,33.38
25,参股券商,1418.94,-2.11,86.99,124.26,-37.27,226,中交发展,10.11,4.9
26,阿尔茨海默概念,1278.76,-2.12,45.38,57.48,-12.1,90,西点药业,19.99,33.38
27,玉米,2392.54,-2.12,45.32,54.52,-9.2,34,金健米业,9.99,7.82
28,肝炎概念,1133.59,-2.13,106.74,135.98,-29.24,139,西点药业,19.99,33.38
29,中字头股票,1718.05,-2.21,310.39,363.58,-53.19,134,中交发展,10.11,4.9
30,粮食概念,848.33,-2.23,57.84,72.62,-14.78,46,永顺泰,10.06,9.63
31,期货概念,1696.81,-2.24,71.08,117.32,-46.24,70,国泰海通,0.62,17.86
32,信托概念,1100.24,-2.29,10.47,15.42,-4.95,23,浦发银行,1.23,9.08
33,生物疫苗,1630.69,-2.32,37.49,50.7,-13.21,59,*ST未名,7.22,5.2
34,毛发医疗,1104.12,-2.34,15.3,20.55,-5.25,26,小方制药,7.6,25.33
35,医药电商,1018.02,-2.34,117.07,150.72,-33.65,177,汉森制药,10.06,8.42
36,上海国企改革,1692.38,-2.36,43.84,56.84,-12.99,108,城投控股,1.61,3.78
37,租售同权,777.87,-2.4,20.67,27.92,-7.24,29,我爱我家,10.19,2.38
38,免税店,884.589,-2.46,13.62,20.72,-7.1,26,上港集团,1.17,5.17
39,物业管理,1120.78,-2.46,94.59,125.71,-31.12,181,我爱我家,10.19,2.38
40,黑龙江自贸区,1770.46,-2.47,44.24,55.07,-10.83,36,宝泰隆,10.14,3.04
41,参股保险,1348.52,-2.48,49.38,62.09,-12.7,116,中国石油,2.66,11.21
42,代糖概念,913.65,-2.48,21.33,32.26,-10.92,24,鲁信创投,10.03,20.19
43,幽门螺杆菌概念,1025.36,-2.48,37.4,49.66,-12.27,74,汉森制药,10.06,8.42
44,ST板块,471.47,-2.5,35.65,54.99,-19.35,206,*ST威领,9.98,15.87
45,参股银行,1415.77,-2.62,171.81,226.78,-54.97,776,汉森制药,10.06,8.42
46,赛马概念,1011.58,-2.64,1.11,1.62,-0.51,4,*ST正平,0.3,6.74
47,创新药,1306.03,-2.66,305.19,372.14,-66.94,278,西点药业,19.99,33.38
48,白酒概念,5927.75,-2.66,47.48,58.02,-10.54,48,建发股份,1.38,8.84
49,啤酒概念,1470.53,-2.67,18.73,23.8,-5.07,29,永顺泰,10.06,9.63
50,生物质能发电,1008.18,-2.67,18.96,31.81,-12.85,65,瀚蓝环境,2.5,29.94
51,特钢概念,2871.57,-2.7,20.54,29.79,-9.25,42,图南股份,1.6,33.0
52,天然气,1597.5,-2.78,155.93,176.08,-20.15,165,陕西黑猫,10.09,3.71
53,深圳国企改革,1696.74,-2.78,18.7,27.06,-8.37,58,特力A,4.04,15.69
54,同花顺出海50,1817.26,-2.78,475.32,588.41,-113.08,50,春风动力,3.88,318.9
55,养鸡,1163.88,-2.8,13.85,20.09,-6.24,22,晓鸣股份,2.07,17.23
56,消毒剂,1977.6,-2.81,46.77,61.53,-14.77,61,哈三联,9.99,15.63
57,房屋检测,1569.55,-2.81,19.82,24.65,-4.83,46,罗普斯金,10.07,6.34
58,统一大市场,1278.39,-2.82,48.43,68.89,-20.46,120,南京港,9.95,9.06
59,猴痘概念,883.255,-2.84,53.96,70.27,-16.31,75,西点药业,19.99,33.38
60,土地流转,1938.07,-2.85,43.08,52.92,-9.84,43,天山生物,12.19,14.45
61,托育服务,984.401,-2.87,9.75,13.61,-3.86,16,中原传媒,1.88,12.5
62,农业种植,2378.88,-2.87,82.91,98.75,-15.83,92,汉森制药,10.06,8.42
63,国企改革,1360.84,-2.88,1827.03,2286.49,-459.46,2936,铁科轨道,13.28,19.7
64,可燃冰,1513.45,-2.88,16.56,15.54,1.02,14,中国石化,1.98,5.16
65,化债概念(AMC概念),1070.2,-2.89,18.59,25.2,-6.62,41,高伟达,2.2,13.96
66,央企国企改革,2965.32,-2.9,683.98,835.94,-151.96,788,铁科轨道,13.28,19.7
67,冰雪产业,1246.42,-2.94,21.58,30.66,-9.07,59,雅戈尔,0.89,7.91
68,PPP概念,877.927,-2.94,121.98,146.45,-24.48,201,日出东方,9.94,7.63
69,特色小镇,475.863,-2.98,20.59,26.36,-5.77,40,滨江集团,3.19,9.39
70,碳交易,965.261,-2.98,130.18,153.99,-23.81,121,中国石油,2.66,11.21
71,民营医院,1552.6,-2.99,114.43,160.3,-45.87,75,学大教育,9.99,39.09
72,装配式建筑,929.954,-3.0,42.17,49.64,-7.46,107,*ST利达,4.38,4.53
73,金属锌,2126.53,-3.01,90.59,113.69,-23.09,43,*ST威领,9.98,15.87
74,超超临界发电,1537.16,-3.04,65.0,96.21,-31.2,87,国电电力,1.99,5.13
75,固废处理,2136.79,-3.05,88.24,118.87,-30.63,156,ST京蓝,4.25,6.13
76,医美概念,1274.28,-3.06,88.55,110.1,-21.55,95,哈三联,9.99,15.63
77,合成生物,1529.49,-3.07,156.39,191.66,-35.27,170,新天地,6.75,11.54
78,跨境支付(CIPS),1453.1,-3.08,150.0,144.48,5.52,73,农业银行,2.58,6.77
79,垃圾分类,1732.63,-3.1,30.97,45.36,-14.39,98,南都物业,10.0,11.88
80,旅游概念,2543.04,-3.11,94.58,119.12,-24.54,151,盈新发展,3.81,3.54
81,乳业,2006.6,-3.12,22.67,27.99,-5.32,35,天山生物,12.19,14.45
82,净水概念,1113.77,-3.12,68.38,69.68,-1.31,77,万和电气,10.03,7.57
83,丙烯酸,1964.92,-3.13,30.18,31.39,-1.21,20,江天化学,6.98,24.23
84,地下管网,1250.26,-3.13,38.09,49.55,-11.46,113,*ST纳川,4.07,2.3
85,俄乌冲突概念,1429.25,-3.14,141.8,154.28,-12.48,74,金健米业,9.99,7.82
86,POE胶膜,857.783,-3.15,37.33,34.34,2.99,29,荣盛石化,4.2,13.41
87,金属铅,1884.04,-3.16,96.3,117.55,-21.24,38,*ST威领,9.98,15.87
88,页岩气,2648.89,-3.16,70.81,74.3,-3.49,51,中国石油,2.66,11.21
89,宠物经济,1379.86,-3.17,65.33,81.58,-16.24,127,百合股份,10.0,45.76
90,海南自贸区,1456.03,-3.18,49.61,70.78,-21.17,29,京粮控股,10.02,7.47
91,黄金概念,3650.71,-3.19,199.59,230.13,-30.54,82,山东黄金,6.5,32.6
92,家庭医生,1127.42,-3.19,30.58,37.07,-6.5,26,济川药业,3.46,24.84
93,猪肉,2361.07,-3.19,25.28,39.0,-13.72,32,ST龙大,5.1,2.68
94,钒电池,1371.45,-3.2,26.43,40.92,-14.49,38,惠城环保,-0.06,72.46
95,三胎概念,2206.71,-3.21,104.23,133.39,-29.17,213,西点药业,19.99,33.38
96,PVDF概念,1381.17,-3.21,51.13,56.42,-5.29,17,联创股份,3.25,6.03
97,禽流感,2160.88,-3.22,11.1,17.96,-6.87,26,华润三九,0.49,24.61
98,农村电商,1663.73,-3.24,21.66,30.24,-8.58,37,红太阳,5.77,4.95
99,磷化工,3019.22,-3.25,126.42,159.93,-33.51,68,*ST威领,9.98,15.87
100,绿色电力,1120.43,-3.27,507.17,649.67,-142.5,427,特宝生物,7.05,64.4
101,细胞免疫治疗,1198.46,-3.28,86.67,104.41,-17.74,65,西点药业,19.99,33.38
102,金属铜,1763.24,-3.28,208.23,269.25,-61.02,93,金田股份,8.37,12.95
103,高压氧舱,1152.85,-3.29,7.26,10.14,-2.88,11,金陵药业,1.47,6.9
104,举牌,2974.1,-3.29,10.87,13.65,-2.78,21,重庆银行,1.85,10.98
105,预制菜,1009.06,-3.29,55.3,69.92,-14.62,101,金健米业,9.99,7.82
106,污水处理,1706.32,-3.29,162.77,194.93,-32.16,228,陕西黑猫,10.09,3.71
107,辅助生殖,1228.34,-3.3,57.92,72.15,-14.23,73,正海生物,2.06,15.36
108,养老概念,2030.28,-3.3,116.04,175.44,-59.4,221,西点药业,19.99,33.38
109,新疆振兴,956.436,-3.3,141.42,163.6,-22.18,156,大有能源,10.0,6.82
110,建筑节能,1351.8,-3.32,49.53,61.33,-11.79,102,罗普斯金,10.07,6.34
111,眼科医疗,1726.06,-3.32,60.29,80.84,-20.55,60,马应龙,1.09,23.18
112,减肥药,1444.26,-3.34,88.97,108.8,-19.83,66,新天地,6.75,11.54
113,上海自贸区,4115.48,-3.37,121.23,136.42,-15.18,58,招商轮船,3.45,18.6
114,两轮车,1580.96,-3.39,54.52,69.98,-15.46,77,骏成科技,20.02,25.42
115,动力电池回收,826.312,-3.4,179.47,207.5,-28.02,94,鼎汉技术,3.19,6.15
116,可降解塑料,1464.26,-3.4,71.86,87.08,-15.22,174,恒逸石化,9.22,19.08
117,钛白粉概念,1806.09,-3.41,7.88,13.13,-5.25,15,龙佰集团,-0.07,15.33
118,重组蛋白,788.403,-3.42,52.76,64.82,-12.06,124,*ST未名,7.22,5.2
119,生态农业,1571.23,-3.42,59.59,70.72,-11.14,64,北大荒,2.97,13.86
120,乡村振兴,1082.24,-3.43,428.89,571.33,-142.45,435,永顺泰,10.06,9.63
