序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,医疗服务,21692.9,3.99,212.43,196.29,16.14,56,博济医药,20.02,14.45
2,生物制品,6420.84,2.0,78.5,66.41,12.09,55,近岸蛋白,20.01,64.0
3,中药,3265.81,1.59,70.61,58.91,11.7,68,陇神戎发,19.98,18.92
4,化学制药,6554.84,1.38,238.82,231.64,7.19,158,新赣江,29.6,31.13
5,医药商业,4863.34,0.67,30.61,26.54,4.06,32,药易购,19.98,31.7
6,医疗器械,11204.7,0.57,90.23,80.91,9.32,140,超研股份,10.99,20.4
7,证券,1471.94,0.3,121.32,111.41,9.91,50,财通证券,7.29,8.98
8,银行,1323.04,0.29,98.12,76.4,21.71,84,沪农商行,2.65,8.52
9,综合,2262.42,0.26,15.26,22.42,-7.16,18,亚泰集团,10.19,2.27
10,电力,1990.08,0.25,195.29,177.44,17.85,110,大唐发电,10.02,6.92
11,保险,1972.91,0.14,21.59,24.88,-3.29,5,中国人保,0.72,7.03
12,厨卫电器,5837.18,0.11,2.95,3.61,-0.67,9,万和电气,10.06,7.33
13,通信服务,2754.74,0.09,82.97,93.77,-10.8,44,立昂技术,18.31,9.5
14,饮料制造,5001.34,0.08,24.56,29.72,-5.16,47,会稽山,10.03,17.45
15,白酒,2124.18,0.06,61.3,54.27,7.02,19,山西汾酒,3.46,126.55
16,养殖业,2831.63,-0.34,22.22,21.19,1.04,36,天山生物,3.54,8.78
17,燃气,1841.99,-0.44,9.21,11.47,-2.25,27,德龙汇能,10.01,27.8
18,其他电源设备,6232.35,-0.5,68.75,87.75,-18.99,35,麦格米特,4.93,131.86
19,通信设备,9132.53,-0.5,735.01,773.45,-38.44,91,锐捷网络,13.52,143.3
20,食品加工制造,4728.84,-0.57,33.23,42.43,-9.2,66,安记食品,6.23,16.37
21,文化传媒,2648.42,-0.64,140.87,169.04,-28.17,84,风语筑,10.02,13.72
22,计算机设备,3991.5,-0.64,185.63,174.01,11.62,83,兆日科技,19.95,10.64
23,农产品加工,3582.26,-0.7,13.4,16.48,-3.08,43,中基健康,10.09,3.82
24,电网设备,6540.45,-0.72,132.53,152.74,-20.21,140,良信股份,10.02,9.99
25,港口航运,1199.7,-0.84,22.99,28.87,-5.88,36,安通控股,6.26,4.58
26,环保设备,1406.07,-0.85,11.42,17.93,-6.51,30,蓝盾光电,20.01,39.41
27,公路铁路运输,1292.3,-0.89,9.69,12.88,-3.18,32,富临运业,4.0,10.39
28,多元金融,1077.43,-0.89,13.96,17.48,-3.52,26,鲁信创投,5.04,18.54
29,电机,3384.48,-0.9,14.5,17.73,-3.22,26,康平科技,15.05,48.62
30,风电设备,4364.22,-0.95,29.18,29.96,-0.78,31,金风科技,2.4,20.93
31,小家电,4050.24,-0.96,5.65,7.37,-1.72,26,开能健康,2.88,6.08
32,塑料制品,10541.9,-1.01,67.62,78.48,-10.86,77,肯特股份,10.54,34.81
33,机场航运,1776.54,-1.04,4.91,9.62,-4.7,13,南方航空,-0.4,5.05
34,军工装备,2106.79,-1.05,79.65,100.45,-20.8,82,立航科技,10.01,57.37
35,旅游及酒店,2748.1,-1.06,7.95,10.0,-2.05,35,大连圣亚,2.59,41.55
36,煤炭开采加工,2901.99,-1.1,33.25,37.53,-4.29,34,华电能源,10.03,6.8
37,家居用品,3880.58,-1.1,16.9,20.81,-3.91,99,美之高,7.91,13.92
38,光学光电子,5292.5,-1.12,165.75,184.03,-18.28,107,*ST清越,19.54,1.04
39,汽车零部件,5788.66,-1.15,122.75,152.61,-29.86,271,秦安股份,10.04,15.35
40,物流,5090.65,-1.19,10.92,14.26,-3.34,50,密尔克卫,2.57,68.75
41,零售,1841.1,-1.2,38.56,47.34,-8.78,71,锦和商管,6.91,13.16
42,消费电子,12173.4,-1.2,190.9,224.58,-33.68,96,春秋电子,10.01,20.45
43,黑色家电,4020.82,-1.22,8.32,7.44,0.88,9,四川长虹,2.77,7.05
44,军工电子,11879.9,-1.22,66.38,74.69,-8.31,63,四创电子,3.67,18.9
45,建筑装饰,4037.52,-1.24,96.26,120.0,-23.73,143,ST龙元,10.29,1.5
46,纺织制造,2288.33,-1.24,9.87,11.04,-1.16,33,华升股份,7.57,9.09
47,石油加工贸易,3424.18,-1.25,13.36,20.55,-7.19,27,渤海化学,10.0,3.74
48,轨交设备,986.071,-1.3,5.69,7.35,-1.66,30,晋西车轴,1.46,4.18
49,种植业与林业,4001.15,-1.31,9.42,13.86,-4.44,30,*ST景谷,3.09,24.67
50,IT服务,12200.7,-1.31,236.23,273.69,-37.47,129,紫光股份,7.03,39.6
51,美容护理,4820.05,-1.32,9.98,11.84,-1.87,34,科思股份,6.92,11.75
52,汽车服务及其他,1086.19,-1.34,8.43,10.55,-2.13,26,涛涛车业,1.98,255.93
53,橡胶制品,13048.1,-1.4,5.58,8.48,-2.9,22,利通科技,7.92,15.95
54,化学纤维,3664.79,-1.42,13.07,17.87,-4.8,29,华西股份,10.07,6.34
55,其他社会服务,19117.1,-1.45,14.17,19.09,-4.92,84,国义招标,4.08,8.41
56,电池,18117.5,-1.46,200.83,210.66,-9.84,106,滨海能源,10.02,14.39
57,环境治理,4056.65,-1.47,39.0,49.31,-10.31,111,中持股份,9.99,14.2
58,白色家电,7886.55,-1.54,29.99,39.0,-9.01,44,万朗磁塑,1.37,54.14
59,包装印刷,4322.6,-1.54,13.14,17.61,-4.47,46,龙利得,0.65,6.19
60,游戏,9337.56,-1.54,39.88,54.96,-15.07,24,游族网络,10.03,13.38
61,其他电子,20406.9,-1.56,68.78,83.92,-15.14,34,瑞可达,6.05,61.71
62,化学制品,7135.95,-1.59,136.2,162.92,-26.72,180,星华新材,13.67,24.61
63,专用设备,7331.28,-1.59,145.12,168.29,-23.17,200,通用电梯,14.63,13.87
64,自动化设备,28700.4,-1.6,173.61,183.96,-10.35,96,杰普特,4.34,377.7
65,通用设备,9054.0,-1.63,202.27,235.18,-32.91,253,佳力图,10.03,8.89
66,贸易,2521.59,-1.68,2.36,4.31,-1.95,14,凯瑞德,2.74,7.51
67,钢铁,1498.4,-1.73,20.27,32.57,-12.29,44,方大炭素,2.69,5.35
68,化学原料,3145.11,-1.74,37.16,51.21,-14.05,59,金牛化工,5.57,12.52
69,软件开发,1916.79,-1.78,163.97,195.8,-31.82,138,理工能科,10.02,11.86
70,建筑材料,5528.84,-1.79,91.7,122.09,-30.39,73,瑞泰科技,9.98,21.93
71,服装家纺,2853.53,-1.82,20.9,26.05,-5.15,75,*ST萃华,3.7,1.68
72,金属新材料,13794.5,-1.83,23.79,27.62,-3.84,34,斯瑞新材,3.37,37.17
73,造纸,2063.16,-1.85,6.85,9.82,-2.97,24,五洲特纸,1.18,15.38
74,互联网电商,8791.9,-1.86,28.9,36.15,-7.25,20,星徽股份,5.01,7.34
75,工程机械,3036.97,-1.86,17.36,24.69,-7.33,36,南方路机,2.4,26.9
76,油气开采及服务,1681.28,-1.87,19.28,25.03,-5.74,19,海油工程,-0.18,5.46
77,汽车整车,2554.53,-1.87,23.57,40.0,-16.44,23,曙光股份,1.03,2.95
78,电子化学品,88376.5,-1.88,187.32,210.19,-22.86,43,中石科技,8.23,56.13
79,能源金属,32313.9,-1.9,49.57,60.53,-10.96,12,永杉锂业,1.25,17.02
80,半导体,16562.9,-1.91,1360.35,1502.97,-142.62,185,必易微,6.15,62.0
81,元件,23665.1,-1.92,514.17,586.55,-72.37,63,金禄电子,5.71,27.96
82,影视院线,1353.73,-1.95,26.28,42.31,-16.03,20,北京文化,10.02,6.26
83,非金属材料,29681.4,-2.0,24.65,26.36,-1.71,16,金博股份,2.03,32.6
84,房地产,1692.12,-2.26,48.19,71.13,-22.94,88,京投发展,10.04,12.93
85,农化制品,4708.91,-2.33,38.55,61.34,-22.8,61,泰禾股份,1.93,23.82
86,光伏设备,7350.21,-2.67,97.43,121.36,-23.92,72,金刚光伏,10.34,25.4
87,小金属,9063.56,-2.68,136.7,178.31,-41.61,29,西部材料,5.31,42.82
88,教育,4123.23,-3.14,8.41,11.7,-3.29,15,科德教育,0.27,14.68
89,工业金属,4249.34,-3.37,127.25,212.17,-84.91,55,永杰新材,-0.17,42.1
90,贵金属,5433.42,-5.2,110.49,157.41,-46.92,14,中金黄金,-3.15,24.31
