序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,培育钻石,2580.39,4.42,65.28,58.3,6.98,19,英诺激光,15.73,86.22
2,CRO概念,958.722,3.4,115.69,92.93,22.76,77,近岸蛋白,20.0,76.8
3,MLCC概念,1153.2,3.14,214.17,188.77,25.4,37,双星新材,10.04,10.96
4,减肥药,1364.35,2.73,60.84,48.99,11.85,67,万邦医药,20.0,63.6
5,重组蛋白,758.2,2.63,36.6,31.35,5.25,126,近岸蛋白,20.0,76.8
6,EDR概念,1493.18,2.56,53.35,48.94,4.42,20,启明信息,10.01,15.28
7,血氧仪,1671.44,2.48,27.79,25.3,2.49,24,科翔股份,20.0,108.3
8,细胞免疫治疗,1155.02,2.46,53.84,44.21,9.63,66,近岸蛋白,20.0,76.8
9,PET铜箔,1997.56,2.39,152.93,150.92,2.0,49,欧莱新材,14.12,62.31
10,阿尔茨海默概念,1234.2,2.33,27.23,23.21,4.02,90,三力制药,9.97,13.79
11,新型烟草(电子烟),2035.98,2.31,84.11,69.78,14.33,53,弘信电子,10.06,37.73
12,MicroLED概念,1703.73,2.11,150.12,143.72,6.4,82,新益昌,16.55,142.77
13,创新药,1246.65,2.08,214.7,170.0,44.7,277,万邦医药,20.0,63.6
14,高压氧舱,1169.14,2.01,10.15,8.89,1.26,11,澳洋健康,10.09,5.02
15,猴痘概念,857.899,2.01,38.43,29.91,8.52,75,百普赛斯,16.57,91.74
16,PCB概念,2673.5,1.99,811.46,765.22,46.24,238,满坤科技,20.0,58.37
17,MiniLED,2716.97,1.99,334.61,314.7,19.91,108,科翔股份,20.0,108.3
18,仿制药一致性评价,1609.16,1.98,84.44,68.68,15.76,143,万邦医药,20.0,63.6
19,青蒿素,1974.38,1.92,9.1,6.2,2.89,10,德龙汇能,3.26,21.55
20,注册制次新股,151.294,1.88,152.49,169.54,-17.05,89,高凯技术,20.0,324.41
21,流感,1428.23,1.84,95.68,79.24,16.43,182,近岸蛋白,20.0,76.8
22,幽门螺杆菌概念,1004.56,1.81,27.88,20.02,7.86,74,善水科技,7.79,18.81
23,肝炎概念,1097.4,1.8,76.58,60.56,16.02,140,义翘神州,11.57,103.26
24,基因测序,1977.44,1.76,53.95,49.09,4.87,71,昌红科技,15.33,18.66
25,柔性屏(折叠屏),3132.96,1.75,210.33,199.01,11.31,110,弘信电子,10.06,37.73
26,科创次新股,623.575,1.74,108.42,130.99,-22.57,29,高凯技术,20.0,324.41
27,生物疫苗,1608.97,1.71,34.5,28.18,6.32,62,ST万邦,8.69,9.76
28,辅助生殖,1196.39,1.69,41.92,33.91,8.0,74,昌红科技,15.33,18.66
29,染料,1466.89,1.68,16.55,14.03,2.51,40,善水科技,7.79,18.81
30,医药电商,986.952,1.68,87.69,67.68,20.01,182,昌红科技,15.33,18.66
31,富士康概念,3617.34,1.68,213.32,221.13,-7.8,109,高凯技术,20.0,324.41
32,脑机接口,1500.61,1.68,69.8,61.83,7.96,73,*ST益通,20.0,5.58
33,OLED,2954.55,1.63,348.89,327.01,21.88,156,双星新材,10.04,10.96
34,毛发医疗,1117.75,1.59,15.6,11.89,3.71,27,澳洋健康,10.09,5.02
35,智能医疗,4342.94,1.57,303.25,276.21,27.04,341,百普赛斯,16.57,91.74
36,汽车拆解概念,1524.66,1.55,17.93,20.67,-2.74,46,山子高科,10.04,2.85
37,MLOps概念,978.607,1.52,13.51,13.69,-0.17,18,绿盟科技,10.9,8.65
38,财税数字化,1632.12,1.51,32.69,35.77,-3.08,65,永信至诚,20.0,16.44
39,烟草,1495.32,1.51,16.0,14.95,1.05,41,亚香股份,11.55,30.99
40,光刻胶,4693.69,1.5,83.54,73.48,10.06,79,奥来德,8.64,45.66
