序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,医疗服务,19474.3,3.99,96.37,75.22,21.15,56,万邦医药,20.0,63.6
2,生物制品,5948.54,2.96,33.95,27.32,6.63,55,近岸蛋白,20.0,76.8
3,汽车整车,2554.57,2.95,39.81,34.75,5.07,23,安凯客车,10.14,3.91
4,元件,27689.7,2.84,512.74,485.2,27.54,63,满坤科技,20.0,58.37
5,汽车服务及其他,1117.11,2.27,7.38,6.39,0.99,26,征和工业,7.39,78.2
6,化学制药,6117.51,1.85,91.13,72.65,18.48,158,津药药业,10.09,5.89
7,电子化学品,85574.2,1.77,116.12,95.74,20.37,43,天通股份,10.01,30.23
8,电池,17017.2,1.73,143.68,119.34,24.34,107,ST南都,8.35,4.93
9,自动化设备,28022.7,1.69,112.49,111.14,1.35,99,高凯技术,20.0,324.41
10,中药,3112.82,1.6,28.45,23.93,4.52,68,三力制药,9.97,13.79
11,橡胶制品,13804.0,1.47,13.34,11.11,2.23,22,科创新源,5.95,48.77
12,其他电子,20398.3,1.43,57.62,51.61,6.01,34,世华科技,6.5,22.45
13,非金属材料,30416.4,1.41,27.84,24.0,3.84,17,力量钻石,9.11,65.79
14,软件开发,1849.82,1.39,89.41,85.27,4.14,138,永信至诚,20.0,16.44
15,医药商业,4556.09,1.38,6.78,5.87,0.91,32,百洋医药,4.45,24.43
16,电机,3161.3,1.32,5.9,5.64,0.26,26,八方股份,7.27,28.76
17,塑料制品,10583.3,1.29,44.85,42.9,1.95,77,双星新材,10.04,10.96
18,医疗器械,10649.0,1.23,34.86,32.16,2.7,141,*ST益通,20.0,5.58
19,光学光电子,5259.52,1.16,99.72,93.3,6.42,107,三利谱,8.67,30.59
20,化学制品,7060.69,1.07,77.31,77.73,-0.42,183,亚香股份,11.55,30.99
21,消费电子,12165.4,1.02,117.42,140.91,-23.49,96,杰美特,13.74,87.91
22,通用设备,8955.67,0.97,150.15,138.71,11.44,254,多浦乐,19.38,73.0
23,厨卫电器,5953.68,0.89,3.16,3.15,0.01,9,火星人,3.06,10.1
24,银行,1408.77,0.88,106.38,93.24,13.14,84,瑞丰银行,2.19,5.13
25,小金属,8381.17,0.85,52.49,46.37,6.13,30,东方钽业,10.0,54.55
26,纺织制造,2255.92,0.83,4.93,4.28,0.66,33,鲁泰A,4.3,6.06
27,环境治理,4078.98,0.74,29.4,27.81,1.59,111,正和生态,10.0,12.65
28,IT服务,11654.2,0.73,80.6,83.72,-3.12,129,博汇科技,19.98,22.82
29,燃气,1916.92,0.66,11.07,11.52,-0.46,27,ST金鸿,6.49,4.43
30,金属新材料,13379.9,0.59,19.68,17.94,1.73,34,春光集团,8.11,48.24
31,造纸,2066.08,0.58,5.9,5.7,0.19,24,恒丰纸业,5.67,9.7
32,汽车零部件,5614.54,0.57,86.95,91.14,-4.19,275,恒勃股份,10.27,57.12
33,家居用品,3940.12,0.54,23.7,24.97,-1.27,98,艾芬达,12.29,23.11
34,包装印刷,4362.51,0.52,15.72,15.19,0.53,46,陕西金叶,10.11,4.14
35,专用设备,7255.06,0.52,96.05,87.99,8.06,201,新益昌,16.55,142.77
36,半导体,15658.3,0.51,599.7,634.97,-35.27,188,欧莱新材,14.12,62.31
37,白色家电,7960.05,0.5,24.05,27.82,-3.78,44,春光科技,9.99,31.39
38,化学原料,3245.12,0.49,42.33,46.7,-4.37,59,善水科技,7.79,18.81
39,光伏设备,6877.96,0.44,47.09,47.54,-0.44,73,凯盛新能,10.0,9.57
40,通信服务,2625.56,0.4,26.99,29.76,-2.78,44,国安股份,9.89,3.11
41,物流,5174.48,0.37,10.73,11.19,-0.46,50,*ST瑞茂,9.88,1.89
42,美容护理,4667.76,0.35,5.97,6.62,-0.65,34,百亚股份,5.5,19.2
43,公路铁路运输,1324.4,0.33,9.5,9.16,0.34,32,山东高速,2.27,10.38
44,计算机设备,3862.28,0.25,54.67,57.67,-3.0,83,中新赛克,10.0,25.86
