序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,光刻机,2587.53,4.5,168.96,133.99,34.98,52,福光股份,14.35,29.09
2,国家大基金持股,2922.6,4.32,494.33,415.19,79.15,52,德邦科技,10.14,77.66
3,F5G概念,4465.89,4.3,405.11,307.84,97.28,36,东田微,14.26,302.41
4,共封装光学(CPO),6182.57,4.04,1627.66,1301.15,326.51,216,威尔高,20.0,81.78
5,存储芯片,2671.0,3.96,1198.56,984.59,213.98,203,有研硅,20.0,54.06
6,第三代半导体,2568.22,3.96,629.92,505.55,124.37,181,民德电子,20.01,29.57
7,中芯国际概念,3346.25,3.95,485.79,397.98,87.81,91,有研硅,20.0,54.06
8,先进封装,2684.75,3.87,1099.49,899.29,200.2,207,富满微,14.74,58.06
9,光刻胶,4925.63,3.75,167.35,135.23,32.12,79,世名科技,10.76,15.85
10,光纤概念,3889.12,3.68,811.62,649.66,161.96,113,致尚科技,20.0,214.34
11,富士康概念,3720.68,3.6,281.31,240.64,40.67,109,威尔高,20.0,81.78
12,汽车芯片,1326.99,3.46,535.33,425.47,109.86,143,民德电子,20.01,29.57
13,玻璃基板,669.883,3.44,257.77,200.71,57.07,58,德邦科技,10.14,77.66
14,无线耳机,2496.62,3.27,243.54,199.54,44.0,99,星徽股份,20.0,10.02
15,华为海思概念股,4111.25,3.26,164.06,140.56,23.49,52,晶升股份,19.99,47.78
16,MicroLED概念,1751.29,3.25,242.53,179.59,62.95,82,福光股份,14.35,29.09
17,MiniLED,2797.73,3.22,450.92,365.09,85.83,108,威尔高,20.0,81.78
18,OLED,3060.83,3.18,562.13,456.31,105.82,156,探路者,12.34,11.38
19,华为手机,1675.61,3.14,146.6,124.31,22.29,45,东田微,14.26,302.41
20,PCB概念,2772.82,3.11,979.93,877.75,102.18,238,瑞丰高材,20.01,19.85
21,苹果概念,5861.43,3.06,467.07,355.46,111.61,140,强瑞技术,12.97,121.52
22,芯片概念,4916.6,3.01,3083.18,2508.59,574.6,927,民德电子,20.01,29.57
23,6G概念,2512.59,2.99,441.94,366.49,75.44,99,东田微,14.26,302.41
24,消费电子概念,3179.4,2.96,1146.54,960.68,185.87,508,星徽股份,20.0,10.02
25,MCU芯片,1668.61,2.96,250.73,206.65,44.08,95,晶丰明源,15.21,146.28
26,MLCC概念,1199.24,2.94,203.91,174.4,29.51,38,东材科技,10.01,54.31
27,培育钻石,2602.39,2.93,52.62,44.41,8.21,19,沃尔德,9.9,126.0
28,柔性屏(折叠屏),3213.96,2.92,279.8,224.79,55.01,110,强瑞技术,12.97,121.52
29,科创次新股,646.691,2.9,159.92,137.19,22.73,30,信诺维,45.58,40.18
30,有机硅概念,1962.44,2.79,50.61,45.1,5.51,55,远翔新材,13.73,36.36
31,新型烟草(电子烟),2075.86,2.78,105.44,90.89,14.55,53,富满微,14.74,58.06
32,AI眼镜,2594.67,2.76,465.5,379.29,86.21,193,安凯微,15.1,17.15
33,铜缆高速连接,3133.89,2.75,229.99,195.31,34.68,48,长芯博创,12.95,233.47
34,TOPCON电池,1091.81,2.74,142.59,117.34,25.25,82,杰普特,12.81,444.35
35,电子纸,1246.3,2.73,61.12,41.8,19.33,27,秋田微,12.39,81.1
36,BC电池,1177.3,2.67,102.26,87.33,14.93,52,东材科技,10.01,54.31
37,汽车电子,5660.93,2.66,1150.83,987.12,163.72,396,威尔高,20.0,81.78
38,MR(混合现实),1673.92,2.66,145.51,114.64,30.87,71,致尚科技,20.0,214.34
39,太赫兹,1996.42,2.66,103.21,82.92,20.28,24,电科思仪,10.59,53.45
40,同花顺果指数,2206.36,2.64,188.15,134.08,54.07,20,中石科技,5.49,93.77
41,智能音箱,2645.47,2.63,144.77,113.36,31.41,60,欣旺达,11.67,19.81
42,5G,6528.33,2.63,1792.43,1492.5,299.92,453,威尔高,20.0,81.78
43,HJT电池,2906.95,2.57,100.41,89.04,11.37,69,德邦科技,10.14,77.66
44,智能穿戴,4238.92,2.52,554.58,441.73,112.86,243,安凯微,15.1,17.15
45,毫米波雷达,2125.22,2.48,416.46,362.69,53.77,126,富满微,14.74,58.06
46,金属铅,1916.92,2.44,101.41,77.9,23.51,38,高能环境,6.99,16.08
47,无线充电,2037.94,2.38,98.67,80.62,18.05,60,晶丰明源,15.21,146.28
48,金属镍,1226.04,2.38,69.98,57.28,12.7,39,金杨精密,11.42,29.28
49,人造肉,1567.31,2.37,17.47,13.45,4.02,20,美盈森,10.08,5.79
50,传感器,1561.57,2.35,434.24,352.87,81.36,271,民德电子,20.01,29.57
51,AI手机,1968.1,2.34,185.97,152.23,33.74,40,力芯微,5.76,60.6
52,硅能源,1094.29,2.33,108.14,96.98,11.16,68,有研硅,20.0,54.06
53,液冷服务器,2220.74,2.31,783.02,654.28,128.74,239,泰福泵业,20.0,28.44
54,智慧灯杆,1497.48,2.31,58.21,41.14,17.07,63,海洋王,9.98,7.27
55,钙钛矿电池,1073.82,2.29,199.72,158.98,40.74,92,杰普特,12.81,444.35
56,海峡两岸,1840.2,2.28,534.8,487.21,47.58,319,民德电子,20.01,29.57
57,英伟达概念,1838.24,2.28,329.17,282.27,46.9,81,晶丰明源,15.21,146.28
