序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,国家大基金持股,3268.62,5.6,915.45,726.55,188.9,50,德邦科技,14.4,75.15
2,培育钻石,2433.43,4.86,33.74,29.45,4.29,19,惠丰钻石,10.99,81.89
3,玻璃基板,696.244,4.77,390.08,294.61,95.47,56,奥来德,19.99,50.36
4,存储芯片,2794.22,4.67,1881.19,1575.8,305.39,200,聚和材料,20.0,95.68
5,同花顺果指数,2402.72,4.58,362.24,261.96,100.28,20,中石科技,20.0,80.83
6,中芯国际概念,3592.11,4.56,736.17,612.02,124.15,90,芯朋微,13.89,96.78
7,先进封装,2786.72,4.54,1402.07,1176.47,225.6,204,天准科技,20.0,94.8
8,转基因,1664.95,4.53,18.73,13.2,5.53,20,秋乐种业,12.98,12.01
9,玉米,2274.37,4.26,24.4,18.18,6.22,34,秋乐种业,12.98,12.01
10,共封装光学(CPO),6079.54,4.22,2055.32,1858.81,196.51,205,太辰光,20.0,193.8
11,光刻胶,5242.23,4.18,201.46,165.63,35.83,79,聚和材料,20.0,95.68
12,光刻机,2738.16,4.08,210.63,192.96,17.67,51,中瓷电子,10.0,143.09
13,粮食概念,814.621,4.05,50.4,43.45,6.95,46,秋乐种业,12.98,12.01
14,PCB概念,2713.22,3.97,1041.53,930.24,111.29,236,电连技术,20.0,51.17
15,第三代半导体,2671.69,3.87,841.69,698.92,142.77,181,天准科技,20.0,94.8
16,汽车芯片,1384.66,3.86,886.49,724.68,161.81,144,中微半导,16.81,47.05
17,铜缆高速连接,3079.72,3.73,260.25,224.0,36.26,47,太辰光,20.0,193.8
18,大豆,1577.63,3.72,8.67,6.24,2.44,14,秋乐种业,12.98,12.01
19,光纤概念,3803.4,3.68,965.27,873.01,92.26,110,太辰光,20.0,193.8
20,富士康概念,3675.68,3.65,349.92,307.2,42.72,109,中石科技,20.0,80.83
21,BC电池,1238.5,3.64,125.63,103.46,22.17,52,聚和材料,20.0,95.68
22,OLED,3188.09,3.46,741.14,635.8,105.34,156,聚和材料,20.0,95.68
23,PET铜箔,2079.73,3.4,204.31,187.56,16.76,50,沃格光电,10.0,104.49
24,苹果概念,5942.67,3.4,621.16,493.63,127.53,140,天准科技,20.0,94.8
25,MCU芯片,1748.87,3.4,419.78,367.98,51.79,95,中微半导,16.81,47.05
26,钛白粉概念,1879.86,3.38,13.46,10.51,2.95,15,亚振家居,10.01,48.24
27,柔性屏(折叠屏),3308.33,3.38,357.38,302.54,54.84,108,电连技术,20.0,51.17
28,F5G概念,4375.08,3.38,475.21,463.09,12.12,36,太辰光,20.0,193.8
29,芯片概念,5113.54,3.37,4381.8,3779.37,602.43,915,聚和材料,20.0,95.68
30,有机硅概念,2022.05,3.31,60.41,47.45,12.96,55,创达新材,16.68,57.35
31,HJT电池,3062.85,3.3,131.39,113.36,18.02,67,聚和材料,20.0,95.68
32,MiniLED,2781.38,3.21,514.06,432.61,81.45,107,激智科技,13.72,31.5
33,MicroLED概念,1770.65,3.16,296.15,234.99,61.16,81,华兴源创,11.29,56.08
34,TOPCON电池,1140.32,3.13,188.14,159.09,29.05,82,聚和材料,20.0,95.68
35,乳业,2023.1,3.09,23.16,22.1,1.06,35,天山生物,20.02,10.73
36,华为海思概念股,4160.27,3.08,216.89,182.78,34.11,51,共进股份,10.02,19.32
37,消费电子概念,3228.23,3.06,1668.78,1426.43,242.35,505,电连技术,20.0,51.17
38,汽车电子,5703.69,3.0,1641.44,1427.95,213.48,393,聚和材料,20.0,95.68
39,AI手机,2054.05,2.96,351.73,292.57,59.16,40,芯原股份,9.18,226.3
40,草甘膦,1415.3,2.95,19.51,12.05,7.45,19,利尔化学,10.02,14.94
41,MLCC概念,1248.22,2.92,228.64,209.1,19.54,35,贵研铂业,10.01,22.97
42,PEEK材料,1980.18,2.89,97.49,101.59,-4.1,54,百合花,10.0,78.09
43,供销社,1056.39,2.88,10.93,8.75,2.18,15,供销大集,10.0,1.54
44,科创次新股,725.321,2.88,259.54,195.42,64.12,25,长鑫科技,12.0,61.8
45,液冷服务器,2268.95,2.85,1173.12,1120.73,52.39,228,聚和材料,20.0,95.68
46,钙钛矿电池,1120.94,2.83,249.72,217.27,32.45,91,奥来德,19.99,50.36
47,智能穿戴,4406.48,2.82,921.44,748.45,172.99,240,德邦科技,14.4,75.15
48,黄金概念,3794.6,2.79,228.12,200.05,28.07,82,贵研铂业,10.01,22.97
49,金属镍,1290.64,2.78,109.47,91.38,18.09,38,华新科技,7.95,21.73
50,金属铅,1956.31,2.75,119.76,110.99,8.77,38,湖南白银,6.63,9.49
51,5G,6538.3,2.75,2208.7,2063.16,145.55,455,电连技术,20.0,51.17
52,土地流转,1931.19,2.74,30.12,24.88,5.24,43,天山生物,20.02,10.73
53,传感器,1629.93,2.73,695.88,581.27,114.61,268,太辰光,20.0,193.8
54,2026一季报预增,1220.42,2.72,495.88,451.64,44.24,101,奥来德,19.99,50.36
55,宁德时代概念,2317.75,2.69,686.15,570.68,115.48,297,苏州天脉,20.0,307.08
56,毫米波雷达,2121.23,2.66,521.13,434.47,86.66,127,蓝盾光电,15.82,54.77
57,商业航天,2199.27,2.66,1213.45,1050.18,163.27,503,聚和材料,20.0,95.68
58,人形机器人,2456.49,2.65,1133.27,1000.9,132.37,462,电连技术,20.0,51.17
59,华为手机,1708.49,2.63,164.53,136.62,27.91,45,博众精工,10.8,49.45
60,特高压,5088.83,2.63,409.72,393.26,16.46,133,风范股份,10.06,7.22
61,PM2.5,1813.53,2.62,36.47,32.93,3.54,36,蓝盾光电,15.82,54.77
62,6G概念,2547.21,2.62,498.86,503.01,-4.15,98,惠丰钻石,10.99,81.89
63,石墨烯,1740.2,2.6,99.16,91.3,7.86,77,中石科技,20.0,80.83
64,航空发动机,3253.06,2.58,155.73,143.29,12.44,97,优机股份,10.5,18.0
65,柔性直流输电,1537.03,2.58,210.62,214.51,-3.89,67,风范股份,10.06,7.22
66,太赫兹,2048.3,2.58,158.62,151.03,7.59,23,中瓷电子,10.0,143.09
67,MR(混合现实),1745.51,2.57,195.34,173.99,21.34,71,中石科技,20.0,80.83
68,小米概念,2118.52,2.57,1380.17,1198.98,181.19,375,电连技术,20.0,51.17
69,金属回收,1193.19,2.57,212.66,172.27,40.39,88,贵研铂业,10.01,22.97
70,AI眼镜,2695.72,2.56,745.13,623.92,121.21,193,奥来德,19.99,50.36
71,硅能源,1148.02,2.56,133.52,118.52,15.0,63,华民股份,19.95,8.9
72,磷化工,3098.62,2.55,145.43,113.4,32.03,68,万盛股份,10.04,12.39
73,专精特新,1649.08,2.54,1645.34,1456.1,189.25,1230,恒兴股份,87.58,30.05
74,工业母机,1990.88,2.53,202.21,180.33,21.87,115,维宏股份,11.0,51.28
75,农机,1250.21,2.52,106.19,97.44,8.74,97,合锻智能,10.02,26.68
76,2026中报预增,1119.93,2.52,2701.65,2435.71,265.95,510,奥来德,19.99,50.36
77,英伟达概念,1898.98,2.51,504.42,499.33,5.09,78,天准科技,20.0,94.8
78,可控核聚变,2332.15,2.51,315.67,290.17,25.5,116,苏博特,10.04,12.16
79,卫星导航,4589.58,2.5,635.38,557.7,77.68,280,聚和材料,20.0,95.68
80,机器视觉,1964.15,2.49,443.43,381.66,61.77,251,天准科技,20.0,94.8
81,高压快充,1958.0,2.48,289.38,253.18,36.2,125,中远通,20.0,19.32
82,金属锌,2207.74,2.48,116.38,110.91,5.48,43,湖南白银,6.63,9.49
83,固态电池,1452.35,2.48,706.06,638.48,67.57,296,金禄电子,19.99,35.17
84,3D打印,4448.05,2.47,347.95,296.63,51.32,141,统联精密,12.08,32.84
85,比亚迪概念,1936.24,2.47,1274.5,1110.41,164.08,684,电连技术,20.0,51.17
86,汽车热管理,2039.73,2.47,159.54,144.54,15.0,142,苏州天脉,20.0,307.08
87,无人机,3051.21,2.46,721.02,633.75,87.27,464,电连技术,20.0,51.17
88,染料,1507.35,2.46,24.46,22.86,1.6,40,达威股份,10.09,16.8
89,智能座舱,1631.59,2.46,578.82,490.92,87.9,171,中石科技,20.0,80.83
90,同花顺新质50,2380.09,2.45,677.95,563.65,114.31,50,中科飞测,13.68,368.7
91,POE胶膜,886.696,2.45,30.26,28.72,1.53,29,激智科技,13.72,31.5
92,生态农业,1582.41,2.43,44.35,34.42,9.93,64,神农种业,11.13,5.19
93,光伏概念,4381.83,2.43,1363.83,1171.21,192.61,602,聚和材料,20.0,95.68
94,金属铜,1838.25,2.41,266.46,228.24,38.22,93,北方铜业,10.01,14.95
95,稀土永磁,3681.31,2.4,148.59,137.44,11.14,65,钢研纳克,12.62,14.37
96,金属钴,2742.17,2.38,134.64,113.71,20.93,32,华新科技,7.95,21.73
97,无线耳机,2544.3,2.38,365.81,301.08,64.73,99,德邦科技,14.4,75.15
98,星闪概念,1394.08,2.37,131.32,109.74,21.57,74,国科微,12.57,196.0
99,新能源汽车,4644.14,2.33,2059.54,1812.83,246.71,1062,电连技术,20.0,51.17
100,化肥,978.952,2.31,75.6,66.57,9.03,75,红四方,10.01,23.96
101,军民融合,1534.73,2.31,233.84,207.1,26.74,245,华民股份,19.95,8.9
102,军工,2356.17,2.3,1022.38,929.13,93.25,606,金禄电子,19.99,35.17
103,新型工业化,1716.86,2.29,376.08,346.63,29.45,292,中远通,20.0,19.32
104,高端装备,3327.25,2.29,581.97,508.82,73.14,391,天准科技,20.0,94.8
105,俄乌冲突概念,1459.76,2.28,128.21,108.17,20.03,74,金健米业,10.05,6.46
106,锂电池概念,1940.03,2.27,1339.39,1192.12,147.28,607,德邦科技,14.4,75.15
107,核污染防治,1606.91,2.26,58.39,47.56,10.82,59,优利德,8.88,76.48
108,海工装备,3585.63,2.26,540.41,513.62,26.78,273,钢研纳克,12.62,14.37
109,无线充电,2109.73,2.25,101.04,89.68,11.36,58,中石科技,20.0,80.83
110,智能音箱,2747.12,2.25,219.82,181.93,37.89,60,华兴源创,11.29,56.08
111,充电桩,6370.2,2.23,635.87,550.01,85.86,389,中远通,20.0,19.32
112,电子纸,1280.22,2.23,105.1,71.91,33.18,27,天德钰,8.55,21.83
113,中船系,1818.41,2.22,51.27,43.61,7.65,20,中国动力,7.4,33.82
114,新型烟草(电子烟),2018.47,2.22,102.6,87.92,14.68,52,电连技术,20.0,51.17
115,数据中心(AIDC),2326.02,2.22,2666.7,2451.76,214.94,650,电连技术,20.0,51.17
116,超导概念,2492.45,2.21,125.38,124.26,1.12,32,冰轮环境,10.0,45.09
117,海峡两岸,1850.94,2.21,674.29,554.0,120.29,318,金禄电子,19.99,35.17
118,农业种植,2357.7,2.21,57.72,46.25,11.47,92,秋乐种业,12.98,12.01
119,同花顺出海50,1858.79,2.2,599.25,519.32,79.93,50,杰瑞股份,10.0,166.09
120,家用电器,3993.26,2.2,271.0,230.87,40.13,184,倍轻松,11.12,20.89
121,碳纤维,1979.73,2.18,87.01,75.91,11.1,82,华生科技,10.01,13.96
122,一体化压铸,1220.11,2.17,52.25,49.68,2.57,54,今飞凯达,9.91,4.99
123,小金属概念,3642.57,2.16,547.33,491.07,56.26,171,亚振家居,10.01,48.24
124,减速器,1883.07,2.15,157.65,136.88,20.77,139,创元科技,10.0,15.51
125,换电概念,1521.99,2.15,127.08,113.26,13.82,94,中远通,20.0,19.32
126,注册制次新股,174.742,2.15,331.9,259.87,72.03,80,长鑫科技,12.0,61.8
127,可降解塑料,1511.85,2.14,55.88,51.91,3.97,174,富岭股份,10.06,9.52
128,核电,4036.24,2.12,531.08,493.22,37.86,350,中远通,20.0,19.32
129,环氧丙烷,1592.04,2.12,32.06,30.46,1.61,26,红宝丽,10.03,7.13
130,特斯拉概念,5440.37,2.11,618.57,523.31,95.25,248,华兴源创,11.29,56.08
131,民爆概念,1701.11,2.1,20.56,19.87,0.68,25,力芯微,8.79,50.5
132,丙烯酸,2038.71,2.1,34.62,30.44,4.19,20,日科化学,9.3,13.05
133,无人驾驶,2884.43,2.09,1129.68,1037.59,92.1,408,电连技术,20.0,51.17
134,燃料电池,2003.58,2.09,311.86,269.31,42.55,213,中远通,20.0,19.32
135,人民币贬值受益,2351.88,2.08,1974.84,1687.03,287.81,608,太辰光,20.0,193.8
136,钠离子电池,1281.66,2.08,276.96,235.72,41.23,143,壹石通,14.2,34.75
137,机器人概念,3954.9,2.06,2161.18,1941.12,220.06,1216,天准科技,20.0,94.8
138,大飞机,3668.32,2.06,193.28,166.5,26.78,154,钢研纳克,12.62,14.37
139,海南自贸区,1482.5,2.05,51.43,42.14,9.29,29,神农种业,11.13,5.19
140,摘帽,1007.0,2.04,54.54,54.69,-0.15,77,天山生物,20.02,10.73
141,超级电容,3262.51,2.04,203.72,201.08,2.64,45,思源电气,10.0,183.15
142,储能,2486.99,2.03,1558.93,1406.0,152.93,895,中远通,20.0,19.32
143,光热发电,997.164,1.97,35.19,26.3,8.89,48,常宝股份,9.94,6.86
144,钒电池,1427.65,1.95,43.58,41.57,2.01,38,振华股份,10.0,36.52
145,低空经济,2081.67,1.94,723.24,650.47,72.76,498,中远通,20.0,19.32
146,飞行汽车(eVTOL),1814.97,1.93,165.5,149.27,16.24,272,金盾股份,9.15,8.11
147,小米汽车,1569.97,1.92,274.2,254.49,19.71,120,帝奥微,8.29,36.45
148,智能家居,3686.59,1.91,434.57,410.98,23.59,291,金禄电子,19.99,35.17
149,新股与次新股,13208.2,1.91,331.9,259.87,72.03,147,恒兴股份,87.58,30.05
150,智能电网,3837.55,1.9,549.72,538.66,11.06,277,华民股份,19.95,8.9
151,氟化工概念,5771.74,1.9,276.88,235.24,41.63,69,华盛锂电,10.49,108.3
152,EDR概念,1518.67,1.89,87.35,89.77,-2.42,20,博敏电子,10.0,17.38
153,长三角一体化,1976.19,1.89,268.5,272.18,-3.68,234,长芯博创,12.5,219.0
154,建筑节能,1394.16,1.86,53.98,48.13,5.86,102,冠中生态,10.14,22.7
155,空气能热泵,1455.02,1.86,52.77,46.54,6.23,56,冰轮环境,10.0,45.09
156,代糖概念,919.406,1.86,20.12,16.28,3.84,24,华资实业,5.34,10.85
157,融资融券,1807.64,1.85,7967.28,7185.08,782.2,3852,恒兴股份,87.58,30.05
158,盐湖提锂,1862.67,1.85,122.03,114.09,7.94,45,万德斯,8.7,30.37
159,虚拟现实,1005.76,1.85,709.58,611.05,98.53,288,中石科技,20.0,80.83
160,冷链物流,1785.88,1.85,127.17,118.64,8.53,155,*ST福成,10.04,2.85
161,氢能源,2647.75,1.85,606.84,544.46,62.38,400,中远通,20.0,19.32
162,农村电商,1684.55,1.85,20.53,16.77,3.76,37,供销大集,10.0,1.54
163,华为概念,3510.34,1.85,2420.77,2309.78,110.99,1003,电连技术,20.0,51.17
164,国产航母,1963.24,1.84,57.83,48.61,9.22,36,中国动力,7.4,33.82
165,动力电池回收,862.61,1.84,208.87,182.2,26.67,94,杰瑞股份,10.0,166.09
166,智慧灯杆,1541.33,1.84,110.17,80.24,29.93,64,三旺通信,11.47,32.08
167,粤港澳大湾区,2609.18,1.82,863.27,755.36,107.91,489,中远通,20.0,19.32
168,长安汽车概念,1552.57,1.81,350.22,282.15,68.07,458,中微半导,16.81,47.05
169,安防,4790.62,1.81,241.11,215.05,26.05,175,三旺通信,11.47,32.08
170,成飞概念,1738.38,1.81,36.91,31.25,5.66,43,利君股份,10.01,9.23
171,智能物流,1092.4,1.81,252.75,224.01,28.74,250,天准科技,20.0,94.8
172,深股通,1321.8,1.81,4184.44,3760.89,423.55,1875,电连技术,20.0,51.17
173,华为汽车,2861.65,1.8,261.44,225.23,36.21,174,金禄电子,19.99,35.17
174,房屋检测,1618.83,1.8,23.92,20.17,3.75,46,ST龙元,10.07,1.64
175,车联网(车路协同),1142.32,1.8,468.75,430.9,37.86,297,天准科技,20.0,94.8
176,净水概念,1151.18,1.8,63.43,65.72,-2.29,77,武汉天源,19.97,18.14
177,一带一路,2340.54,1.8,1035.71,1008.59,27.12,791,中石科技,20.0,80.83
178,高铁,3602.43,1.8,159.13,140.21,18.92,182,金禄电子,19.99,35.17
179,天然气,1635.17,1.79,150.67,128.38,22.29,165,春晖智控,15.8,33.2
180,食品安全,4776.79,1.78,66.41,58.48,7.93,83,钢研纳克,12.62,14.37
181,土壤修复,1041.41,1.77,88.77,82.9,5.87,91,通源环境,11.25,38.07
182,沪股通,2408.93,1.76,3731.96,3448.23,283.73,1639,聚和材料,20.0,95.68
183,军工信息化,1624.24,1.76,73.18,65.21,7.97,114,魅视科技,10.01,45.63
184,黑龙江自贸区,1812.73,1.76,44.06,43.99,0.07,36,誉衡药业,9.93,4.98
185,统一大市场,1310.0,1.75,63.58,55.1,8.48,120,中邮科技,11.56,36.18
186,股权转让(并购重组),1106.59,1.75,586.93,534.5,52.43,934,概伦电子,16.38,41.57
187,共同富裕示范区,1491.24,1.74,151.3,144.18,7.11,189,戴维医疗,20.03,14.74
188,东数西算(算力),2246.52,1.73,1386.69,1340.12,46.57,409,金禄电子,19.99,35.17
189,量子科技,2457.18,1.71,421.54,412.13,9.41,115,盛洋科技,10.05,10.73
190,预制菜,1023.2,1.7,44.17,44.74,-0.57,101,金健米业,10.05,6.46
191,石墨电极,1036.51,1.69,22.24,18.21,4.03,26,道氏技术,5.06,19.74
192,新疆振兴,988.181,1.68,133.89,123.06,10.83,156,倍轻松,11.12,20.89
193,两轮车,1628.96,1.68,68.38,65.35,3.02,77,中远通,20.0,19.32
194,烟草,1488.38,1.68,14.23,12.88,1.34,41,华业香料,6.34,26.0
195,上海自贸区,4279.15,1.67,123.64,105.16,18.48,58,芯原股份,9.18,226.3
196,雅下水电概念,1266.82,1.67,124.78,107.14,17.64,89,苏博特,10.04,12.16
197,物联网,3012.88,1.66,1166.58,1036.87,129.71,468,电连技术,20.0,51.17
198,血氧仪,1744.32,1.65,32.06,30.92,1.14,24,戴维医疗,20.03,14.74
199,足球概念,1443.08,1.64,28.19,31.21,-3.01,40,中广天择,10.02,19.88
200,航运概念,1661.97,1.64,74.38,57.63,16.75,86,龙洲股份,9.91,5.1
201,固废处理,2208.19,1.63,121.38,110.73,10.64,156,武汉天源,19.97,18.14
202,抽水蓄能,1563.13,1.63,122.65,106.83,15.82,80,苏博特,10.04,12.16
203,电力物联网,2005.57,1.62,79.55,78.2,1.35,85,思源电气,10.0,183.15
204,水泥概念,1157.67,1.61,23.53,20.74,2.8,46,冀衡医药,10.07,4.7
205,广东自贸区,1224.12,1.61,14.23,12.01,2.22,28,飞南资源,5.94,24.43
206,风电,1289.76,1.61,727.43,705.67,21.76,442,武汉天源,19.97,18.14
207,工业互联网,2667.54,1.61,874.42,800.96,73.45,438,三旺通信,11.47,32.08
208,污水处理,1772.04,1.6,162.33,146.5,15.82,229,武汉天源,19.97,18.14
