序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,文化传媒,2831.33,3.15,162.54,129.86,32.68,85,智度股份,10.04,7.45
2,通信服务,2727.83,1.98,58.6,47.55,11.05,44,二六三,9.94,5.09
3,生物制品,6553.58,1.92,74.8,76.2,-1.4,56,义翘神州,16.09,136.22
4,IT服务,12162.7,1.88,163.64,147.96,15.67,129,光云科技,13.91,16.7
5,小家电,4138.65,1.74,6.58,6.71,-0.13,26,奥佳华,10.08,6.88
6,互联网电商,9581.13,1.66,25.33,23.15,2.18,20,焦点科技,6.9,25.87
7,软件开发,1940.91,1.66,137.79,130.48,7.31,138,延华智能,10.04,5.59
8,元件,29485.7,1.28,505.05,550.44,-45.39,63,贤丰控股,10.07,7.43
9,教育,4456.61,1.23,10.6,11.05,-0.45,15,科德教育,6.63,19.62
10,计算机设备,4039.45,1.13,106.27,118.24,-11.97,83,旋极信息,20.0,4.14
11,医疗器械,11300.5,1.12,69.02,64.14,4.88,141,五洲医疗,20.0,139.74
12,煤炭开采加工,3106.52,1.1,40.92,35.88,5.04,34,大有能源,9.99,7.6
13,影视院线,1425.0,1.06,22.17,21.84,0.33,20,百纳千成,8.02,5.93
14,保险,2091.9,0.99,25.73,22.75,2.98,5,中国人寿,1.76,38.69
15,游戏,9158.25,0.97,26.14,26.2,-0.06,23,大晟文化,4.6,4.32
16,家居用品,4178.4,0.97,33.71,37.49,-3.78,98,大亚圣象,10.06,6.89
17,黑色家电,4295.27,0.85,4.57,5.56,-0.99,9,极米科技,4.68,88.75
18,医疗服务,21643.8,0.79,121.74,132.12,-10.38,56,百花医药,10.04,14.47
19,半导体,17462.0,0.71,1219.2,1249.83,-30.63,188,凯华材料,29.98,26.14
20,白色家电,8280.12,0.64,40.94,40.72,0.21,44,联合精密,10.02,26.57
21,化学制药,6491.46,0.53,137.01,162.12,-25.12,158,华仁药业,20.06,3.95
22,工业金属,4382.7,0.45,102.49,86.27,16.22,55,北方铜业,4.71,15.11
23,金属新材料,14077.8,0.44,25.62,26.59,-0.97,34,大地熊,11.36,30.4
24,汽车整车,2507.08,0.39,44.18,36.06,8.12,23,江淮汽车,10.01,21.32
25,环境治理,4138.54,0.3,36.1,39.79,-3.68,111,金达莱,10.14,18.25
26,消费电子,12877.0,0.28,177.27,180.31,-3.04,96,龙旗科技,6.13,39.3
27,食品加工制造,4695.08,0.27,26.28,25.36,0.92,66,ST加加,5.88,6.84
28,自动化设备,29411.9,0.24,132.62,155.09,-22.47,99,宏英智能,9.99,37.75
29,厨卫电器,6014.67,0.22,2.42,2.51,-0.09,9,*ST帅电,3.34,11.75
30,化学制品,7396.24,0.21,104.47,121.01,-16.54,183,华宝股份,13.42,29.49
31,房地产,1767.21,0.21,92.08,94.97,-2.89,88,我爱我家,10.03,3.51
32,综合,2297.65,0.21,10.59,11.7,-1.11,18,综艺股份,9.95,6.63
