序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,培育钻石,2460.2,3.8,64.18,53.12,11.06,19,惠丰钻石,10.71,83.8
2,液冷服务器,2291.69,1.84,786.2,807.24,-21.04,234,思泉新材,20.0,140.4
3,富士康概念,3664.59,1.26,268.16,250.4,17.77,109,思泉新材,20.0,140.4
4,金属钴,2620.65,1.02,81.72,75.73,5.99,32,华新科技,5.48,20.39
5,金属铅,2001.89,0.99,136.34,119.59,16.75,38,白银有色,10.06,7.33
6,免税店,937.211,0.95,37.71,28.67,9.03,26,珠免集团,10.0,5.28
7,金属锌,2250.31,0.85,131.77,113.78,17.98,43,白银有色,10.06,7.33
8,金属镍,1253.56,0.78,81.57,72.24,9.33,38,白银有色,10.06,7.33
9,减速器,1847.03,0.76,131.48,135.54,-4.06,139,宏昌科技,13.7,46.16
10,航运概念,1700.76,0.76,85.33,77.47,7.86,86,海通发展,10.0,13.31
11,华为数字能源,1603.34,0.74,62.22,63.63,-1.42,46,鸿富瀚,15.17,157.57
12,2026一季报预增,1165.55,0.72,333.11,339.52,-6.41,101,鸿富瀚,15.17,157.57
13,共封装光学(CPO),5797.54,0.69,997.31,1052.47,-55.16,212,金禄电子,12.31,40.6
14,汽车热管理,2046.32,0.69,158.27,151.23,7.04,143,思泉新材,20.0,140.4
15,无线充电,2072.74,0.67,90.01,83.49,6.52,59,思泉新材,20.0,140.4
16,抽水蓄能,1540.8,0.6,118.53,111.35,7.18,80,甘咨询,7.04,10.79
17,稀土永磁,3532.55,0.55,84.36,75.78,8.58,65,万朗磁塑,10.0,62.15
18,玻璃基板,653.015,0.51,150.37,172.92,-22.55,57,沃尔德,8.93,101.61
19,黄金概念,3835.72,0.51,221.52,204.89,16.62,83,白银有色,10.06,7.33
20,钛白粉概念,1826.96,0.48,13.18,13.07,0.1,15,振华股份,8.53,35.49
21,空气能热泵,1523.46,0.47,82.56,71.55,11.01,56,大元泵业,10.0,79.44
22,MLOps概念,1014.31,0.46,15.2,17.25,-2.06,18,新炬网络,9.98,24.24
23,超导概念,2450.05,0.46,98.05,95.21,2.84,32,白银有色,10.06,7.33
24,人形机器人,2378.43,0.45,626.38,684.8,-58.42,466,宏昌科技,13.7,46.16
25,光刻机,2551.63,0.45,125.0,118.15,6.85,52,同飞股份,9.51,107.21
26,高压快充,1919.42,0.44,176.8,178.39,-1.59,125,富特科技,11.91,42.83
27,金属铜,1839.97,0.41,205.89,188.21,17.67,93,白银有色,10.06,7.33
28,小金属概念,3561.86,0.4,346.43,326.23,20.2,172,白银有色,10.06,7.33
29,英伟达概念,1856.31,0.39,342.95,339.53,3.42,81,麦格米特,7.25,127.14
30,同花顺漂亮100,818.583,0.34,530.3,519.3,11.01,100,三安光电,9.98,13.89
31,同花顺出海50,1831.52,0.34,354.65,352.42,2.23,50,世纪华通,3.85,14.57
32,铜缆高速连接,3006.09,0.33,144.52,160.28,-15.77,47,远东股份,7.95,21.05
33,成飞概念,1762.1,0.33,48.73,43.34,5.39,43,博云新材,10.0,22.0
34,MLCC概念,1116.99,0.32,100.12,100.24,-0.11,37,博杰股份,4.98,102.28
35,啤酒概念,1493.33,0.32,13.4,18.57,-5.17,29,嘉美包装,10.01,13.41
36,可控核聚变,2266.28,0.31,220.36,210.02,10.33,117,白银有色,10.06,7.33
37,第三代半导体,2516.78,0.3,415.0,421.6,-6.6,181,劲拓股份,13.45,33.65
38,PVDF概念,1427.16,0.3,39.63,42.83,-3.2,17,东阳光,3.38,32.13
39,2026中报预增,1090.99,0.29,1534.85,1569.78,-34.93,513,鸿富瀚,15.17,157.57
40,宁德时代概念,2237.6,0.29,446.25,430.61,15.64,299,金禄电子,12.31,40.6
41,航空发动机,3169.66,0.27,106.7,111.64,-4.94,98,博云新材,10.0,22.0
