序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,贵金属,6185.23,5.34,197.48,147.28,50.21,14,湖南白银,10.03,10.42
2,能源金属,32499.1,4.51,69.18,54.82,14.37,13,*ST威领,10.02,19.21
3,工业金属,4389.91,2.65,152.82,106.92,45.9,55,盛达资源,10.01,36.61
4,小金属,9089.02,1.8,121.32,104.63,16.69,29,国城矿业,8.19,33.28
5,元件,23864.2,1.55,363.05,302.45,60.6,63,江海股份,7.27,64.33
6,石油加工贸易,3530.5,1.52,20.17,20.82,-0.65,27,博汇股份,20.02,12.47
7,通信设备,9265.34,1.38,665.85,604.3,61.55,91,星网锐捷,10.02,33.17
8,非金属材料,30683.8,1.3,23.27,17.58,5.69,16,金博股份,14.54,39.85
9,塑料制品,10608.1,1.28,61.28,55.78,5.5,77,肯特股份,20.01,37.78
10,消费电子,12205.7,1.28,169.83,139.12,30.7,96,锦富技术,12.5,4.95
11,电池,17925.3,1.26,192.79,159.75,33.04,106,诺德股份,10.04,10.74
12,油气开采及服务,1720.35,1.22,26.83,23.39,3.43,19,中曼石油,4.54,23.48
13,光伏设备,7325.56,1.21,70.77,58.98,11.78,72,*ST泉为,17.61,19.03
14,金属新材料,13755.1,1.13,16.55,16.45,0.1,34,族兴新材,10.61,19.92
15,其他电源设备,6134.87,1.04,45.19,36.64,8.55,35,麦格米特,8.27,128.06
16,保险,1970.03,1.04,40.1,36.45,3.65,5,中国平安,2.32,53.35
17,军工电子,11443.3,0.94,44.16,41.93,2.23,63,火炬电子,6.26,48.88
18,燃气,1848.09,0.85,9.07,8.9,0.17,27,水发燃气,10.04,9.54
19,通用设备,8984.04,0.82,146.06,138.0,8.06,253,国仪公司,10.39,89.59
20,其他电子,20424.6,0.81,49.21,57.25,-8.04,34,旭光电子,10.0,38.28
21,光学光电子,5357.46,0.78,145.39,135.58,9.81,107,勤上股份,10.13,4.13
22,计算机设备,3916.96,0.77,68.02,60.3,7.72,83,熙菱信息,11.47,22.45
23,港口航运,1242.05,0.74,53.69,39.94,13.75,36,招商轮船,7.15,19.78
24,包装印刷,4261.15,0.73,10.43,10.71,-0.28,46,金富科技,10.0,43.02
