序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,半导体,17299.6,4.31,1426.97,1200.37,226.6,188,托伦斯,20.0,142.56
2,其他电子,21340.8,3.07,72.66,58.72,13.94,34,民德电子,10.99,31.72
3,光伏设备,7047.92,2.91,90.97,66.66,24.31,73,拉普拉斯,11.26,46.55
4,其他电源设备,6301.5,2.86,59.24,42.9,16.34,35,高特电子,6.71,26.7
5,专用设备,7476.97,2.69,144.39,131.31,13.09,203,沈鼓集团,177.74,57.77
6,电子化学品,92378.3,2.61,178.0,157.8,20.2,43,广钢气体,8.4,32.9
7,生物制品,6144.83,2.61,51.16,50.57,0.59,56,信诺维,34.46,55.6
8,医疗服务,20430.8,2.54,115.31,111.49,3.81,56,泓博医药,10.76,35.21
9,家居用品,4038.25,2.37,30.12,31.38,-1.26,98,家联科技,10.32,20.84
10,通信设备,10003.7,2.35,742.52,706.09,36.42,91,浩瀚深度,20.02,23.02
11,金属新材料,13773.3,2.32,23.85,19.24,4.61,34,春光集团,8.5,54.87
12,房地产,1700.77,2.31,72.84,51.3,21.54,88,万科A,9.93,3.32
13,环保设备,1415.35,2.28,18.04,13.99,4.05,30,国林科技,10.72,15.8
14,美容护理,4773.15,2.25,12.07,10.91,1.16,34,洁雅股份,11.02,46.26
15,自动化设备,29158.1,2.12,185.23,160.34,24.89,99,智云股份,11.17,10.85
16,通用设备,9216.78,2.1,195.94,171.66,24.28,254,电科思仪,20.0,63.0
17,军工电子,11768.9,2.04,55.02,47.52,7.5,61,高凌信息,19.98,21.74
18,软件开发,1864.38,2.02,111.44,98.72,12.71,138,华信永道,11.44,25.92
19,互联网电商,9263.25,1.95,23.58,25.39,-1.81,20,星徽股份,17.39,11.61
20,医药商业,4574.94,1.94,12.19,12.01,0.18,32,百洋医药,10.41,25.55
21,消费电子,12598.5,1.91,198.12,166.07,32.05,96,科森科技,10.01,23.42
22,电网设备,6355.9,1.87,110.03,102.65,7.38,140,太阳电缆,10.03,8.67
23,厨卫电器,5914.86,1.85,3.56,2.79,0.77,9,亿田智能,11.13,31.95
24,电池,17517.7,1.84,183.77,170.37,13.4,107,华汇智能,15.31,29.98
25,IT服务,11762.0,1.84,130.87,112.03,18.84,129,云天励飞,15.09,65.6
26,塑料制品,10989.8,1.83,69.72,71.58,-1.86,77,道生天合,10.0,15.95
27,其他社会服务,18894.0,1.77,11.84,10.47,1.37,84,零点有数,6.19,55.38
28,光学光电子,5540.19,1.74,203.88,169.62,34.26,107,阳光照明,10.03,3.51
29,多元金融,1075.53,1.68,13.98,13.54,0.45,26,华金资本,10.02,12.96
30,零售,1881.42,1.67,42.34,38.82,3.52,71,国芳集团,10.0,16.06
31,纺织制造,2299.94,1.66,6.91,7.84,-0.93,33,华纺股份,9.94,3.54
32,医疗器械,10805.0,1.61,48.74,42.78,5.96,141,百迈科,16.56,34.99
33,计算机设备,3925.26,1.59,85.58,73.26,12.31,83,魅视科技,10.01,39.99
34,非金属材料,31447.0,1.57,26.79,26.6,0.2,17,金戈新材,4.32,38.36
35,服装家纺,2864.49,1.54,21.38,22.66,-1.29,75,七匹狼,10.02,9.0
36,小金属,8538.61,1.52,76.23,67.44,8.79,30,金钛股份,6.7,27.22
37,贵金属,5649.87,1.51,83.99,75.38,8.61,14,株冶集团,3.7,25.5
38,元件,28431.5,1.42,483.5,487.92,-4.42,63,一博科技,12.04,74.42
39,证券,1437.04,1.36,81.03,58.2,22.83,50,华鑫股份,9.98,14.1
40,军工装备,2158.12,1.36,106.42,100.06,6.36,82,*ST航图,7.51,9.3
41,饮料制造,4950.45,1.35,22.86,22.7,0.16,47,会稽山,10.02,32.84
42,旅游及酒店,2781.43,1.33,20.23,17.67,2.57,35,陕西旅游,10.01,64.19
43,化学纤维,3626.19,1.32,15.62,15.03,0.59,29,汇隆新材,4.42,21.03
44,化学制品,7202.79,1.3,104.19,99.08,5.11,183,华软科技,10.1,5.34
45,工业金属,4343.68,1.28,89.7,81.03,8.67,55,盛达资源,5.88,34.76
46,电机,3192.11,1.27,8.63,8.75,-0.12,26,华瑞股份,5.4,28.88
47,建筑装饰,4157.37,1.24,75.63,75.04,0.59,143,经纬股份,20.0,54.0
48,轨交设备,994.434,1.24,6.85,6.37,0.48,30,长青科技,6.0,20.67
49,风电设备,4321.07,1.2,43.86,48.25,-4.4,32,洛轴股份,12.75,32.11
50,电力,1956.59,1.16,111.21,102.35,8.86,110,大连热电,10.06,8.42
51,汽车零部件,5690.18,1.16,139.08,137.62,1.45,275,中捷精工,14.97,50.91
52,造纸,2102.76,1.13,9.49,8.23,1.25,24,宜宾纸业,5.23,17.3
53,小家电,3990.36,1.13,6.24,6.41,-0.17,26,德豪润达,9.92,2.66
54,工程机械,2933.71,1.12,17.53,19.71,-2.18,36,华东重机,6.59,5.66
55,环境治理,4076.84,1.09,33.26,31.38,1.88,111,福龙马,10.03,15.47
56,白色家电,8109.9,1.09,35.17,31.88,3.3,44,宏昌科技,6.1,45.21
57,保险,2051.15,1.08,24.22,23.39,0.83,5,中国人寿,1.75,37.8
58,机场航运,1722.82,1.06,11.07,8.02,3.06,13,厦门空港,2.72,15.12
59,石油加工贸易,3652.07,1.03,17.7,19.93,-2.23,27,和顺石油,9.99,48.55
60,包装印刷,4395.51,1.02,22.89,21.7,1.2,46,新宏泽,9.96,11.92
61,能源金属,29206.6,1.01,24.37,25.11,-0.74,13,*ST威领,2.96,19.84
62,综合,2259.3,1.0,11.74,10.3,1.44,18,亚泰集团,10.29,1.93
63,通信服务,2635.11,0.99,35.47,33.06,2.41,44,南凌科技,3.55,16.05
64,文化传媒,2696.08,0.93,80.91,88.8,-7.9,85,内蒙新华,10.04,13.48
65,化学原料,3232.46,0.93,40.35,39.89,0.46,59,江苏索普,6.13,7.27
66,建筑材料,5639.78,0.79,125.53,168.57,-43.04,73,中旗新材,9.99,37.98
67,钢铁,1493.45,0.78,21.82,19.43,2.39,44,马矿股份,10.03,17.78
68,白酒,1932.93,0.75,27.19,26.6,0.59,19,水井坊,2.13,25.92
69,化学制药,6169.11,0.73,105.04,107.8,-2.76,158,华纳药厂,6.84,56.1
70,油气开采及服务,1658.66,0.65,13.61,13.52,0.09,19,博迈科,3.41,17.6
71,食品加工制造,4592.1,0.64,21.16,23.31,-2.15,66,安井食品,6.79,79.48
72,物流,5171.16,0.6,14.74,13.23,1.51,50,海晨股份,11.8,16.58
73,橡胶制品,13978.8,0.57,15.65,16.14,-0.49,22,震安科技,7.0,21.72
74,中药,3085.95,0.53,25.64,25.82,-0.18,68,特一药业,3.88,9.64
75,黑色家电,4249.09,0.48,4.84,4.9,-0.06,9,高斯贝尔,1.46,15.3
76,燃气,1860.63,0.44,7.77,6.5,1.27,27,贵州燃气,2.94,6.66
77,影视院线,1376.7,0.43,17.29,17.97,-0.68,20,上海电影,5.51,24.51
78,贸易,2542.26,0.38,3.02,3.46,-0.44,14,中信金属,3.68,11.54
79,农产品加工,3767.71,0.37,33.26,31.75,1.51,43,金健米业,9.98,14.32
80,汽车服务及其他,1118.03,0.27,8.83,7.73,1.1,26,津富士达,4.93,22.79
81,游戏,8925.33,0.2,24.03,29.82,-5.79,23,宝通科技,1.97,21.27
82,种植业与林业,4786.43,0.01,47.2,47.5,-0.3,30,敦煌种业,4.92,10.23
83,教育,4304.34,-0.05,6.73,7.85,-1.11,15,*ST高科,9.89,9.11
84,农化制品,4818.94,-0.13,36.06,38.5,-2.44,61,百傲化学,4.7,12.91
85,港口航运,1276.2,-0.2,48.38,47.41,0.97,36,厦门港务,3.75,9.4
86,公路铁路运输,1306.6,-0.26,8.28,8.59,-0.31,32,海汽集团,2.48,13.66
87,养殖业,2884.49,-0.38,21.84,22.17,-0.33,36,申联生物,4.25,8.34
88,银行,1369.64,-0.48,82.43,91.0,-8.57,84,江苏银行,1.08,12.17
89,煤炭开采加工,3000.95,-0.58,31.94,36.16,-4.22,34,华电能源,3.74,5.27
90,汽车整车,2482.1,-1.0,35.09,42.93,-7.84,23,北汽蓝谷,1.11,4.54
