序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,证券,1473.91,3.01,187.45,115.71,71.74,50,锦龙股份,10.04,9.75
2,工业金属,4510.35,2.89,225.58,170.14,55.44,55,精艺股份,10.03,10.09
3,保险,2058.44,2.19,52.75,33.37,19.39,5,新华保险,2.73,60.98
4,造纸,2100.79,2.16,13.13,16.1,-2.97,24,青山纸业,10.16,3.47
5,多元金融,1099.32,1.74,25.6,25.71,-0.11,26,仁东控股,7.09,12.08
6,农化制品,4887.25,1.66,62.34,51.09,11.26,61,新农股份,9.99,17.28
7,电力,1923.17,1.51,122.88,97.72,25.16,110,立新能源,10.01,13.52
8,钢铁,1547.5,1.51,27.79,22.54,5.25,43,鄂尔多斯,5.25,13.63
9,贸易,2570.58,1.31,4.31,3.93,0.38,14,凯瑞德,10.07,8.09
10,公路铁路运输,1318.0,1.17,14.86,10.25,4.61,32,五洲交通,3.38,4.28
11,旅游及酒店,2831.29,1.13,16.13,14.04,2.09,35,华天酒店,9.95,4.75
12,影视院线,1262.63,1.04,10.88,10.74,0.14,20,横店影视,3.5,15.4
13,环保设备,1418.71,1.04,12.74,11.73,1.01,30,法尔胜,10.07,7.98
14,电池,18072.5,1.03,171.05,150.58,20.47,106,力王股份,8.58,15.56
15,化学纤维,3718.12,1.02,17.15,17.25,-0.1,29,ST海龙,9.88,1.89
16,银行,1366.72,1.02,108.54,86.1,22.44,84,苏农银行,3.32,4.36
17,物流,5167.85,1.01,17.12,13.48,3.64,50,嘉友国际,7.76,13.88
18,黑色家电,4033.67,0.95,5.65,4.98,0.66,9,海信视像,5.96,27.74
19,生物制品,6392.6,0.94,70.18,71.0,-0.82,55,康希诺,20.0,85.62
20,综合,2264.06,0.92,9.63,9.3,0.33,18,ST三木,9.89,4.0
21,房地产,1693.4,0.89,41.97,42.47,-0.5,88,市北高新,9.91,5.1
22,化学原料,3284.93,0.89,55.68,49.62,6.06,59,江天化学,10.14,31.39
23,机场航运,1768.61,0.83,11.98,9.19,2.8,13,中国东航,1.98,3.6
24,能源金属,31929.0,0.82,42.49,40.82,1.67,13,盛新锂能,3.65,31.82
25,中药,3199.16,0.81,38.82,45.21,-6.39,68,千金药业,9.98,11.02
26,建筑材料,5567.08,0.79,54.43,52.08,2.35,73,西藏天路,6.44,7.6
27,环境治理,4130.67,0.78,40.39,37.14,3.25,111,上海洗霸,10.0,42.69
28,小金属,8973.45,0.7,95.47,97.74,-2.27,29,宜安科技,8.04,17.33
29,非金属材料,30238.0,0.66,23.69,21.37,2.32,16,联瑞新材,6.48,155.2
30,煤炭开采加工,3069.31,0.62,41.51,40.29,1.22,34,上海能源,5.34,11.45
31,建筑装饰,4113.24,0.58,70.35,75.3,-4.95,143,宝鹰股份,10.0,3.63
32,教育,4119.21,0.54,7.44,8.28,-0.84,15,ST豆神,12.92,2.71
33,汽车服务及其他,1108.39,0.54,7.53,7.19,0.35,26,涛涛车业,3.38,249.14
34,汽车整车,2520.95,0.54,26.68,27.79,-1.12,23,众泰汽车,2.41,1.7
35,光伏设备,7316.4,0.52,71.64,66.48,5.16,72,金辰股份,10.02,28.44
36,种植业与林业,4407.52,0.48,33.51,34.91,-1.4,30,万向德农,10.04,9.54
37,农产品加工,3687.32,0.42,26.03,27.21,-1.18,43,金健米业,5.26,9.8
38,橡胶制品,13286.6,0.4,5.23,5.19,0.04,22,确成股份,5.61,15.05
39,风电设备,4100.41,0.39,16.55,17.5,-0.95,31,广大特材,3.06,14.15
40,轨交设备,1007.19,0.38,8.61,7.11,1.5,30,康尼机电,5.13,6.15
41,电网设备,6388.23,0.38,91.6,96.71,-5.11,140,百利电气,10.05,6.57
