序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,银行,1411.88,1.47,118.35,81.4,36.95,84,宁波银行,3.49,35.87
2,厨卫电器,6044.84,1.41,5.33,6.68,-1.35,9,万和电气,10.03,7.9
3,元件,26112.1,1.31,373.21,367.97,5.24,63,逸豪新材,15.29,56.49
4,多元金融,1127.7,1.01,20.97,22.47,-1.5,26,新力金融,10.07,8.09
5,电力,1979.64,0.93,144.51,128.23,16.29,110,华银电力,10.06,7.0
6,证券,1486.05,0.84,92.89,67.5,25.39,50,哈投股份,5.26,6.0
7,风电设备,4083.38,0.71,27.16,25.22,1.94,32,天顺风能,10.03,6.91
8,燃气,1957.0,0.56,16.46,17.63,-1.17,27,美能能源,10.05,11.83
9,保险,2109.53,0.31,19.41,18.64,0.77,5,中国太保,0.6,33.63
10,建筑材料,5680.96,0.04,99.78,84.87,14.91,73,再升科技,10.05,9.96
11,教育,4384.24,-0.12,7.7,7.78,-0.09,15,ST豆神,11.62,5.57
12,公路铁路运输,1341.0,-0.15,10.38,10.03,0.35,32,招商公路,2.09,9.76
13,旅游及酒店,3036.98,-0.31,21.76,25.47,-3.71,35,桂林旅游,9.99,9.69
14,黑色家电,4199.58,-0.37,3.33,4.72,-1.39,9,创维数字,3.8,9.84
15,机场航运,1763.32,-0.51,5.14,7.62,-2.48,13,吉祥航空,0.1,10.16
16,电子化学品,85017.8,-0.52,78.85,80.85,-2.0,43,德邦科技,4.24,74.95
17,游戏,9230.18,-0.53,24.76,28.07,-3.3,23,游族网络,10.0,13.64
18,港口航运,1316.9,-0.59,53.86,58.33,-4.48,36,海峡股份,4.4,7.83
19,物流,5272.88,-0.61,12.32,12.6,-0.28,50,*ST瑞茂,9.74,1.69
20,半导体,15899.9,-0.71,580.37,593.36,-13.0,188,诚邦股份,10.01,15.72
21,计算机设备,3926.19,-0.71,58.31,67.48,-9.17,83,中新赛克,9.98,21.37
22,软件开发,1871.5,-0.75,66.86,69.93,-3.07,138,ST信源,6.15,2.76
23,建筑装饰,4209.23,-0.76,56.42,62.82,-6.4,143,ST龙元,10.19,1.73
24,军工装备,2215.66,-0.77,138.76,142.93,-4.17,82,国瑞科技,6.92,11.59
