序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,中船系,1875.62,1.19,44.36,38.44,5.91,20,中国船舶,3.26,40.82
2,期货概念,1786.65,0.39,98.69,78.11,20.58,70,哈投股份,5.26,6.0
3,ST板块,505.505,0.16,40.54,43.39,-2.85,204,ST荣科,18.31,7.3
4,国产航母,2015.42,0.15,86.44,80.97,5.47,36,国瑞科技,6.92,11.59
5,证金持股,1141.65,0.09,101.08,97.46,3.62,33,宁波银行,3.49,35.87
6,特色小镇,505.257,-0.08,14.17,19.15,-4.98,40,新农开发,10.05,9.64
7,自由贸易港,990.872,-0.1,26.45,33.34,-6.89,47,百迈科,29.98,34.94
8,同花顺中特估100,1191.3,-0.11,283.17,271.86,11.31,100,中国出版,4.04,6.95
9,供销社,1168.5,-0.12,20.9,23.4,-2.5,15,新力金融,10.07,8.09
10,DRG/DIP,887.741,-0.14,6.0,5.88,0.12,22,ST荣科,18.31,7.3
11,信托概念,1190.37,-0.27,17.69,17.8,-0.11,23,五矿资本,2.2,5.11
12,存储芯片,2562.82,-0.27,741.8,723.7,18.11,203,太极实业,10.02,19.98
13,光伏建筑一体化,1512.15,-0.3,82.9,91.06,-8.16,134,ST龙元,10.19,1.73
14,财税数字化,1637.04,-0.32,25.89,28.39,-2.49,65,ST豆神,11.62,5.57
15,MLCC概念,1098.58,-0.33,96.44,86.59,9.85,37,斯迪克,8.7,53.59
16,PCB概念,2635.02,-0.36,729.19,741.97,-12.78,238,逸豪新材,15.29,56.49
17,生物质能发电,1059.56,-0.36,33.87,33.0,0.87,65,九洲集团,8.08,6.29
18,云游戏,1467.83,-0.37,41.8,43.63,-1.83,27,游族网络,10.0,13.64
19,超超临界发电,1609.93,-0.37,87.86,91.55,-3.68,87,大连重工,10.09,5.89
20,虚拟电厂,1487.1,-0.38,136.65,148.31,-11.66,157,华银电力,10.06,7.0
21,光热发电,989.779,-0.43,26.3,27.47,-1.16,50,凯盛新能,10.01,7.91
22,碳交易,1009.17,-0.45,126.71,139.2,-12.49,121,华银电力,10.06,7.0
23,绿色电力,1161.68,-0.47,410.29,435.57,-25.28,427,华银电力,10.06,7.0
