序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,电子化学品,91970.8,4.07,171.56,155.37,16.19,43,中石科技,20.01,67.36
2,非金属材料,30820.2,3.84,22.31,21.02,1.28,16,金戈新材,29.98,40.89
3,元件,24262.1,2.52,402.05,405.96,-3.91,63,中富电路,11.74,155.88
4,通信设备,9345.63,2.33,746.98,629.43,117.55,91,阿莱德,20.0,37.62
5,金属新材料,14077.4,2.05,28.29,21.94,6.35,34,龙磁科技,7.61,166.8
6,小金属,9244.17,1.99,170.48,142.1,28.38,29,中国稀土,10.0,60.95
7,半导体,16871.3,1.86,1126.7,1126.11,0.59,185,敏芯股份,20.01,53.56
8,其他电子,20754.6,1.7,62.91,59.84,3.07,34,富信科技,20.0,98.4
9,环保设备,1427.92,1.55,27.9,26.94,0.96,30,蓝盾光电,20.0,47.29
10,通信服务,2792.73,1.38,110.15,88.19,21.96,44,数据港,10.0,29.04
11,光学光电子,5360.75,1.29,130.88,141.09,-10.21,107,经纬辉开,19.95,9.26
12,自动化设备,29055.1,1.24,134.94,129.97,4.96,96,大豪科技,10.0,15.18
13,游戏,9451.85,1.22,67.03,55.44,11.59,24,迅游科技,7.55,38.32
14,塑料制品,10647.8,1.0,55.49,58.63,-3.14,77,瑞丰高材,16.09,16.88
15,医药商业,4911.65,0.99,23.9,26.68,-2.78,32,人民同泰,10.05,11.83
16,工业金属,4289.42,0.94,94.61,100.84,-6.23,55,金田股份,10.05,10.95
17,煤炭开采加工,2928.52,0.91,45.04,38.17,6.87,34,平煤股份,6.67,9.59
18,黑色家电,4056.61,0.89,9.34,7.67,1.67,9,四川长虹,3.26,7.28
19,电池,18278.4,0.89,197.76,183.91,13.84,106,龙鑫智能,9.89,34.65
20,消费电子,12268.0,0.78,171.18,166.44,4.74,96,奕东电子,8.79,78.35
21,其他电源设备,6277.34,0.72,46.6,49.43,-2.83,35,金时科技,10.01,18.14
22,专用设备,7381.58,0.69,135.67,130.15,5.52,200,快意电梯,10.03,17.55
23,通用设备,9116.03,0.69,163.06,168.59,-5.53,253,翔楼新材,18.49,44.8
24,能源金属,32532.5,0.68,46.27,48.52,-2.25,12,融捷股份,3.38,73.35
25,军工装备,2120.25,0.64,84.06,86.13,-2.06,82,利君股份,9.96,8.39
26,化学纤维,3685.89,0.58,12.37,18.51,-6.14,29,海阳科技,9.98,20.94
27,橡胶制品,13121.3,0.56,6.25,5.52,0.73,22,科创新源,5.2,39.84
28,军工电子,11935.0,0.46,53.47,57.49,-4.01,63,盛路通信,5.32,9.11
29,贵金属,5455.73,0.41,83.7,78.02,5.67,14,赤峰黄金,2.9,39.78
30,计算机设备,4001.23,0.24,125.0,142.85,-17.85,83,ST达华,8.42,4.12
31,白色家电,7903.62,0.22,27.87,34.41,-6.55,44,海达尔,13.47,95.88
32,生物制品,6434.03,0.21,58.11,60.8,-2.7,55,近岸蛋白,8.72,69.58
33,建筑材料,5537.19,0.15,107.21,92.73,14.48,73,中材科技,7.48,59.93
34,环境治理,4062.72,0.15,42.13,44.58,-2.45,111,九州一轨,20.01,72.1
35,造纸,2065.84,0.13,7.32,7.91,-0.59,24,安妮股份,5.89,10.43
36,化学制品,7142.63,0.09,115.29,126.5,-11.21,181,阿拉丁,10.88,24.25
37,IT服务,12210.3,0.08,245.41,228.9,16.52,129,网宿科技,20.01,17.33
38,汽车零部件,5791.82,0.06,120.98,126.16,-5.18,271,正裕工业,10.04,9.75
39,软件开发,1917.78,0.05,142.63,153.79,-11.16,138,理工能科,10.03,13.05
40,贸易,2522.17,0.02,2.98,2.75,0.24,14,江苏国泰,1.72,7.71
41,钢铁,1498.68,0.02,26.71,21.79,4.92,44,杭钢股份,5.88,7.38
