序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,共封装光学(CPO),5833.17,2.94,1582.63,1449.87,132.76,205,金戈新材,29.98,40.89
2,F5G概念,4232.23,2.91,396.76,319.32,77.44,36,共进股份,10.03,17.56
3,太赫兹,1996.88,2.71,151.11,116.62,34.49,23,亨通光电,10.01,62.98
4,光纤概念,3668.27,2.46,794.38,726.21,68.17,110,九州一轨,20.01,72.1
5,光刻机,2630.81,2.42,173.18,151.78,21.4,51,中瓷电子,10.0,130.08
6,铜缆高速连接,2968.95,2.33,224.77,188.1,36.67,47,中富电路,11.74,155.88
7,科创次新股,705.043,2.31,155.51,133.81,21.7,25,长进光子,13.99,355.55
8,富士康概念,3546.29,2.3,261.84,253.45,8.38,109,中石科技,20.01,67.36
9,同花顺果指数,2297.59,2.3,191.42,210.37,-18.95,20,中石科技,20.01,67.36
10,存储芯片,2669.49,2.27,1307.66,1256.85,50.82,200,阿莱德,20.0,37.62
11,PET铜箔,2011.25,2.24,189.43,159.59,29.84,50,经纬辉开,19.95,9.26
12,6G概念,2482.29,2.2,502.53,434.54,67.99,98,共进股份,10.03,17.56
13,先进封装,2665.68,2.12,923.68,926.24,-2.56,204,中富电路,11.74,155.88
14,PCB概念,2609.55,2.08,824.02,773.98,50.04,236,瑞丰高材,16.09,16.88
15,光刻胶,5031.65,2.08,137.22,123.76,13.46,79,阿拉丁,10.88,24.25
16,稀土永磁,3594.94,2.07,159.24,123.63,35.61,65,金田股份,10.05,10.95
17,中芯国际概念,3435.32,1.98,489.35,492.89,-3.54,90,敏芯股份,20.01,53.56
18,MiniLED,2694.98,1.88,358.06,364.42,-6.36,107,中富电路,11.74,155.88
19,超级电容,3197.33,1.77,195.94,173.49,22.45,45,金时科技,10.01,18.14
20,PM2.5,1767.22,1.76,34.62,34.65,-0.03,36,蓝盾光电,20.0,47.29
21,苹果概念,5747.28,1.73,392.54,396.18,-3.64,140,中石科技,20.01,67.36
22,柔性屏(折叠屏),3200.29,1.7,267.9,259.08,8.83,108,经纬辉开,19.95,9.26
23,AI手机,1995.09,1.68,227.27,232.77,-5.5,40,思泉新材,14.96,119.8
24,OLED,3081.6,1.67,558.5,560.21,-1.71,156,经纬辉开,19.95,9.26
25,液冷服务器,2206.09,1.65,1073.71,939.98,133.73,228,网宿科技,20.01,17.33
26,举牌,3068.7,1.64,14.86,13.08,1.78,21,华骐环保,19.97,16.82
27,华为海思概念股,4036.09,1.62,146.72,146.74,-0.02,51,共进股份,10.03,17.56
28,MLCC概念,1212.77,1.61,183.79,185.1,-1.31,35,龙鑫智能,9.89,34.65
29,石墨烯,1696.02,1.61,79.34,87.2,-7.86,77,中石科技,20.01,67.36
30,玻璃基板,664.545,1.59,206.67,214.92,-8.25,56,德龙激光,8.46,56.15
31,华为手机,1664.69,1.59,126.51,120.85,5.66,45,大恒科技,9.98,13.22
32,5G,6363.27,1.54,1820.62,1700.35,120.27,455,中石科技,20.01,67.36
33,第三代半导体,2572.07,1.52,567.32,581.09,-13.77,181,金博股份,13.56,37.02
34,芯片概念,4946.8,1.52,3203.28,3114.65,88.63,915,敏芯股份,20.01,53.56
35,无线充电,2063.32,1.47,90.43,89.12,1.31,58,中石科技,20.01,67.36
36,消费电子概念,3132.54,1.47,1230.46,1209.78,20.68,505,敏芯股份,20.01,53.56
37,汽车芯片,1333.17,1.43,553.87,555.37,-1.5,144,联芸科技,11.26,69.65
38,MCU芯片,1691.38,1.4,314.24,291.43,22.8,95,盈新发展,10.18,3.03
39,新型烟草(电子烟),1974.71,1.36,83.02,76.44,6.58,52,敏芯股份,20.01,53.56
40,成飞概念,1707.42,1.35,33.06,30.14,2.93,43,利君股份,9.96,8.39
41,MicroLED概念,1716.46,1.32,194.56,210.42,-15.86,81,德龙激光,8.46,56.15
42,AI眼镜,2628.37,1.32,547.22,540.25,6.97,193,敏芯股份,20.01,53.56
43,汽车电子,5537.58,1.32,1214.42,1176.51,37.91,393,敏芯股份,20.01,53.56
44,云游戏,1527.44,1.26,96.92,82.98,13.95,27,中青宝,7.15,11.84
45,国家大基金持股,3095.42,1.22,565.6,564.35,1.25,50,中巨芯,7.66,29.5
46,英伟达概念,1852.44,1.2,470.4,464.92,5.48,78,麦捷科技,11.09,19.24
47,注册制次新股,171.072,1.17,210.9,195.64,15.26,80,长进光子,13.99,355.55
48,智慧灯杆,1513.5,1.17,63.1,73.31,-10.21,64,经纬辉开,19.95,9.26
49,无线耳机,2485.23,1.13,286.0,262.15,23.84,99,敏芯股份,20.01,53.56
50,MR(混合现实),1701.73,1.13,165.49,162.09,3.4,71,中石科技,20.01,67.36
51,智能穿戴,4285.62,1.12,621.2,628.58,-7.38,240,敏芯股份,20.01,53.56
52,有机硅概念,1957.29,1.11,43.84,37.61,6.23,55,德邦科技,6.02,65.69
53,汽车热管理,1990.54,1.1,141.54,133.39,8.15,142,中石科技,20.01,67.36
54,固态电池,1417.25,1.08,618.84,582.99,35.85,296,瑞丰高材,16.09,16.88
55,阿尔茨海默概念,1330.3,1.07,85.27,75.29,9.99,90,网宿科技,20.01,17.33
