序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,AI视频,2123.15,5.52,196.08,142.81,53.27,57,流金科技,29.96,8.85
2,短剧游戏,1260.81,5.18,208.43,152.72,55.72,87,流金科技,29.96,8.85
3,快手概念,1885.55,3.67,146.03,110.9,35.14,52,中文在线,20.02,27.28
4,AI语料,1147.28,3.66,124.65,95.94,28.71,53,中文在线,20.02,27.28
5,知识产权保护,1699.86,3.51,54.42,36.37,18.05,51,流金科技,29.96,8.85
6,富士康概念,3715.69,3.5,299.26,248.25,51.01,109,荣亿精密,26.68,15.43
7,智能音箱,2753.07,3.43,181.07,138.97,42.11,60,精研科技,16.02,48.24
8,AI手机,2056.12,3.21,203.93,159.41,44.52,40,力芯微,17.24,64.13
9,智谱AI,1378.15,3.19,157.79,120.08,37.7,71,中文在线,20.02,27.28
10,AIGC概念,1998.86,3.17,549.0,450.61,98.39,294,流金科技,29.96,8.85
11,文化传媒概念,2726.58,3.16,260.18,205.64,54.54,197,流金科技,29.96,8.85
12,手机游戏,2683.89,3.04,97.96,72.4,25.55,57,芒果超媒,20.0,16.98
13,AI眼镜,2676.06,3.0,523.7,430.28,93.41,192,力芯微,17.24,64.13
14,小红书概念,1467.86,2.9,145.36,113.61,31.75,55,慧辰股份,12.8,39.03
15,多模态AI,1269.58,2.89,280.51,210.73,69.78,154,中文在线,20.02,27.28
16,抖音概念(字节概念),1655.06,2.89,624.34,536.9,87.44,218,中文在线,20.02,27.28
17,华为盘古,988.425,2.88,41.21,29.81,11.4,29,赛意信息,11.66,29.97
18,液冷服务器,2271.21,2.83,820.01,738.64,81.36,229,荣亿精密,26.68,15.43
19,MLOps概念,1015.26,2.82,22.84,15.94,6.9,18,星环科技,11.99,112.27
20,MR(混合现实),1734.75,2.78,173.79,139.54,34.25,71,芒果超媒,20.0,16.98
21,英伟达概念,1882.91,2.74,404.24,349.39,54.85,80,中胤时尚,13.65,19.4
22,在线教育,2894.13,2.73,190.29,147.54,42.75,127,中文在线,20.02,27.28
23,虚拟数字人,1351.54,2.69,276.17,206.08,70.08,176,流金科技,29.96,8.85
24,网络游戏,1561.18,2.68,130.5,103.6,26.9,66,芒果超媒,20.0,16.98
25,星闪概念,1402.92,2.65,101.27,76.55,24.72,74,星宸科技,12.69,131.26
26,虚拟现实,1001.18,2.62,597.06,462.89,134.17,288,中文在线,20.02,27.28
27,语音技术,1856.94,2.56,63.25,48.97,14.28,62,海看股份,19.99,22.33
28,元宇宙,1798.68,2.52,331.03,241.69,89.34,181,中文在线,20.02,27.28
29,苹果概念,5958.59,2.47,413.55,335.61,77.94,140,卓兆点胶,10.72,22.2
30,人脸识别,1324.38,2.44,116.18,90.46,25.72,109,华是科技,20.0,58.14
31,华为手机,1691.14,2.43,113.81,91.03,22.78,45,红板科技,9.99,94.97
