序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,共封装光学(CPO),5954.7,5.59,1846.32,1322.75,523.56,212,则成电子,29.97,23.59
2,F5G概念,4335.72,4.31,444.63,334.77,109.86,36,太辰光,14.5,206.1
3,PCB概念,2626.93,4.23,915.17,678.6,236.57,239,则成电子,29.97,23.59
4,PET铜箔,1978.56,3.94,161.63,136.59,25.04,49,泰金新能,20.0,122.77
5,转基因,2012.63,3.87,34.35,31.52,2.83,21,敦煌种业,10.05,9.53
6,铜缆高速连接,3035.19,3.81,200.49,149.14,51.35,47,蘅东光,18.86,549.5
7,粮食概念,965.091,3.7,78.94,66.15,12.79,49,亚盛集团,10.09,4.8
8,富士康概念,3686.99,3.66,388.38,282.39,105.98,109,中石科技,17.39,104.36
9,存储芯片,2579.26,3.65,1174.72,879.83,294.89,203,德福科技,16.97,99.48
10,光纤概念,3774.57,3.6,792.26,579.38,212.88,112,蘅东光,18.86,549.5
11,同花顺果指数,2280.84,3.56,268.05,192.32,75.73,20,中石科技,17.39,104.36
12,玻璃基板,659.03,3.5,233.64,183.01,50.63,57,东威科技,15.09,61.85
13,苹果概念,5891.6,3.46,528.55,395.17,133.38,140,华兴源创,20.0,58.26
14,先进封装,2598.06,3.44,913.49,740.08,173.4,206,华兴源创,20.0,58.26
15,光刻机,2558.1,3.42,170.65,132.73,37.92,52,芯碁微装,10.59,410.05
16,MiniLED,2701.15,3.32,425.58,316.96,108.62,108,德福科技,16.97,99.48
17,玉米,2719.06,3.27,44.44,42.05,2.39,34,亚盛集团,10.09,4.8
18,新型烟草(电子烟),2044.01,3.05,85.25,72.1,13.14,52,智立方,15.04,86.96
19,华为手机,1659.6,3.03,141.29,118.15,23.14,45,东威科技,15.09,61.85
20,中芯国际概念,3252.31,2.96,373.52,298.36,75.16,90,聚辰股份,10.0,137.79
21,国家大基金持股,2882.74,2.92,456.94,360.69,96.26,52,深南电路,10.0,364.98
22,OLED,2993.81,2.92,463.77,377.29,86.48,156,华兴源创,20.0,58.26
23,英伟达概念,1874.08,2.9,502.8,401.44,101.36,81,蘅东光,18.86,549.5
24,5G,6461.86,2.75,1969.5,1492.22,477.28,454,中远通,20.0,19.98
25,第三代半导体,2523.45,2.73,527.34,416.64,110.69,181,光莆股份,10.79,19.0
26,MLCC概念,1111.22,2.72,137.39,98.92,38.46,37,博杰股份,10.0,104.53
27,人造肉,1602.15,2.71,14.69,15.5,-0.81,20,海欣食品,9.98,6.17
28,华为海思概念股,4114.87,2.69,151.83,125.47,26.36,52,智立方,15.04,86.96
29,毫米波雷达,2097.18,2.66,410.3,328.45,81.85,126,万讯自控,20.02,10.55
30,光刻胶,4783.79,2.64,105.5,80.7,24.8,79,芯碁微装,10.59,410.05
31,MicroLED概念,1725.85,2.61,211.7,178.75,32.94,82,华兴源创,20.0,58.26
32,大豆,1775.81,2.61,13.14,12.67,0.47,14,农发种业,6.7,7.8
33,柔性屏(折叠屏),3210.69,2.52,247.11,204.96,42.15,110,德福科技,16.97,99.48
34,汽车电子,5617.21,2.49,1269.44,967.86,301.58,393,则成电子,29.97,23.59
35,6G概念,2432.52,2.48,334.06,284.01,50.04,98,东田微,14.43,242.75
36,消费电子概念,3173.06,2.46,1234.52,971.44,263.08,508,则成电子,29.97,23.59
37,AI眼镜,2635.93,2.39,503.82,409.37,94.45,193,则成电子,29.97,23.59
38,预制菜,1092.69,2.32,80.88,76.88,4.0,101,中百集团,10.06,7.0
39,MR(混合现实),1734.63,2.32,214.16,178.59,35.58,71,中石科技,17.39,104.36
40,农业种植,2583.26,2.31,88.0,82.79,5.2,93,亚盛集团,10.09,4.8
41,乳业,2139.58,2.25,26.54,26.29,0.24,35,金健米业,10.0,13.53
42,农村电商,1823.35,2.23,48.78,45.57,3.21,37,智慧农业,10.17,3.25
43,土地流转,2082.35,2.19,49.6,44.5,5.1,44,亚盛集团,10.09,4.8
44,芯片概念,4895.31,2.19,3185.33,2473.95,711.38,924,华兴源创,20.0,58.26
45,无线耳机,2523.06,2.17,258.53,215.41,43.12,99,华兴源创,20.0,58.26
46,无线充电,2082.53,2.12,101.82,87.59,14.24,59,中石科技,17.39,104.36
47,生态农业,1693.21,2.08,49.16,49.38,-0.22,64,农大科技,12.47,36.25
48,减速器,1860.83,2.08,162.85,128.75,34.1,139,斯菱智驱,20.0,97.75
49,TOPCON电池,1102.82,2.07,164.19,125.37,38.83,82,福立旺,15.37,23.04
50,AI手机,2010.68,2.07,229.67,171.95,57.73,40,中京电子,10.0,15.51
51,汽车芯片,1318.83,2.06,511.65,410.58,101.07,143,源杰科技,16.1,1702.0
52,科创次新股,650.079,2.06,208.57,140.74,67.84,28,泰金新能,20.0,122.77
53,工业母机,1912.7,2.02,170.86,128.61,42.25,116,万讯自控,20.02,10.55
54,养鸡,1279.35,2.01,19.23,19.28,-0.04,22,天马科技,9.97,13.12
55,智能穿戴,4308.31,2.01,595.65,474.24,121.42,241,华兴源创,20.0,58.26
56,PM2.5,1797.17,1.99,21.65,16.55,5.1,36,日盈电子,10.01,47.36
57,BC电池,1180.1,1.99,110.0,82.15,27.85,52,芯碁微装,10.59,410.05
58,代糖概念,952.595,1.92,11.96,10.86,1.11,24,亚盛集团,10.09,4.8
59,液冷服务器,2275.13,1.89,964.35,813.47,150.89,236,天博智能,33.25,83.48
60,特斯拉概念,5355.85,1.82,526.99,431.69,95.3,248,华兴源创,20.0,58.26
61,钙钛矿电池,1071.98,1.81,164.0,130.28,33.72,92,杰普特,12.51,406.5
62,传感器,1590.81,1.81,424.92,343.38,81.54,271,天博智能,33.25,83.48
63,猪肉,2615.61,1.79,40.41,42.5,-2.09,32,罗牛山,9.95,6.74
64,比亚迪概念,1899.26,1.79,964.73,804.48,160.25,690,中远通,20.0,19.98
65,人形机器人,2382.03,1.77,900.01,700.62,199.4,466,天博智能,33.25,83.48
66,3D打印,4419.45,1.76,276.33,222.67,53.67,142,杰普特,12.51,406.5
67,智能座舱,1589.32,1.75,355.51,291.09,64.43,171,迅捷兴,20.0,50.52
68,华为数字能源,1620.25,1.73,88.64,80.05,8.59,46,德福科技,16.97,99.48
69,啤酒概念,1541.81,1.73,14.64,14.78,-0.14,29,亚盛集团,10.09,4.8
70,小米概念,2060.43,1.69,994.61,765.3,229.31,374,中石科技,17.39,104.36
71,汽车热管理,2055.67,1.68,190.76,149.36,41.4,143,天博智能,33.25,83.48
72,网络游戏,1622.18,1.67,193.36,166.69,26.67,66,综艺股份,10.04,5.59
73,动物疫苗,1513.49,1.67,11.55,10.8,0.75,20,罗牛山,9.95,6.74
74,机器视觉,1917.97,1.67,353.31,294.42,58.9,251,万讯自控,20.02,10.55
75,2026一季报预增,1169.69,1.66,443.31,336.09,107.22,101,福立旺,15.37,23.04
76,新型工业化,1676.21,1.65,333.59,257.43,76.16,292,万讯自控,20.02,10.55
77,托育服务,1063.9,1.65,11.42,10.01,1.41,16,ST易联众,8.2,9.5
78,智能音箱,2720.98,1.64,172.38,134.61,37.77,60,华兴源创,20.0,58.26
79,虚拟现实,1004.82,1.63,606.52,517.8,88.72,288,则成电子,29.97,23.59
80,HJT电池,2934.47,1.63,118.61,90.52,28.09,69,东威科技,15.09,61.85
81,电子纸,1255.28,1.59,47.73,42.65,5.08,27,*ST清越,7.87,0.96
82,PEEK材料,1915.51,1.58,78.78,61.35,17.43,54,唯科科技,12.42,88.68
83,新能源汽车,4589.98,1.58,1706.33,1416.1,290.23,1073,天博智能,33.25,83.48
84,超级电容,3070.62,1.57,122.12,91.38,30.74,45,江海股份,10.0,61.95
85,培育钻石,2463.15,1.55,40.82,42.1,-1.29,19,恒盛能源,8.63,24.41
86,光伏概念,4268.31,1.54,961.63,778.33,183.3,601,中远通,20.0,19.98
87,数据中心(AIDC),2290.02,1.52,2237.72,1778.03,459.69,657,天博智能,33.25,83.48
88,MCU芯片,1670.48,1.5,233.98,190.89,43.09,95,美格智能,9.99,46.12
89,固态电池,1391.87,1.5,481.27,418.97,62.3,297,泰金新能,20.0,122.77
90,手机游戏,2797.42,1.49,123.91,123.21,0.7,57,综艺股份,10.04,5.59
91,免税店,959.333,1.49,29.01,29.03,-0.02,26,中百集团,10.06,7.0
92,高压快充,1929.96,1.48,239.59,176.2,63.38,125,中远通,20.0,19.98
93,宁德时代概念,2233.59,1.46,494.72,422.16,72.55,299,德福科技,16.97,99.48
94,AI视频,2215.03,1.45,190.28,172.42,17.86,61,博纳影业,10.05,6.35
95,粤港澳大湾区,2608.72,1.44,709.02,583.07,125.95,494,中远通,20.0,19.98
96,海峡两岸,1872.1,1.44,618.06,515.98,102.08,319,福立旺,15.37,23.04
97,露营经济,1639.01,1.43,18.87,18.04,0.83,55,太力科技,16.73,43.18
98,专精特新,1613.01,1.43,1201.75,966.0,235.76,1236,则成电子,29.97,23.59
99,IP经济(谷子经济),1273.66,1.4,199.28,191.93,7.35,196,中百集团,10.06,7.0
100,华为概念,3466.68,1.4,2026.92,1726.58,300.34,1005,万讯自控,20.02,10.55
101,注册制次新股,158.199,1.4,246.17,170.98,75.19,87,天博智能,33.25,83.48
102,海南自贸区,1524.08,1.39,46.33,39.84,6.49,30,罗牛山,9.95,6.74
103,冷链物流,1814.54,1.35,151.76,144.6,7.16,155,ST海王,10.35,1.6
104,石墨烯,1737.42,1.33,117.83,103.19,14.64,77,中石科技,17.39,104.36
105,东数西算(算力),2198.46,1.33,1083.2,928.0,155.2,414,铂科新材,16.62,84.5
106,机器人概念,3893.61,1.31,1631.89,1386.68,245.2,1227,天博智能,33.25,83.48
107,农机,1278.33,1.3,90.32,80.1,10.22,99,斯菱智驱,20.0,97.75
108,文化传媒概念,2806.79,1.29,239.05,239.31,-0.26,197,博纳影业,10.05,6.35
109,短剧游戏,1295.02,1.28,207.02,184.18,22.84,89,博纳影业,10.05,6.35
110,云游戏,1504.92,1.28,91.39,74.6,16.78,27,禾盛新材,10.01,68.05
111,广东自贸区,1278.18,1.28,18.94,19.09,-0.15,28,中京电子,10.0,15.51
112,无人驾驶,2836.75,1.26,965.01,814.37,150.63,408,蘅东光,18.86,549.5
113,EDR概念,1490.37,1.24,78.39,55.62,22.78,20,博敏电子,10.01,17.58
114,充电桩,6361.38,1.23,505.44,451.0,54.44,389,中远通,20.0,19.98
115,食品安全,4722.08,1.22,47.36,41.66,5.7,83,信测标准,10.94,29.0
116,供销社,1133.32,1.2,11.82,14.45,-2.63,15,敦煌种业,10.05,9.53
117,网红经济,1466.14,1.19,113.3,114.67,-1.37,118,天创时尚,10.02,23.05
118,商业航天,2130.67,1.18,905.72,770.16,135.55,505,太力科技,16.73,43.18
119,家用电器,4002.55,1.18,249.22,195.8,53.42,184,唯科科技,12.42,88.68
120,高端装备,3260.27,1.18,566.9,487.27,79.63,398,东威科技,15.09,61.85
121,抖音概念(字节概念),1677.83,1.18,631.56,554.46,77.1,218,致尚科技,14.75,197.0
122,华为汽车,2820.19,1.18,212.83,181.12,31.7,174,恒勃股份,10.97,60.5
123,乡村振兴,1157.54,1.16,447.36,441.27,6.1,435,智慧农业,10.17,3.25
124,太赫兹,1980.29,1.14,81.03,77.49,3.54,23,万讯自控,20.02,10.55
125,旅游概念,2752.71,1.14,123.45,130.86,-7.42,151,豪尔赛,9.98,22.15
126,同花顺新质50,2245.36,1.14,592.43,468.8,123.63,50,中际旭创,10.38,898.46
127,2026中报预增,1091.19,1.14,2016.38,1716.13,300.25,513,源杰科技,16.1,1702.0
128,锂电池概念,1883.87,1.12,913.27,818.96,94.31,609,泰金新能,20.0,122.77
129,智慧灯杆,1536.67,1.1,50.67,46.14,4.53,64,华体科技,9.99,23.77
130,储能,2448.58,1.09,1159.12,1046.98,112.15,901,天博智能,33.25,83.48
131,深圳国企改革,1827.82,1.09,22.85,17.74,5.12,58,*ST英飞,9.98,7.49
132,人民币贬值受益,2338.87,1.09,1506.27,1185.8,320.47,609,则成电子,29.97,23.59
133,减肥药,1389.85,1.07,57.6,53.03,4.57,66,德展健康,9.33,3.75
134,钛白粉概念,1840.72,1.07,12.4,14.26,-1.86,15,坤彩科技,10.0,17.38
135,深股通,1300.63,1.07,3388.88,2953.26,435.61,1880,中远通,20.0,19.98
136,合成生物,1563.52,1.06,120.61,117.38,3.23,170,农大科技,12.47,36.25
137,民营医院,1574.92,1.06,87.29,81.36,5.93,75,澳洋健康,9.98,4.63
138,知识产权保护,1725.9,1.06,39.01,38.79,0.23,51,读者传媒,9.95,6.63
139,NMN概念,1317.96,1.04,11.5,10.76,0.73,25,德展健康,9.33,3.75
140,氟化工概念,5378.18,1.04,120.78,106.43,14.35,69,新宙邦,8.92,68.13
141,智能家居,3715.52,1.03,349.82,309.27,40.55,291,太力科技,16.73,43.18
