序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,元件,25133.8,6.83,519.16,364.95,154.22,63,则成电子,29.97,23.59
2,非金属材料,31232.3,4.48,27.12,24.21,2.92,17,太力科技,16.73,43.18
3,种植业与林业,5102.55,4.33,60.46,57.92,2.53,30,亚盛集团,10.09,4.8
4,电子化学品,86816.2,4.1,137.12,110.19,26.93,43,中石科技,17.39,104.36
5,通信设备,9649.33,3.77,766.82,579.21,187.61,91,蘅东光,18.86,549.5
6,农产品加工,4049.37,3.09,44.68,43.76,0.91,43,播恩集团,10.03,15.8
7,自动化设备,29029.3,3.04,205.49,147.95,57.55,99,智立方,15.04,86.96
8,其他电子,20704.5,2.87,70.95,49.5,21.45,34,瑞可达,9.05,63.5
9,旅游及酒店,3041.73,2.61,25.11,24.56,0.55,35,华天酒店,10.02,5.16
10,其他电源设备,6335.24,2.59,67.8,48.66,19.14,35,中远通,20.0,19.98
11,半导体,16287.7,2.54,1037.45,805.57,231.88,187,源杰科技,16.1,1702.0
12,零售,1989.48,2.52,66.06,58.21,7.85,71,中百集团,10.06,7.0
13,金属新材料,13887.4,2.32,31.62,22.9,8.72,34,铂科新材,16.62,84.5
14,影视院线,1406.16,2.25,30.03,26.45,3.58,20,博纳影业,10.05,6.35
15,养殖业,3111.12,2.21,33.13,33.7,-0.57,36,中水渔业,9.96,11.15
16,光学光电子,5440.28,2.02,134.37,115.13,19.23,107,东田微,14.43,242.75
17,塑料制品,10860.1,1.77,60.9,49.33,11.56,77,唯科科技,12.42,88.68
18,食品加工制造,4896.81,1.66,36.36,34.02,2.34,66,海欣食品,9.98,6.17
19,消费电子,12674.5,1.61,200.0,164.03,35.97,96,福立旺,15.37,23.04
20,文化传媒,2754.84,1.58,145.43,145.05,0.37,85,龙版传媒,10.03,17.11
21,小家电,4102.23,1.56,6.57,7.73,-1.16,26,爱仕达,10.02,12.41
22,白色家电,8175.52,1.52,41.45,37.35,4.1,44,盾安环境,10.05,11.94
23,专用设备,7509.97,1.48,156.92,131.27,25.65,201,华兴源创,20.0,58.26
24,光伏设备,7106.68,1.41,62.9,56.62,6.28,73,清源股份,10.04,10.85
25,造纸,2096.92,1.29,12.61,11.24,1.37,24,青山纸业,10.14,3.91
26,通用设备,9320.97,1.25,196.02,172.82,23.21,253,万讯自控,20.02,10.55
27,游戏,9579.94,1.19,55.15,57.7,-2.54,23,掌趣科技,9.02,4.47
28,饮料制造,5087.97,1.17,25.73,25.47,0.26,47,红棉股份,6.83,3.6
29,汽车零部件,5878.82,1.0,168.98,149.43,19.55,275,杰锋动力,34.37,41.25
30,医药商业,4709.76,0.97,11.17,11.07,0.1,32,ST海王,10.35,1.6
31,黑色家电,4237.02,0.93,4.71,4.89,-0.18,9,极米科技,7.39,90.12
32,农化制品,5060.66,0.92,42.14,52.39,-10.25,61,农大科技,12.47,36.25
33,综合,2300.04,0.88,9.66,9.3,0.36,18,综艺股份,10.04,5.59
34,建筑装饰,4217.81,0.86,67.9,70.46,-2.56,143,能辉科技,14.6,31.4
35,物流,5257.93,0.86,11.76,13.4,-1.64,50,海晨股份,5.69,16.35
36,橡胶制品,13841.7,0.86,6.61,5.07,1.54,22,科创新源,4.98,47.24
37,医疗服务,19292.2,0.78,53.48,51.32,2.15,56,澳洋健康,9.98,4.63
38,化学制品,7240.75,0.7,92.14,98.12,-5.99,183,百合花,10.01,58.04
39,轨交设备,1024.52,0.68,6.09,5.83,0.25,30,科安达,10.03,13.93
40,小金属,8678.52,0.68,69.65,55.04,14.61,30,云南锗业,5.64,92.0
41,美容护理,4882.21,0.67,6.83,8.15,-1.32,34,洁雅股份,6.74,41.2
42,通信服务,2693.71,0.62,29.31,28.85,0.45,44,中富通,5.16,18.35
43,电池,17555.8,0.61,157.21,139.66,17.55,107,德福科技,16.97,99.48
44,电机,3283.74,0.55,9.59,8.9,0.68,26,康平科技,5.11,53.11
45,家居用品,4079.85,0.53,26.09,25.71,0.38,98,梦百合,6.07,6.82
46,环境治理,4155.6,0.52,36.32,34.41,1.92,111,兴源环境,6.88,2.02
