序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,风电设备,4342.38,2.65,45.43,38.37,7.06,32,洛轴股份,19.99,35.54
2,纺织制造,2354.4,1.56,9.72,10.9,-1.18,33,华茂股份,10.11,5.12
3,教育,4459.32,0.83,10.9,10.42,0.48,15,科德教育,10.28,25.31
4,港口航运,1262.86,0.69,28.27,25.95,2.32,36,厦门港务,9.98,9.81
5,煤炭开采加工,3034.67,0.61,32.21,29.74,2.47,34,云煤能源,10.04,5.7
6,物流,5246.35,0.47,13.77,13.81,-0.04,50,三羊马,10.01,65.3
7,工程机械,2971.44,0.45,20.19,23.67,-3.48,36,铁拓机械,19.35,18.01
8,银行,1369.6,0.3,95.11,79.05,16.05,84,重庆银行,2.04,11.03
9,服装家纺,2901.0,0.14,17.81,19.34,-1.53,75,泰慕士,10.01,35.4
10,小家电,4119.95,0.1,5.73,6.56,-0.84,26,奥佳华,10.04,8.33
11,公路铁路运输,1302.62,0.01,7.58,8.57,-0.99,32,福建高速,2.75,3.73
12,油气开采及服务,1646.44,-0.05,10.24,10.69,-0.45,19,海油工程,2.52,6.52
13,医药商业,4613.26,-0.06,12.29,12.59,-0.3,32,合富中国,10.02,14.93
14,轨交设备,1010.21,-0.06,5.39,5.48,-0.1,30,祥和实业,10.03,10.42
15,美容护理,4859.95,-0.12,10.74,11.27,-0.53,34,百亚股份,4.86,22.64
16,厨卫电器,6092.4,-0.24,3.15,3.37,-0.21,9,华帝股份,3.21,4.83
17,综合,2260.49,-0.24,9.43,13.36,-3.93,18,漳州发展,10.08,5.35
18,电机,3205.5,-0.38,7.36,7.93,-0.56,26,神力股份,4.29,16.76
19,石油加工贸易,3656.5,-0.52,21.61,18.6,3.01,27,统一股份,6.32,18.18
20,贸易,2542.86,-0.54,2.91,3.74,-0.83,14,厦门信达,6.43,5.46
21,文化传媒,2739.51,-0.56,71.9,94.36,-22.47,85,新华传媒,10.06,7.77
22,军工电子,11878.5,-0.56,52.44,53.78,-1.33,61,霍莱沃,19.99,37.94
23,汽车零部件,5743.27,-0.66,122.33,127.78,-5.45,275,众捷股份,10.98,29.22
24,电力,1898.45,-0.66,73.08,78.44,-5.36,110,芯能科技,5.98,8.68
25,家居用品,4126.01,-0.67,30.94,34.37,-3.43,98,龙竹科技,13.1,8.03
26,包装印刷,4403.87,-0.68,16.84,17.08,-0.24,46,新宏泽,10.04,12.27
27,通用设备,9397.69,-0.72,170.12,181.84,-11.73,254,昆船智能,20.03,17.98
28,白色家电,8238.42,-0.74,31.27,31.33,-0.07,44,东贝集团,3.84,5.14
29,燃气,1855.41,-0.79,5.66,7.95,-2.29,27,胜利股份,1.71,4.17
30,汽车服务及其他,1123.47,-0.81,6.94,7.91,-0.97,26,绿通科技,5.09,47.31
31,建筑材料,5681.83,-0.88,74.71,104.84,-30.13,73,雄塑科技,10.85,13.69
32,环境治理,4078.98,-0.9,27.83,34.26,-6.43,111,海峡环保,6.39,6.16
33,饮料制造,4992.53,-0.91,26.85,30.2,-3.35,47,泉阳泉,10.04,9.1
34,通信服务,2652.27,-0.95,34.22,34.08,0.14,44,ST恒信,3.58,3.47
35,游戏,8852.04,-0.97,12.63,15.88,-3.25,23,富春股份,1.12,5.42
36,汽车整车,2473.96,-1.01,34.74,43.24,-8.5,23,千里科技,7.39,8.28
37,军工装备,2127.15,-1.02,74.47,80.04,-5.58,82,*ST航图,9.54,8.96
38,电网设备,6251.62,-1.04,59.22,76.53,-17.31,140,三星电气,10.02,16.25
39,零售,1872.9,-1.07,29.35,32.85,-3.5,71,天音控股,2.87,9.32
40,其他社会服务,19178.8,-1.09,10.76,12.99,-2.23,84,安邦护卫,5.92,50.8
41,食品加工制造,4619.05,-1.1,17.16,24.29,-7.13,66,日辰股份,4.39,25.22
42,造纸,2085.57,-1.16,4.65,5.54,-0.9,24,民丰特纸,0.69,5.86
43,影视院线,1372.58,-1.18,13.93,16.43,-2.5,20,文投控股,2.42,1.69
44,钢铁,1470.42,-1.22,18.96,22.16,-3.2,44,常宝股份,3.86,6.72
45,橡胶制品,13988.7,-1.24,8.93,10.19,-1.26,22,联科科技,1.87,18.55
46,环保设备,1402.83,-1.25,12.48,13.43,-0.95,30,紫金龙净,1.39,17.46
47,互联网电商,9272.85,-1.25,14.77,16.93,-2.16,20,狮头股份,2.6,15.0
48,中药,3107.64,-1.25,19.83,28.58,-8.75,68,华神科技,10.12,4.68
49,化学纤维,3661.75,-1.27,9.65,12.34,-2.69,29,ST海龙,1.7,1.8
50,黑色家电,4200.78,-1.3,3.52,4.11,-0.59,9,兆驰股份,0.73,8.3
