序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,转基因,1905.06,4.04,30.59,29.64,0.95,21,秋乐种业,15.94,16.8
2,玉米,2581.75,3.74,52.74,47.67,5.06,34,秋乐种业,15.94,16.8
3,粮食概念,908.855,2.85,63.8,61.05,2.75,49,秋乐种业,15.94,16.8
4,大豆,1705.11,2.17,10.37,11.92,-1.55,14,秋乐种业,15.94,16.8
5,CRO概念,985.36,2.09,117.01,113.81,3.19,77,金石亚药,19.98,12.49
6,农业种植,2444.84,1.82,76.86,76.1,0.76,95,秋乐种业,15.94,16.8
7,细胞免疫治疗,1167.14,1.72,48.76,51.67,-2.91,66,近岸蛋白,18.75,99.75
8,土地流转,1956.2,1.65,42.83,40.34,2.49,44,金丹科技,14.1,20.96
9,重组蛋白,768.829,1.65,43.57,46.01,-2.43,126,近岸蛋白,18.75,99.75
10,托育服务,1047.37,1.48,9.29,8.43,0.86,16,ST豆神,7.62,4.94
11,烟草,1504.89,1.39,15.3,17.04,-1.75,42,华宝股份,20.01,27.17
12,青蒿素,1966.6,1.36,6.92,7.2,-0.28,11,百花医药,10.01,11.87
13,AI视频,2096.16,1.24,100.43,101.04,-0.62,64,龙版传媒,9.97,15.0
14,冰雪产业,1281.43,1.21,30.95,28.06,2.89,59,大连圣亚,10.01,43.31
15,维生素,1317.08,1.14,38.35,38.14,0.21,77,金石亚药,19.98,12.49
16,流感,1421.96,1.12,82.12,82.94,-0.82,172,金石亚药,19.98,12.49
17,华为汽车,2743.53,1.1,241.18,227.15,14.04,174,克来机电,10.03,17.0
18,猴痘概念,858.317,1.07,35.38,35.2,0.18,75,百普赛斯,8.02,99.28
19,电子纸,1259.68,1.07,105.83,75.46,30.37,27,秋田微,17.63,95.4
20,合成生物,1542.76,1.07,129.16,129.93,-0.77,170,华宝股份,20.01,27.17
21,减速器,1780.73,1.06,109.49,105.79,3.71,139,山子高科,9.85,3.01
22,农村电商,1717.61,1.06,28.99,26.22,2.76,37,华英农业,10.1,2.18
23,仿制药一致性评价,1606.09,1.05,72.93,72.96,-0.03,144,金石亚药,19.98,12.49
24,减肥药,1380.59,1.03,55.98,57.37,-1.39,67,百花医药,10.01,11.87
25,乳业,1984.33,1.02,22.28,19.37,2.91,35,金健米业,9.97,13.02
26,短剧游戏,1231.43,0.99,102.13,101.9,0.23,91,川网传媒,8.29,15.16
27,上海自贸区,4245.08,0.97,87.37,85.98,1.39,58,龙头股份,10.07,7.54
28,中韩自贸区,2477.85,0.97,12.96,13.66,-0.7,17,朗姿股份,4.42,16.06
29,三胎概念,2209.64,0.96,95.18,96.59,-1.41,213,金石亚药,19.98,12.49
30,肝炎概念,1093.06,0.95,65.94,65.77,0.16,140,百花医药,10.01,11.87
31,汽车拆解概念,1536.13,0.95,28.29,27.68,0.61,46,山子高科,9.85,3.01
32,网红经济,1389.98,0.92,68.22,66.19,2.04,118,龙头股份,10.07,7.54
33,智能音箱,2669.7,0.92,137.22,135.57,1.65,60,科森科技,10.03,21.29
34,新型烟草(电子烟),2094.69,0.91,87.25,92.07,-4.82,53,华宝股份,20.01,27.17
35,在线教育,2846.09,0.88,107.89,109.65,-1.76,127,博汇科技,12.9,37.1
36,拼多多概念,1582.94,0.88,21.73,23.42,-1.69,40,跨境通,9.91,3.77
37,知识产权保护,1702.05,0.87,31.95,32.43,-0.49,51,创业黑马,4.97,36.56
38,阿尔茨海默概念,1231.58,0.87,25.46,24.85,0.61,90,灵康药业,5.29,5.77
39,养鸡,1182.77,0.86,8.29,9.2,-0.91,22,华英农业,10.1,2.18
40,生态农业,1601.57,0.85,48.93,45.07,3.86,66,敦煌种业,10.04,9.75
41,文化传媒概念,2702.01,0.85,147.65,155.57,-7.93,197,博汇科技,12.9,37.1
42,长安汽车概念,1488.21,0.84,266.99,234.69,32.29,460,秋田微,17.63,95.4
43,创新药,1246.26,0.84,192.33,188.85,3.47,277,金石亚药,19.98,12.49
44,农机,1229.21,0.81,80.97,86.26,-5.29,99,花溪科技,19.4,25.97
45,基因测序,1987.97,0.8,56.21,57.05,-0.84,71,华大智造,4.97,66.25
46,科创次新股,651.802,0.79,182.88,193.88,-10.99,30,沐曦股份,14.44,546.5
