序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,细胞免疫治疗,1244.93,4.89,114.55,90.04,24.51,66,近岸蛋白,20.0,118.84
2,重组蛋白,823.62,4.76,82.28,68.88,13.4,126,近岸蛋白,20.0,118.84
3,CRO概念,1047.97,4.74,168.37,153.32,15.05,77,峆一药业,29.91,12.38
4,猴痘概念,908.962,4.44,80.32,66.78,13.54,75,华仁药业,20.07,3.29
5,减肥药,1464.3,4.44,120.94,94.49,26.46,67,万邦医药,14.29,82.38
6,创新药,1316.07,4.27,376.16,302.79,73.37,277,峆一药业,29.91,12.38
7,维生素,1380.49,4.24,63.02,47.13,15.9,77,新赣江,12.95,28.88
8,肝炎概念,1150.97,4.14,128.68,105.1,23.58,140,华仁药业,20.07,3.29
9,流感,1495.27,4.13,141.38,109.57,31.81,163,近岸蛋白,20.0,118.84
10,仿制药一致性评价,1682.09,4.08,148.31,113.13,35.18,145,华仁药业,20.07,3.29
11,辅助生殖,1270.3,4.02,88.89,68.82,20.08,74,透景生命,19.99,20.35
12,租售同权,838.739,3.98,56.52,41.59,14.93,29,华发股份,10.08,2.73
13,毛发医疗,1171.42,3.92,23.98,21.58,2.4,27,澳洋健康,10.04,5.81
14,阿尔茨海默概念,1298.86,3.9,51.26,39.11,12.14,90,新华制药,9.97,14.67
15,幽门螺杆菌概念,1048.96,3.76,51.56,41.62,9.93,74,华森制药,10.03,15.25
16,合成生物,1617.24,3.68,179.76,161.49,18.27,170,近岸蛋白,20.0,118.84
17,民营医院,1589.16,3.64,108.22,97.65,10.57,75,皓宸医疗,10.12,2.72
18,眼科医疗,1739.86,3.62,72.84,51.68,21.16,62,科兴制药,13.86,23.9
19,医药电商,1021.48,3.59,151.63,116.18,35.45,184,华仁药业,20.07,3.29
20,高压氧舱,1210.15,3.54,7.67,8.16,-0.5,11,澳洋健康,10.04,5.81
21,基因测序,2093.78,3.46,91.86,80.95,10.92,71,诺禾致源,20.0,18.18
22,医美概念,1302.41,3.44,98.5,89.79,8.72,96,华仁药业,20.07,3.29
23,玉米,2670.0,3.39,43.71,40.97,2.74,34,金丹科技,20.02,25.72
24,青蒿素,2037.18,3.38,16.05,11.13,4.92,11,百花医药,10.04,13.15
25,动物疫苗,1492.38,3.36,13.8,10.8,2.99,20,科兴制药,13.86,23.9
26,特色小镇,510.924,3.27,33.83,28.13,5.7,40,乖宝宠物,11.0,41.27
27,生物疫苗,1665.08,3.17,61.09,46.44,14.65,62,华北制药,9.96,5.08
28,养老概念,2130.83,3.06,178.5,154.91,23.59,224,绿地控股,10.35,1.6
29,物业管理,1205.71,3.05,179.22,147.07,32.15,183,绿地控股,10.35,1.6
30,宠物经济,1449.46,2.97,71.81,61.76,10.05,127,汇隆新材,11.7,23.49
31,房屋检测,1646.61,2.97,20.55,15.68,4.87,45,华维设计,29.92,11.03
32,工业大麻,1471.73,2.91,21.9,21.59,0.31,31,美盈森,10.0,6.27
33,牙科医疗,1167.44,2.9,50.72,56.74,-6.03,30,皓宸医疗,10.12,2.72
34,C2M概念,2005.67,2.86,28.49,29.36,-0.86,39,奥康国际,9.97,11.47
35,DRG/DIP,904.138,2.85,12.06,8.51,3.56,22,迪安诊断,7.47,20.43
36,土地流转,2022.8,2.84,38.52,34.83,3.69,44,金丹科技,20.02,25.72
37,农业种植,2522.16,2.83,72.83,66.28,6.55,96,金丹科技,20.02,25.72
38,医疗器械概念,3080.04,2.81,415.19,415.25,-0.06,416,华仁药业,20.07,3.29
39,白酒概念,6191.9,2.8,46.1,45.5,0.59,48,会稽山,9.99,36.12
40,粮食概念,934.556,2.79,51.92,52.03,-0.11,49,金健米业,9.99,15.75
41,智能医疗,4536.56,2.79,478.19,435.74,42.44,341,诺禾致源,20.0,18.18
42,电子身份证,1278.09,2.76,31.66,32.36,-0.7,39,观想科技,14.07,45.88
43,数据确权,1454.58,2.74,65.57,61.09,4.48,69,绿盟科技,13.69,9.47
44,代糖概念,943.156,2.73,19.8,18.28,1.51,25,佳禾食品,5.42,10.5
45,芬太尼,2143.24,2.7,3.44,2.17,1.28,8,博拓生物,6.11,43.44
46,猪肉,2449.49,2.7,23.06,18.37,4.69,32,东瑞股份,9.99,16.08
47,中船系,1877.8,2.65,42.62,32.89,9.72,20,中船防务,5.32,30.31
48,冰雪产业,1331.4,2.64,56.4,47.79,8.61,59,华发股份,10.08,2.73
49,禽流感,2141.77,2.63,12.42,9.62,2.81,23,众生药业,5.12,25.46
50,脑机接口,1567.81,2.61,86.12,92.08,-5.96,73,澳洋健康,10.04,5.81
51,预制菜,1047.52,2.61,55.07,54.32,0.75,101,华英农业,10.05,2.3
52,华为盘古,994.28,2.61,32.5,27.74,4.76,30,南威软件,9.97,7.28
53,三胎概念,2291.49,2.6,118.16,107.7,10.46,213,澳洋健康,10.04,5.81
54,黑龙江自贸区,1839.75,2.58,34.43,30.73,3.7,36,哈三联,10.04,13.04
55,广东自贸区,1281.24,2.54,23.47,21.43,2.04,28,华发股份,10.08,2.73
56,染料,1537.95,2.54,22.01,20.87,1.14,40,福莱蒽特,10.01,30.44
57,免税店,919.86,2.54,23.42,19.58,3.84,26,南宁百货,10.09,5.89
58,食品安全,4815.9,2.54,51.02,45.42,5.6,73,万邦医药,14.29,82.38
59,化肥,1010.64,2.52,73.21,66.11,7.1,75,红四方,10.01,28.14
60,POE胶膜,905.071,2.51,26.16,25.35,0.8,29,福莱蒽特,10.01,30.44
61,NMN概念,1301.79,2.51,13.61,10.6,3.0,25,双鹭药业,5.34,5.92
62,拼多多概念,1643.71,2.5,30.79,30.58,0.21,40,天音控股,10.02,9.77
63,IP经济(谷子经济),1253.15,2.48,142.78,121.92,20.86,198,华智数媒,13.91,8.35
64,草甘膦,1481.1,2.46,12.23,9.88,2.35,19,国投丰乐,5.21,6.87
65,跨境电商,968.942,2.46,271.01,242.54,28.48,343,汇隆新材,11.7,23.49
66,可降解塑料,1538.13,2.46,60.83,61.34,-0.5,174,金丹科技,20.02,25.72
67,横琴新区,1866.07,2.45,45.85,44.26,1.59,42,泰诺麦博,12.55,25.55
68,转基因,1947.15,2.44,24.15,22.82,1.32,21,万向德农,6.43,16.39
69,数字货币,1945.83,2.37,106.35,102.21,4.15,91,ST信源,8.76,2.98
70,智谱AI,1387.61,2.35,105.49,107.94,-2.45,71,华信永道,11.57,28.92
71,新型城镇化,1280.73,2.35,120.44,101.22,19.22,220,华维设计,29.92,11.03
72,托育服务,1089.97,2.35,11.84,11.6,0.24,16,华媒控股,9.95,4.53
73,农村电商,1764.17,2.33,28.76,24.73,4.02,37,南宁百货,10.09,5.89
74,建筑节能,1442.55,2.32,59.55,51.75,7.8,103,先锋新材,10.22,8.09
75,AI应用,860.515,2.3,594.83,563.67,31.16,548,诺禾致源,20.0,18.18
76,旅游概念,2727.83,2.3,112.96,107.83,5.12,151,锋尚文化,12.8,32.07
