序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,医疗服务,21473.3,5.1,141.91,128.51,13.4,56,诺禾致源,20.0,18.18
2,化学制药,6457.12,4.67,176.21,136.79,39.42,158,峆一药业,29.91,12.38
3,生物制品,6430.17,4.64,72.97,57.52,15.45,56,近岸蛋白,20.0,118.84
4,房地产,1763.43,3.68,104.77,79.04,25.73,88,绿地控股,10.35,1.6
5,医疗器械,11175.4,3.43,62.89,55.3,7.58,141,透景生命,19.99,20.35
6,农产品加工,3892.43,3.31,31.68,27.28,4.4,43,乖宝宠物,11.0,41.27
7,中药,3186.62,3.26,43.2,31.52,11.68,68,华森制药,10.03,15.25
8,油气开采及服务,1706.99,2.91,20.79,15.61,5.18,19,海油工程,7.76,6.53
9,零售,1936.11,2.91,43.26,38.43,4.83,71,南宁百货,10.09,5.89
10,旅游及酒店,2860.16,2.83,20.91,18.44,2.47,35,大连圣亚,10.01,48.57
11,医药商业,4703.63,2.81,17.73,15.47,2.26,32,瑞康医药,10.09,3.6
12,美容护理,4901.69,2.69,13.94,12.82,1.12,34,可靠股份,4.91,9.18
13,种植业与林业,4914.89,2.68,38.3,40.53,-2.23,30,华绿生物,9.73,19.17
14,白酒,1981.22,2.5,28.46,30.59,-2.13,19,皇台酒业,9.96,11.92
15,家居用品,4138.4,2.48,32.98,32.18,0.8,98,先锋新材,10.22,8.09
16,化学制品,7380.41,2.47,104.69,109.95,-5.26,183,金丹科技,20.02,25.72
17,养殖业,2955.43,2.46,20.12,18.26,1.86,36,华英农业,10.05,2.3
18,化学原料,3311.71,2.45,46.28,41.4,4.89,59,金瑞矿业,10.0,19.25
19,农化制品,4936.84,2.45,43.72,34.73,8.99,61,红四方,10.01,28.14
20,饮料制造,5070.88,2.43,25.97,22.4,3.57,47,会稽山,9.99,36.12
21,影视院线,1410.01,2.42,23.99,19.02,4.97,20,华智数媒,13.91,8.35
22,多元金融,1101.41,2.41,19.92,18.69,1.24,26,华金资本,10.03,14.26
23,软件开发,1909.21,2.4,108.26,97.93,10.33,138,绿盟科技,13.69,9.47
24,元件,29113.5,2.4,481.51,478.01,3.51,63,迅捷兴,12.61,73.21
25,煤炭开采加工,3072.61,2.39,40.18,28.83,11.35,34,广汇能源,5.21,7.07
26,化学纤维,3712.59,2.38,17.11,14.97,2.14,29,汇隆新材,11.7,23.49
27,教育,4402.48,2.28,9.29,6.72,2.57,15,ST豆神,7.66,5.48
28,建筑材料,5766.83,2.25,134.01,133.55,0.46,73,中材科技,10.0,66.24
29,非金属材料,32154.4,2.25,21.78,24.76,-2.98,17,金戈新材,10.95,42.56
30,服装家纺,2928.77,2.24,22.92,25.49,-2.58,75,泰慕士,10.01,26.59
31,物流,5286.74,2.23,16.39,14.25,2.14,50,三羊马,10.0,59.96
32,纺织制造,2350.95,2.22,10.17,11.7,-1.54,33,华孚时尚,9.9,4.22
33,塑料制品,11224.8,2.14,70.5,70.05,0.45,78,海正生材,10.64,19.55
34,小金属,8711.03,2.02,76.06,84.65,-8.59,30,华锡有色,9.99,49.97
35,食品加工制造,4682.68,1.97,21.49,21.84,-0.36,66,ST交昂,7.24,4.0
36,轨交设备,1014.04,1.97,6.31,5.08,1.24,30,通业科技,10.24,17.87
37,石油加工贸易,3723.54,1.96,24.59,18.71,5.89,27,华锦股份,6.48,5.75
38,光学光电子,5648.52,1.96,187.52,183.7,3.82,107,深华发A,10.03,14.26
39,军工装备,2200.1,1.95,117.69,104.38,13.31,82,隆达股份,10.77,35.18
40,小家电,4067.91,1.94,6.81,5.93,0.88,26,奥佳华,10.04,6.25
41,消费电子,12841.1,1.93,159.11,157.35,1.76,96,福立旺,13.17,27.93
42,燃气,1896.18,1.91,8.78,7.43,1.35,27,升达林业,9.98,4.52
43,其他社会服务,19252.8,1.9,12.49,10.77,1.72,84,锋尚文化,12.8,32.07
44,电机,3251.58,1.86,10.09,9.67,0.43,26,神力股份,10.03,17.33
45,包装印刷,4477.35,1.86,20.65,21.68,-1.04,46,美盈森,10.0,6.27
46,文化传媒,2744.94,1.81,89.2,91.97,-2.77,85,内蒙新华,10.02,14.83
47,建筑装饰,4232.45,1.81,76.43,71.89,4.54,143,华维设计,29.92,11.03
48,通信设备,10181.3,1.77,584.62,599.18,-14.56,91,坤恒顺维,12.88,30.85
49,金属新材料,14016.5,1.77,22.77,19.88,2.89,34,深圳新星,8.15,24.68
50,计算机设备,3994.39,1.76,77.74,80.53,-2.79,83,联合光电,20.0,17.76
51,橡胶制品,14223.0,1.75,10.94,12.12,-1.19,22,三维股份,7.79,7.89
52,互联网电商,9424.49,1.74,31.71,21.3,10.42,20,行云科技,8.55,37.08
53,通用设备,9376.68,1.74,180.24,189.25,-9.01,254,鼎阳科技,20.0,91.79
54,贸易,2586.21,1.73,3.12,2.35,0.77,14,苏豪弘业,3.51,8.56
55,港口航运,1298.07,1.71,48.81,39.98,8.83,36,宁波远洋,4.92,8.96
56,汽车零部件,5787.37,1.71,150.43,143.78,6.65,275,德尔股份,14.29,34.8
57,能源金属,29687.1,1.65,27.3,27.47,-0.16,13,*ST威领,9.98,21.82
58,游戏,9070.01,1.62,23.57,21.4,2.18,23,电魂网络,10.0,14.19
59,汽车服务及其他,1135.96,1.6,9.82,7.83,2.0,26,春风动力,5.25,305.62
