序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,生物疫苗,1762.16,8.06,125.44,128.13,-2.69,59,百克生物,20.01,18.71
2,细胞免疫治疗,1281.51,6.93,212.65,196.51,16.14,65,三元基因,29.97,24.76
3,重组蛋白,840.749,6.64,106.93,97.21,9.72,124,三元基因,29.97,24.76
4,基因测序,2133.81,6.4,133.08,120.57,12.52,71,优宁维,20.01,34.06
5,猴痘概念,933.853,5.73,124.06,123.43,0.63,75,优宁维,20.01,34.06
6,CRO概念,1049.39,5.37,270.38,239.23,31.15,77,近岸蛋白,20.0,67.49
7,肝炎概念,1187.64,4.77,215.62,193.86,21.76,139,三元基因,29.97,24.76
8,减肥药,1512.12,4.7,221.44,211.42,10.02,66,优宁维,20.01,34.06
9,辅助生殖,1283.25,4.47,146.16,141.51,4.65,73,莱美药业,20.0,5.94
10,创新药,1364.22,4.46,633.41,581.26,52.15,277,三元基因,29.97,24.76
11,流感,1525.39,4.29,243.37,234.19,9.18,183,百克生物,20.01,18.71
12,阿尔茨海默概念,1333.54,4.29,91.28,79.56,11.72,90,百克生物,20.01,18.71
13,幽门螺杆菌概念,1068.49,4.21,69.39,64.45,4.94,74,莱美药业,20.0,5.94
14,禽流感,2244.96,3.89,29.03,23.09,5.94,26,华兰疫苗,15.78,20.25
15,动物疫苗,1520.67,3.72,20.43,19.68,0.74,20,康华生物,20.0,60.31
16,合成生物,1583.36,3.52,250.62,241.31,9.3,170,优宁维,20.01,34.06
17,仿制药一致性评价,1721.24,3.22,234.46,227.79,6.67,143,莱美药业,20.0,5.94
18,医美概念,1314.69,3.17,130.89,116.35,14.54,95,键凯科技,20.0,89.45
19,医药电商,1049.59,3.1,222.47,212.42,10.04,177,三元基因,29.97,24.76
20,智能医疗,4515.82,3.0,631.82,616.04,15.77,339,华大智造,20.0,69.11
21,新型烟草(电子烟),1967.73,3.0,96.25,89.51,6.74,52,博腾股份,20.0,24.48
22,医疗器械概念,3037.16,2.95,512.71,509.11,3.61,409,优宁维,20.01,34.06
23,F5G概念,4114.04,2.83,328.31,309.16,19.15,36,太辰光,18.38,213.4
24,眼科医疗,1773.35,2.74,116.94,116.75,0.19,60,莱美药业,20.0,5.94
25,脑机接口,1528.73,2.67,71.75,72.85,-1.11,70,华大智造,20.0,69.11
26,家庭医生,1157.21,2.64,37.2,28.95,8.25,26,国新健康,7.3,7.2
27,DRG/DIP,915.132,2.63,13.65,11.87,1.78,22,塞力医疗,9.98,17.3
28,光纤概念,3627.67,2.61,716.48,701.8,14.68,112,万隆光电,20.01,32.27
29,宠物经济,1415.46,2.58,107.03,94.94,12.08,127,丹娜生物,12.8,39.73
30,毛发医疗,1132.47,2.57,26.9,22.27,4.64,26,澳洋健康,9.9,4.44
31,工业大麻,1450.86,2.49,25.15,21.97,3.18,31,双鹭药业,10.09,6.44
32,维生素,1413.45,2.48,106.19,115.92,-9.73,77,石药创新,20.0,51.78
33,苹果概念,5696.99,2.46,399.35,414.18,-14.84,140,达瑞电子,12.74,60.0
34,拼多多概念,1587.76,2.44,28.42,25.46,2.96,40,万隆光电,20.01,32.27
35,民营医院,1590.05,2.41,126.07,134.99,-8.92,75,安科生物,19.98,10.15
36,赛马概念,1035.18,2.33,1.4,0.9,0.5,4,新华都,2.94,6.65
37,三胎概念,2257.3,2.29,151.6,139.01,12.59,213,三元基因,29.97,24.76
38,铜缆高速连接,2899.02,2.28,185.02,181.31,3.71,47,太辰光,18.38,213.4
39,金属铅,1924.28,2.14,184.87,159.11,25.76,38,*ST威领,10.02,17.46
40,黄金概念,3728.56,2.13,314.08,286.22,27.86,82,深中华A,10.05,6.46
41,PM2.5,1738.46,2.12,17.98,19.01,-1.03,36,优利德,12.18,82.34
42,柔性屏(折叠屏),3142.28,2.09,230.58,251.0,-20.42,108,达瑞电子,12.74,60.0
43,养老概念,2072.32,2.07,170.87,167.88,3.0,221,唯科科技,12.2,90.34
44,血氧仪,1687.58,2.06,29.82,27.16,2.66,24,科翔股份,7.96,78.82
45,食品安全,4651.42,2.06,52.32,50.25,2.07,83,泰林生物,10.65,21.71
46,MR(混合现实),1666.58,2.04,138.39,144.41,-6.02,71,联得装备,12.31,32.21
47,高压氧舱,1176.28,2.03,8.87,8.62,0.25,11,澳洋健康,9.9,4.44
48,电子竞技,462.42,2.03,27.74,28.13,-0.39,37,万隆光电,20.01,32.27
49,广东自贸区,1205.12,2.02,12.83,12.69,0.15,28,中京电子,10.0,15.29
50,猪肉,2408.7,2.02,32.5,23.48,9.02,32,ST龙大,10.07,2.95
51,特色小镇,485.343,1.99,20.89,18.71,2.19,40,京投发展,10.02,10.65
52,共封装光学(CPO),5688.99,1.95,1338.82,1356.23,-17.4,206,长盈通,18.41,149.5
53,网约车,1360.13,1.92,15.14,12.64,2.5,29,广汽集团,7.98,5.41
54,智能穿戴,4201.98,1.91,571.54,593.07,-21.53,240,达瑞电子,12.74,60.0
55,金属锌,2167.07,1.91,170.7,146.13,24.57,43,*ST威领,10.02,17.46
56,信托概念,1120.6,1.85,14.63,11.71,2.92,23,大东方,10.13,4.24
57,电子身份证,1206.17,1.85,25.41,22.15,3.26,39,楚天龙,7.19,11.63
58,AI眼镜,2563.45,1.83,468.7,485.87,-17.16,193,联得装备,12.31,32.21
59,海南自贸区,1482.63,1.83,51.77,55.41,-3.63,29,海南橡胶,9.93,6.2
60,装配式建筑,946.818,1.81,53.65,47.29,6.36,107,郑中设计,9.99,13.32
61,华为手机,1611.57,1.81,99.78,108.07,-8.28,45,联得装备,12.31,32.21
62,智能音箱,2609.09,1.77,127.38,134.9,-7.52,60,康希通信,11.17,14.73
63,AI手机,1942.99,1.75,202.45,200.44,2.01,40,中京电子,10.0,15.29
64,深圳国企改革,1726.25,1.74,23.08,19.53,3.55,58,麦捷科技,8.53,18.45
65,无人零售,1270.29,1.74,11.22,13.36,-2.14,26,翠微股份,8.33,9.23
66,ST板块,479.626,1.73,38.89,37.67,1.23,206,ST龙大,10.07,2.95
67,虚拟现实,960.492,1.71,462.24,473.46,-11.22,288,达瑞电子,12.74,60.0
68,手机游戏,2587.63,1.69,65.09,60.33,4.76,57,万隆光电,20.01,32.27
69,统一大市场,1299.88,1.68,59.22,54.76,4.45,120,东杰智能,10.25,21.83
